0	Index      	 *	Score 	Summary	Detail	
1	11313 43166	 * 	282.45	DCR|DCR|3DMG|1VULN|1TLV	124DMG|37RPLT|4BPWR|5TLV|6LIT|89RCR|aVULN
2	11313 36113	 * 	276.39	DCR|2VULN|3DMG|2TLV|2DUR|1MSLTOX	124DMG|3RPLT|49BPWR|59TLV|6RCR|79VULN|89DUR|aMSLTOX
3	11313 36114	 * 	271.59	DCR|2VULN|3DMG|3DUR|2TLV	124DMG|3RPLT|49BPWR|59TLV|6RCR|79VULN|89aDUR
4	11313 43165	   	264.00	DCR|DCR|3DMG|1TLV|1DUR	124DMG|37RPLT|4BPWR|5TLV|6LIT|89RCR|aDUR
5	11313 46161	 * 	260.79	DCR|DCR|3DMG|2TLV	124DMG|3RPLT|47BPWR|57TLV|67LIT|89RCR|aBEXP
6	11313 46162	   	260.79	DCR|DCR|3DMG|2TLV	124DMG|3RPLT|47BPWR|57TLV|67LIT|89RCR|aZMB
7	11313 46163	   	260.69	DCR|DCR|3DMG|2TLV	124DMG|3RPLT|47BPWR|57TLV|67LIT|89RCR|aAME
8	11313 36112	   	260.14	DCR|2VULN|3DMG|2TLV|2DUR	124DMG|3RPLT|49BPWR|59TLV|6RCR|79VULN|89DUR|aRMIN
9	11313 36115	   	260.14	DCR|2VULN|3DMG|2TLV|2DUR	124DMG|3RPLT|49BPWR|59TLV|6RCR|79VULN|89DUR|aZMB
10	11313 36111	   	260.04	DCR|2VULN|3DMG|2TLV|2DUR	124DMG|3RPLT|49BPWR|59TLV|6RCR|79VULN|89DUR|aTBNT
11	11313 36116	   	260.04	DCR|2VULN|3DMG|2TLV|2DUR|1MSE	124DMG|3RPLT|49BPWR|59TLV|6RCR|79VULN|89DUR|aMSE
12	11313 35513	   	257.19	DCR|DCR|3DMG|1TLV	124DMG|3RPLT|4BPWR|5TLV|69RCR|7ASPD|8ERES|aLHND
13	11313 35516	   	257.19	DCR|DCR|3DMG|1TLV	124DMG|3RPLT|4BPWR|5TLV|69RCR|7ASPD|8ERES|aRMIN
14	11313 35511	   	257.09	DCR|DCR|3DMG|1TLV	124DMG|3RPLT|4BPWR|5TLV|69RCR|7ASPD|8ERES|aLEGI
15	11313 35512	   	257.09	DCR|DCR|3DMG|1TLV	124DMG|3RPLT|4BPWR|5TLV|69RCR|7ASPD|8ERES|aSPLREG
16	11313 35514	   	257.09	DCR|DCR|3DMG|1TLV	124DMG|3RPLT|4BPWR|5TLV|69RCR|7ASPD|8ERES|aAEFBLL
17	11313 35515	   	257.09	DCR|DCR|3DMG|1TLV	124DMG|3RPLT|4BPWR|5TLV|69RCR|7ASPD|8ERES|aAETHUN
18	62122 64123	   	254.04	DCR|DCR|2DMG|1VULN|1DUR	1MDPS|2LIT|3DUR|4aDMG|5TBNT|6VULN|78RCR|9BEXP
