0	Index      	 *	Score 	Summary	Detail	
1	11121 43254	 * 	288.96	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1RCVC|2DUR|3ZMB|49VULN|5MDPS|68RCR|7DMG|aTLV
2	31321 43254	   	288.71	DCR|DCR|2VULN|1TLV|1DMG|1CDMG|1SELL	1CDMG|2FEWX|3SELL|49VULN|5MDPS|68RCR|7DMG|aTLV
3	33321 43254	   	288.61	DCR|DCR|2VULN|1TLV|1DMG|1CDMG|1SELL	1CDMG|2DUST|3SELL|49VULN|5MDPS|68RCR|7DMG|aTLV
4	11121 43256	   	278.36	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1RCVC|2DUR|3ZMB|49VULN|5MDPS|68RCR|7DMG|aMLV
5	15363 32343	   	278.36	DCR|DCR|2VULN|1DMG|1MLV|1CDMG	1RCVC|2BOSS|3CDMG|4DMG|5DUST|68VULN|7aRCR|9MLV
6	31321 43256	   	278.11	DCR|DCR|2VULN|1DMG|1MLV|1CDMG|1SELL	1CDMG|2FEWX|3SELL|49VULN|5MDPS|68RCR|7DMG|aMLV
7	33321 43256	   	278.01	DCR|DCR|2VULN|1DMG|1MLV|1CDMG|1SELL	1CDMG|2DUST|3SELL|49VULN|5MDPS|68RCR|7DMG|aMLV
8	11564 32133	 * 	275.83	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1RCVC|29DUR|3CDMG|4BOSS|5TLV|6VULN|7aRCR|8ASPD
9	11564 32123	 * 	273.71	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1RCVC|2DUR|3CDMG|4BOSS|59TLV|6VULN|7aRCR|8ASPD
10	15363 32423	 * 	273.09	DCR|DCR|2TLV|1VULN|1DMG|1CDMG	1RCVC|2BOSS|3CDMG|4DMG|5DUST|6VULN|7aRCR|89TLV
11	61322 43242	   	272.64	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AART	1AETHUN|2ASPD|3DUST|4VULN|5DUR|68RCR|7DMG|9AART|aMLV
12	61322 43262	   	269.59	DCR|DCR|2VULN|1DMG|1DUR	1AETHUN|2ASPD|3DUST|49VULN|5DUR|68RCR|7DMG|aLIT
13	61322 43263	   	269.59	DCR|DCR|2VULN|1DMG|1DUR	1AETHUN|2ASPD|3DUST|49VULN|5DUR|68RCR|7DMG|aBEXP
14	61322 43234	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1AETHUN|2ASPD|3DUST|4VULN|5DUR|68RCR|7DMG|9RMIN|aTLV
15	61322 43225	   	269.49	DCR|DCR|2VULN|1DMG|1DUR	1AETHUN|2ASPD|3DUST|4aVULN|5DUR|68RCR|7DMG|9LEGI
16	61322 43261	   	269.49	DCR|DCR|2VULN|1DMG|1DUR	1AETHUN|2ASPD|3DUST|49VULN|5DUR|68RCR|7DMG|aBBNT
17	61322 43231	 * 	267.69	DCR|DCR|2DMG|1VULN|1DUR|2ASPD	1AETHUN|2aASPD|3aDUST|4VULN|5DUR|68RCR|7aDMG|9RMIN|aBPWR
18	11121 43255	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1RCVC|2DUR|3ZMB|49VULN|5MDPS|68RCR|7DMG|aDMSP
19	11121 43225	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1RCVC|2DUR|3ZMB|4aVULN|5MDPS|68RCR|7DMG|9LHND
20	11121 43244	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1RCVC|2DUR|3ZMB|4VULN|5MDPS|68RCR|7DMG|9DMSP|aTLV
21	11121 43235	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1RCVC|2DUR|3ZMB|4aVULN|5MDPS|68RCR|7DMG|9DUST
22	11121 43251	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1RCVC|2DUR|3ZMB|49VULN|5MDPS|68RCR|7DMG|aAEBURN
23	11121 43252	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1RCVC|2DUR|3ZMB|49VULN|5MDPS|68RCR|7DMG|aMBVNT
24	11121 43253	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1MSE	1RCVC|2DUR|3ZMB|49VULN|5MDPS|68RCR|7DMG|aMSE
25	61221 43225	 * 	262.55	DCR|DCR|1VULN|2DUR|1DMG|2ASPD	1AETHUN|24ASPD|34DUR|4BPWR|5MDPS|68RCR|7DMG|9LHND|aVULN
26	61221 43253	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|2ASPD	1AETHUN|24ASPD|34DUR|4BPWR|5MDPS|68RCR|7DMG|9VULN|aBOSS
27	31321 43252	   	262.51	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2FEWX|3SELL|49VULN|5MDPS|68RCR|7DMG|aRPLT
28	31321 43255	   	262.51	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2FEWX|3SELL|49VULN|5MDPS|68RCR|7DMG|aDMSP
