0	Index      	 *	Score 	Summary	Detail	
1	23661 52133	 * 	245.64	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AETHUN|2LIT|3CDMG|4VULN|5MLV|6DUR|7MDPS|8FEWX|9aRCR
2	11322 43433	 * 	234.42	DCR|4VULN|1DMG|1MLV|1CDMG	17AEPOI|2456VULN|3CDMG|8DMG|9MLV|aRCR
3	21221 17345	 * 	234.30	DCR|DCR|2DMG|1TLV	1AETHUN|2AME|3MBVNT|4BEXP|5FLTHEA|6aRCR|79DMG|8TLV
4	11322 61344	 * 	232.17	DCR|3VULN|2DUR|1DMG|2CDMG	1AEPOI|245VULN|39CDMG|6aDUR|7DMG|8RCR
5	12622 11136	   	230.46	DCR|DCR|1TLV|1DMG|1AART|1AAC|1NUKE	1AEPOI|2AART|3DMG|4TLV|5NUKE|6DUST|7AAC|8RAT|9aRCR
6	23613 52133	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1AETHUN|2LIT|3CDMG|4CGEN|5VULN|6DUR|7MDPS|8FEWX|9aRCR
7	23613 52533	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1AETHUN|2LIT|3CDMG|4CGEN|5VULN|6DUR|7MDPS|8BEXP|9aRCR
8	23613 52613	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1AETHUN|2LIT|3CDMG|4CGEN|5VULN|6DUR|7MDPS|8aRCR|9FEWX
9	11326 62363	 * 	229.29	DCR|5VULN|1CDMG|1AAC	1AEPOI|24789VULN|3CDMG|5ERES|6RCR|aAAC
10	32235 15221	 * 	228.94	DCR|DCR|2VULN	128DUST|3MDPS|4LWND|58VULN|68FEWX|79RCR|8BPWR|aRAT
11	32235 15222	   	228.94	DCR|DCR|2VULN	128DUST|3MDPS|4LWND|58VULN|68aFEWX|79RCR|8BPWR
12	32235 15224	   	228.94	DCR|DCR|2VULN	128DUST|3MDPS|4LWND|58VULN|68FEWX|79RCR|8BPWR|aBEXP
13	36235 15221	   	228.94	DCR|DCR|2VULN	128DUST|28BPWR|3MDPS|4LWND|58VULN|68FEWX|79RCR|aRAT
14	36235 15222	   	228.94	DCR|DCR|2VULN	128DUST|28BPWR|3MDPS|4LWND|58VULN|68aFEWX|79RCR
15	32235 15223	   	228.84	DCR|DCR|2VULN	128DUST|3MDPS|4LWND|58VULN|68FEWX|79RCR|8BPWR|aAEFRZ
16	32235 15225	   	228.84	DCR|DCR|2VULN	128DUST|3MDPS|4LWND|58VULN|68FEWX|79RCR|8BPWR|aAEWIND
17	32235 15226	   	228.84	DCR|DCR|2VULN	128DUST|3MDPS|4LWND|58VULN|68FEWX|79RCR|8BPWR|aERES
18	36235 15223	   	228.84	DCR|DCR|2VULN	128DUST|28BPWR|3MDPS|4LWND|58VULN|68FEWX|79RCR|aAEFRZ
19	51264 33354	   	228.64	DCR|DCR|2VULN	1LEGI|2AME|3MBVNT|4AEFRZ|5RPLT|6TBNT|7aVULN|89RCR
20	11325 62522	 * 	228.43	DCR|3VULN|1FLTARM|1MLV|1CDMG	1AEPOI|247VULN|3CDMG|5LHND|6FLTARM|8ASPD|9RCR|aMLV
21	11325 62523	   	226.48	DCR|3VULN|1FLTARM|1DUR|1CDMG	1AEPOI|247VULN|3CDMG|5LHND|6FLTARM|8ASPD|9RCR|aDUR
22	16223 54137	   	226.00	DCR|DCR|1TLV|1MLV|1AART|1AAC	1AEPOI|2ERES|3MLV|4MBVNT|5AART|6AAC|7TLV|8RAT|9aRCR
23	11322 61314	   	225.85	DCR|3VULN|2DUR|1DMG|1CDMG	1AEPOI|245VULN|3CDMG|6aDUR|7DMG|8RCR|9DMSP
24	11326 24126	 * 	225.85	DCR|3VULN|1TLV|1DMG|1CDMG	1AEPOI|246VULN|3CDMG|5ERES|7DMG|8RCR|9RAT|aTLV
25	11326 24143	   	225.85	DCR|3VULN|1TLV|1DMG|1CDMG	1AEPOI|246VULN|3CDMG|5ERES|7DMG|8RCR|9LIT|aTLV
26	11322 61332	   	225.75	DCR|3VULN|2DUR|1DMG|1CDMG	1AEPOI|245VULN|3CDMG|6aDUR|7DMG|8RCR|9ERES
27	11322 61364	   	225.75	DCR|3VULN|2DUR|1DMG|1CDMG	1AEPOI|245VULN|3CDMG|6aDUR|7DMG|8RCR|9AEBURN
28	11326 24162	 * 	225.13	DCR|4VULN|1DMG|2CDMG	1AEPOI|2469VULN|3aCDMG|5ERES|7DMG|8RCR
29	11322 14424	 * 	224.85	DCR|4VULN|1TLV|1CDMG	1AEPOI|2457VULN|3CDMG|6BASARM|8TLV|9ERES|aRCR
30	11322 61356	   	224.30	DCR|3VULN|1DMG|1DUR|1CDMG|1NUKE	1AEPOI|245VULN|3CDMG|6DUR|7DMG|8RCR|9BBNT|aNUKE
31	11326 31162	 * 	223.55	DCR|3VULN|2DMG|2CDMG	1AEPOI|249VULN|3aCDMG|5ERES|67DMG|8RCR
32	42214 32233	 * 	222.80	DCR|DCR|1VULN|2CDMG	12RMIN|3BOSS|45CDMG|6DUST|7FEWX|8aRCR|9VULN
33	11314 53223	   	222.70	DCR|DCR|1VULN|2CDMG	1AEPOI|2VULN|39CDMG|4LHND|5BOSS|6RMIN|7DUST|8aRCR
34	23421 26223	   	222.70	DCR|DCR|1VULN|2CDMG	1AETHUN|2LIT|3VULN|4RCVC|59CDMG|6DUST|7CGEN|8aRCR
35	23421 53223	   	222.70	DCR|DCR|1VULN|2CDMG	1AETHUN|2LIT|3VULN|4RCVC|59CDMG|6RMIN|7DUST|8aRCR
36	53421 53223	   	222.70	DCR|DCR|1VULN|2CDMG	1LEGI|2LIT|3VULN|4RCVC|59CDMG|6RMIN|7DUST|8aRCR
37	11421 26223	   	222.60	DCR|DCR|1VULN|2CDMG	1AEPOI|2VULN|3AETHUN|4LIT|59CDMG|6DUST|7CGEN|8aRCR
38	11421 53223	   	222.60	DCR|DCR|1VULN|2CDMG	1AEPOI|2VULN|3AETHUN|4LIT|59CDMG|6RMIN|7DUST|8aRCR
39	11324 31116	 * 	221.40	DCR|2VULN|2DMG|1TLV|1CDMG	1AEPOI|24VULN|3CDMG|5RMIN|67DMG|8RCR|9LHND|aTLV
40	11324 31143	   	221.40	DCR|2VULN|2DMG|1TLV|1CDMG	1AEPOI|24VULN|3CDMG|5RMIN|67DMG|8RCR|9LIT|aTLV
41	11326 31126	   	221.30	DCR|2VULN|2DMG|1TLV|1CDMG	1AEPOI|24VULN|3CDMG|5ERES|67DMG|8RCR|9RAT|aTLV
42	11326 31143	   	221.30	DCR|2VULN|2DMG|1TLV|1CDMG	1AEPOI|24VULN|3CDMG|5ERES|67DMG|8RCR|9LIT|aTLV
43	12122 44123	   	220.51	DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1AART|1CDMG	1AEPOI|2AART|3RMIN|4TLV|5DMG|6CDMG|7DUR|8RCR|9VULN|aMLV
44	12622 44123	   	220.41	DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1AART|1CDMG|1NUKE	1AEPOI|2AART|3DMG|4TLV|5NUKE|6CDMG|7DUR|8RCR|9VULN|aMLV
45	26421 51313	 * 	219.89	DCR|2VULN|2FLTARM|2MLV|1SELL	1AETHUN|2BELT|3TBNT|49MLV|5SELL|69FLTARM|7MBVNT|89VULN|9BPWR|aRCR
46	11322 61341	   	219.71	DCR|3VULN|1DMG|2CDMG|1DUR	1AEPOI|245VULN|39CDMG|6DUR|7DMG|8RCR|aFEWX
47	11322 61343	   	219.71	DCR|3VULN|1DMG|2CDMG|1DUR	1AEPOI|245VULN|39CDMG|6DUR|7DMG|8RCR|aLHND
48	11322 61346	   	219.71	DCR|3VULN|1DMG|2CDMG|1DUR	1AEPOI|245VULN|39CDMG|6DUR|7DMG|8RCR|aZMB
49	11322 21344	   	219.71	DCR|3VULN|1DMG|2CDMG|1DUR	1AEPOI|245VULN|39CDMG|6LWND|7DMG|8RCR|aDUR
50	11322 31344	   	219.71	DCR|3VULN|1DMG|2CDMG|1DUR	1AEPOI|245VULN|39CDMG|6BEXP|7DMG|8RCR|aDUR
51	11322 61342	   	219.61	DCR|3VULN|1DMG|2CDMG|1DUR	1AEPOI|245VULN|39CDMG|6DUR|7DMG|8RCR|aLEGI
52	11322 61345	   	219.61	DCR|3VULN|1DMG|2CDMG|1DUR	1AEPOI|245VULN|39CDMG|6DUR|7DMG|8RCR|aDUST
53	11325 62521	   	219.44	DCR|3VULN|1FLTARM|2ASPD|1CDMG	1AEPOI|247VULN|3CDMG|5LHND|6FLTARM|8aASPD|9RCR
54	11323 62252	   	219.42	DCR|2VULN|1TLV|1DMG|1MLV|1CDMG	1AEPOI|24VULN|3CDMG|5RAT|6FEWX|7TLV|8RCR|9MLV|aDMG
55	11326 24161	   	218.81	DCR|4VULN|1DMG|1CDMG	1AEPOI|2469VULN|3CDMG|5ERES|7DMG|8RCR|aRMIN
56	11322 43453	   	218.81	DCR|4VULN|1DMG|1CDMG	17AEPOI|2456VULN|3CDMG|8DMG|9RMIN|aRCR
57	11326 24163	   	218.71	DCR|4VULN|1DMG|1CDMG	1AEPOI|2469VULN|3CDMG|5ERES|7DMG|8RCR|aAEFBLL
58	11322 43413	   	218.71	DCR|4VULN|1DMG|1CDMG	17AEPOI|2456VULN|3CDMG|8DMG|9ERES|aRCR
59	11326 62335	   	218.71	DCR|4VULN|1DMG|1CDMG	1AEPOI|2478VULN|3CDMG|5ERES|6RCR|9AEFRZ|aDMG
60	12122 44124	   	218.56	DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG|1AAC	1AEPOI|2AART|3RMIN|4TLV|5DMG|6CDMG|7DUR|8RCR|9VULN|aAAC
