0	Index      	 *	Score 	Summary	Detail	
1	23116 32362	 * 	292.01	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1CDMG	1CDMG|2RPLT|3VULN|4TLV|5MLV|6ERES|7DMG|8aRCR|9DUR
2	23121 36512	 * 	289.48	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1CDMG|2RPLT|35VULN|4DUR|6MDPS|7ASPD|8aRCR|9TLV
3	23114 42352	 * 	288.96	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2RPLT|36VULN|4TLV|5BEXP|7DMG|8aRCR|9BBNT
4	23115 42352	   	288.96	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2RPLT|36VULN|4TLV|5LWND|7DMG|8aRCR|9BBNT
5	23311 42352	   	288.96	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2RPLT|3TLV|4BEXP|56VULN|7DMG|8aRCR|9BBNT
6	23351 42352	   	288.96	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2RPLT|3TLV|4FEWX|56VULN|7DMG|8aRCR|9BBNT
7	23111 42352	   	288.86	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2RPLT|35VULN|4TLV|6LEGI|7DMG|8aRCR|9BBNT
8	23146 16332	 * 	284.44	DCR|DCR|2VULN|2MLV|1DUR|1CDMG|1AAC	1CDMG|2RPLT|36VULN|4AAC|56MLV|6BPWR|7DUR|8aRCR|9LHND
9	23115 41322	   	282.54	DCR|DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|2RPLT|36VULN|4TLV|5LWND|79ASPD|8aRCR
10	23351 41322	   	282.54	DCR|DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|2RPLT|3TLV|4FEWX|56VULN|79ASPD|8aRCR
11	23111 41322	   	282.44	DCR|DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|2RPLT|35VULN|4TLV|6LEGI|79ASPD|8aRCR
12	23116 31362	   	278.88	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1CDMG|2RPLT|3VULN|4TLV|5MLV|6ERES|7ASPD|8aRCR|9DUR
13	22115 35236	 * 	278.26	DCR|DCR|2VULN|2CDMG|1MLV|1DUR	13CDMG|2DUR|4CANARM|5DMSP|69RCR|7aVULN|8MLV
14	22115 35234	 * 	278.26	DCR|DCR|1VULN|1TLV|2CDMG|1MLV|1DUR	13CDMG|2DUR|4CANARM|5DMSP|69RCR|7VULN|8MLV|aTLV
15	23116 32342	   	278.26	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1CDMG	1CDMG|2RPLT|3VULN|4TLV|5MLV|69ERES|7DMG|8aRCR
16	23114 41332	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|36VULN|4TLV|5BEXP|7ASPD|8aRCR|9TBNT
