0	Index      	 *	Score 	Summary	Detail	
1	62232 62351	 * 	229.24	DCR|3VULN|2DMG|2ASPD|1AART|1NUKE	1DLOT|249VULN|3DUST|59DMG|6AART|7NUKE|89ASPD|9BPWR|aRCR
2	16563 21321	   	222.06	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	1RMIN|2DMG|3DUR|46ASPD|57aVULN|8AART|9RCR
3	33563 21321	   	221.96	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|57aVULN|8AART|9RCR
4	16563 21322	 * 	220.30	DCR|2VULN|2AART|2ASPD|1DMG|1DUR	1RMIN|2DMG|3DUR|46ASPD|57VULN|8aAART|9RCR
5	33563 21322	   	220.20	DCR|2VULN|2AART|2ASPD|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|57VULN|8aAART|9RCR
6	62112 63351	 * 	215.70	DCR|2VULN|2DMG|1MDPS|1AART|2ZMB	1DLOT|29VULN|39ZMB|48RMIN|59DMG|6AART|7RCR|9BPWR|aMDPS
7	16263 21421	   	213.75	DCR|3VULN|2ASPD|1AART|1DMG	1RMIN|2DMG|3LHND|46ASPD|57aVULN|8AART|9RCR
8	16363 21421	   	213.75	DCR|3VULN|2ASPD|1AART|1DMG	1RMIN|2DMG|3LWND|46ASPD|57aVULN|8AART|9RCR
9	16463 21321	   	213.75	DCR|3VULN|2ASPD|1AART|1DMG	1RMIN|2DMG|3BEXP|46ASPD|57aVULN|8AART|9RCR
10	33263 25521	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	1TLV|2DMG|3LHND|46ASPD|58aVULN|7AART|9RCR
11	33363 25521	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	1TLV|2DMG|3LWND|46ASPD|58aVULN|7AART|9RCR
12	33263 21421	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	1TLV|2DMG|3LHND|46ASPD|57aVULN|8AART|9RCR
13	33363 21421	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	1TLV|2DMG|3LWND|46ASPD|57aVULN|8AART|9RCR
14	33463 21321	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	1TLV|2DMG|3BEXP|46ASPD|57aVULN|8AART|9RCR
15	16563 31321	   	213.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	1RMIN|2DMG|36DUR|4ASPD|57aVULN|8AART|9RCR
16	33563 31321	   	212.98	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	1TLV|2DMG|36DUR|4ASPD|57aVULN|8AART|9RCR
17	51342 41133	   	212.36	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1RPLT|29DMG|3MLV|47VULN|5DUR|6RCR|8AART|aMDPS
18	51242 41133	   	212.26	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1RPLT|29DMG|3ERES|47VULN|5DUR|6RCR|8AART|aMDPS
19	16263 21422	   	212.00	DCR|2VULN|2AART|2ASPD|1DMG	1RMIN|2DMG|3LHND|46ASPD|57VULN|8aAART|9RCR
20	16363 21422	   	212.00	DCR|2VULN|2AART|2ASPD|1DMG	1RMIN|2DMG|3LWND|46ASPD|57VULN|8aAART|9RCR
21	16463 21322	   	212.00	DCR|2VULN|2AART|2ASPD|1DMG	1RMIN|2DMG|3BEXP|46ASPD|57VULN|8aAART|9RCR
22	33263 25421	   	211.90	DCR|2VULN|2AART|2ASPD|1DMG	1TLV|2DMG|3LHND|46ASPD|5aVULN|78AART|9RCR
23	33363 25421	   	211.90	DCR|2VULN|2AART|2ASPD|1DMG	1TLV|2DMG|3LWND|46ASPD|5aVULN|78AART|9RCR
24	33463 21322	   	211.90	DCR|2VULN|2AART|2ASPD|1DMG	1TLV|2DMG|3BEXP|46ASPD|57VULN|8aAART|9RCR
25	16563 31322	   	211.33	DCR|2VULN|2AART|1ASPD|1DMG|2DUR	1RMIN|2DMG|36DUR|4ASPD|57VULN|8aAART|9RCR
26	33563 31322	   	211.23	DCR|2VULN|2AART|1ASPD|1DMG|2DUR	1TLV|2DMG|36DUR|4ASPD|57VULN|8aAART|9RCR
27	62632 62311	   	207.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1DLOT|249VULN|3BEXP|5ZMB|6AART|7DMG|8ASPD|aRCR
28	33563 41321	   	207.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1TLV|2DMG|3DUR|4ASPD|57aVULN|6RCVC|8AART|9RCR
29	62133 62351	   	207.57	DCR|2VULN|2ASPD|1AART|1DMG|2ZMB	1DLOT|29VULN|39ZMB|45LHND|6AART|7DMG|89ASPD|9BPWR|aRCR
30	33563 41322	   	205.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1TLV|2DMG|3DUR|4ASPD|57VULN|6RCVC|8aAART|9RCR
31	33563 21324	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|57VULN|8AART|9RCR|aLWND
32	33563 21325	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|57VULN|8AART|9RCR|aBELT
33	33563 21326	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|57VULN|8AART|9RCR|aBEXP
34	16563 21323	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1RMIN|2DMG|3DUR|46ASPD|57VULN|8AART|9RCR|aERES
35	33263 25522	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3LHND|46ASPD|58VULN|7AART|9RCR|aDUR
36	33363 25522	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3LWND|46ASPD|58VULN|7AART|9RCR|aDUR
37	33563 25321	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|5aVULN|7DMSP|8AART|9RCR
38	33263 21422	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3LHND|46ASPD|57VULN|8AART|9RCR|aDUR
39	33363 21422	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3LWND|46ASPD|57VULN|8AART|9RCR|aDUR
40	16115 41321	 * 	204.10	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	1RMIN|2DMG|3AAC|457VULN|6RCR|8AART|9MDPS|aAME
41	16115 41322	 * 	204.10	DCR|4VULN|1MDPS|1AART|1DMG|1AAC	1RMIN|2DMG|3AAC|457aVULN|6RCR|8AART|9MDPS
42	16115 41323	   	204.10	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	1RMIN|2DMG|3AAC|457VULN|6RCR|8AART|9MDPS|aRPLT
43	33563 21323	   	204.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|57VULN|8AART|9RCR|aERES
44	33115 41321	   	204.00	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	1TLV|2DMG|3AAC|457VULN|6RCR|8AART|9MDPS|aMLV
45	33115 41322	   	204.00	DCR|4VULN|1MDPS|1AART|1DMG|1AAC	1TLV|2DMG|3AAC|457aVULN|6RCR|8AART|9MDPS
46	33115 41323	   	204.00	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	1TLV|2DMG|3AAC|457VULN|6RCR|8AART|9MDPS|aRPLT
47	33115 41324	   	204.00	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	1TLV|2DMG|3AAC|457VULN|6RCR|8AART|9MDPS|aBEXP
48	33115 41325	 * 	204.00	DCR|3VULN|2DMG|1MDPS|1AART|1AAC	1TLV|2aDMG|3AAC|457VULN|6RCR|8AART|9MDPS
49	33115 41326	   	204.00	DCR|3VULN|1MDPS|1AART|1DMG|1AAC|1MSE	1TLV|2DMG|3AAC|457VULN|6RCR|8AART|9MDPS|aMSE
50	33115 41351	   	204.00	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	1TLV|2DMG|3AAC|457VULN|6RCR|8AART|9DLOT|aMDPS
51	34215 41321	 * 	204.00	DCR|3VULN|1MDPS|1AART|1ASPD|1AAC	1TLV|2AAC|3ASPD|457VULN|6RCR|8AART|9MDPS|aMLV
52	34215 41322	 * 	204.00	DCR|4VULN|1MDPS|1AART|1ASPD|1AAC	1TLV|2AAC|3ASPD|457aVULN|6RCR|8AART|9MDPS
53	34215 41323	   	204.00	DCR|3VULN|1MDPS|1AART|1ASPD|1AAC	1TLV|2AAC|3ASPD|457VULN|6RCR|8AART|9MDPS|aRPLT
54	16115 21322	 * 	203.75	DCR|3VULN|2AART|1DMG|1AAC|1DUR	1RMIN|2DMG|3AAC|457VULN|6DUR|8aAART|9RCR
55	33115 21322	   	203.65	DCR|3VULN|2AART|1DMG|1AAC|1DUR	1TLV|2DMG|3AAC|457VULN|6DUR|8aAART|9RCR
56	34215 21322	 * 	203.65	DCR|3VULN|2AART|1ASPD|1AAC|1DUR	1TLV|2AAC|3ASPD|457VULN|6DUR|8aAART|9RCR
57	62112 63352	   	203.65	DCR|2VULN|2DMG|1AART|1AAC|2ZMB	1DLOT|29VULN|39ZMB|48RMIN|59DMG|6AART|7RCR|9BPWR|aAAC
58	16115 21321	   	203.52	DCR|4VULN|1AART|1DMG|1AAC|1DUR	1RMIN|2DMG|3AAC|457aVULN|6DUR|8AART|9RCR
59	33115 21321	   	203.42	DCR|4VULN|1AART|1DMG|1AAC|1DUR	1TLV|2DMG|3AAC|457aVULN|6DUR|8AART|9RCR
60	34215 21321	   	203.42	DCR|4VULN|1AART|1ASPD|1AAC|1DUR	1TLV|2AAC|3ASPD|457aVULN|6DUR|8AART|9RCR
61	22323 61321	   	203.35	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	15DUR|2ZMB|3RMIN|47aVULN|6DMG|8AART|9RCR
62	62232 63314	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	1DLOT|249VULN|3DUST|5DMG|6AART|7RCR|8RMIN|aASPD
63	62232 63114	   	203.23	DCR|3VULN|1AART|1ASPD|1DMG	1DLOT|249VULN|3DUST|5DMG|6AART|7RCR|8ERES|aASPD
64	33563 21351	   	202.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|57VULN|8AART|9DLOT|aRCR
65	51341 41132	 * 	201.62	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2DMG|3MLV|47aVULN|5DUST|6RCR|8AART|9CDMG
66	22323 61322	   	201.60	DCR|2VULN|2AART|1DMG|2DUR|1ZMB	15DUR|2ZMB|3RMIN|47VULN|6DMG|8aAART|9RCR
67	51241 41132	   	201.52	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2DMG|3ERES|47aVULN|5DUST|6RCR|8AART|9CDMG
68	33115 41523	   	201.25	DCR|3VULN|2AART|1DMG|1AAC	1TLV|2DMG|3AAC|457VULN|6RCR|8ERES|9aAART
69	33115 41341	   	201.02	DCR|4VULN|1AART|1DMG|1AAC	1TLV|2DMG|3AAC|457aVULN|6RCR|8AART|9LEGI
70	62633 63112	   	200.86	DCR|3VULN|2DMG|1AART	1DLOT|249VULN|3BEXP|5aDMG|6AART|7RCR|8ERES
71	62232 63522	 * 	200.51	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1DLOT|24VULN|3DUST|5DMG|6AART|7RCR|8CDMG|9CGEN|aMDPS
72	62112 63523	   	200.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DLOT|29VULN|3ZMB|4RMIN|5DMG|6AART|7RCR|8CDMG|aDUR
73	62232 63531	   	200.41	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1DLOT|24VULN|3aDUST|5DMG|6AART|7RCR|8CDMG|9MDPS
74	62232 63532	   	200.41	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1DLOT|24VULN|3DUST|5DMG|6AART|7RCR|8CDMG|9MDPS|aBEXP
75	62232 63533	   	200.41	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1DLOT|24VULN|3DUST|5DMG|6AART|7RCR|8CDMG|9MDPS|aCGEN
76	62232 63513	   	200.33	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DLOT|24VULN|3DUST|5DMG|6AART|7RCR|8CDMG|9ZMB|aDUR
77	33563 25322	   	199.82	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1TLV|2DMG|3DUR|46ASPD|5VULN|7DMSP|8aAART|9RCR
78	33263 25422	   	199.82	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1TLV|2DMG|3LHND|46ASPD|5VULN|78AART|9RCR|aDUR
79	33363 25422	   	199.82	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1TLV|2DMG|3LWND|46ASPD|5VULN|78AART|9RCR|aDUR
80	62633 63322	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1DLOT|249VULN|3BEXP|5DMG|6AART|7RCR|8FEWX|aCDMG
81	62232 63222	   	199.52	DCR|3VULN|1AART|1DMG|1CDMG	1DLOT|249VULN|3DUST|5DMG|6AART|7RCR|8BEXP|aCDMG
82	33263 41421	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3LHND|4ASPD|57aVULN|6RCVC|8AART|9RCR
83	33363 41421	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3LWND|4ASPD|57aVULN|6RCVC|8AART|9RCR
84	33363 61421	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|36LWND|4ASPD|57aVULN|8AART|9RCR
85	33463 41321	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3BEXP|4ASPD|57aVULN|6RCVC|8AART|9RCR
