0	Index      	 *	Score 	Summary	Detail	
1	52115 31352	 * 	204.26	DCR|2VULN|2DMG|2ASPD|1ZMB	1FEWX|29DMG|3CGEN|4LHND|59VULN|6AELBLL|7RCR|89ASPD|9BPWR|aZMB
2	52325 24321	 * 	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1FEWX|2DMG|3AELBLL|4CDMG|58VULN|6RCR|7AAC|9AART|aASPD
3	12465 31321	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1MLV|2ZMB|3DUR|4FEWX|56VULN|7RCR|8CDMG|9AART|aASPD
4	12635 31321	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1MLV|2ZMB|3FEWX|4DUR|56VULN|7RCR|8CDMG|9AART|aASPD
5	52633 31225	 * 	199.53	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1FEWX|25DMG|35ASPD|4AART|5BPWR|6LIT|7VULN|8DUR|9RPLT|aRCR
6	12415 31253	 * 	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1MLV|2ZMB|3DUR|4LHND|56VULN|7RCR|8AART|9aASPD
7	12635 31253	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1MLV|2ZMB|3FEWX|4DUR|56VULN|7RCR|8AART|9aASPD
8	52633 11224	 * 	198.25	DCR|3ASPD|2AART|2DMG	1FEWX|25DMG|35aASPD|48AART|5BPWR|6LEGI|7DLOT|9RCR
9	52323 46112	 * 	196.75	DCR|3DMG|1VULN|1AART|1CDMG	1FEWX|257DMG|3AELBLL|4CDMG|6RCR|8VULN|9LIT|aAART
10	52323 46132	   	196.75	DCR|3DMG|1VULN|1AART|1CDMG	1FEWX|257DMG|39AELBLL|4CDMG|6RCR|8VULN|aAART
11	52626 31123	 * 	196.56	DCR|2DMG|1AART|2CDMG|1ASPD|2DUR	1FEWX|2aDMG|3ASPD|4MLV|5aDUR|6CGEN|7RCR|8aCDMG|9AART|aBPWR
12	12635 31325	 * 	196.54	DCR|2VULN|2AART|1CDMG|1ZMB|1DUR	1MLV|2ZMB|3FEWX|4DUR|56VULN|7RCR|8CDMG|9aAART
13	62131 55211	   	196.07	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2RMIN|3AME|4VULN|5AART|6DMG|7RCR|8ZMB|9CDMG|aASPD
14	61421 22131	 * 	195.82	DCR|4VULN|2ASPD|1NUKE	1RCVC|2NUKE|3aERES|4DMSP|589aVULN|6RCR|7aASPD|aBPWR
15	61436 22131	   	195.72	DCR|4VULN|2ASPD|1NUKE	1RCVC|2NUKE|35aERES|489aVULN|6RCR|7aASPD|aBPWR
16	64421 32231	 * 	195.58	ACR|2VULN|2DMG|2ASPD|1AART	1RCVC|29DMG|3aASPD|4RCR|5AART|69LIT|7DMSP|89VULN|9BPWR
17	66132 32325	 * 	195.51	DCR|3VULN|2DMG|1ASPD	1RCVC|29ERES|35MLV|459VULN|59BPWR|6DUST|7ASPD|89DMG|aRCR
18	12532 31321	 * 	195.43	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1MLV|2ZMB|3RCVC|46VULN|5MDPS|7RCR|8CDMG|9AART|aASPD
19	12555 31321	   	195.43	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1MLV|2ZMB|3RCVC|4MDPS|56VULN|7RCR|8CDMG|9AART|aASPD
20	12532 31256	 * 	195.26	DCR|2VULN|2AART|1MDPS|1ASPD|1ZMB	1MLV|2ZMB|3RCVC|46VULN|5MDPS|7RCR|8aAART|9ASPD
21	66132 13124	 * 	194.16	DCR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2ERES|35MLV|458VULN|5BPWR|6ZMB|7RCR|9CDMG|aAART
22	52115 31353	   	193.93	DCR|2VULN|2DMG|2ASPD	1FEWX|29DMG|3CGEN|4LHND|59VULN|6AELBLL|7RCR|89ASPD|9BPWR|aAME
23	52115 31351	   	193.83	DCR|2VULN|2DMG|2ASPD|1MSE	1FEWX|29DMG|3CGEN|4LHND|59VULN|6AELBLL|7RCR|89ASPD|9BPWR|aMSE
24	15111 32663	 * 	193.78	DCR|3VULN|1AART|1ASPD|1DUR	123MLV|2BPWR|489VULN|5DUR|6RCR|7AART|aASPD
25	66132 13116	 * 	193.75	DCR|4VULN|1AART|1ZMB	1RCVC|2ERES|35MLV|458aVULN|5BPWR|6ZMB|7RCR|9AART
26	15111 31652	 * 	193.73	DCR|2VULN|2DMG|1AART|1DUR	123MLV|2aBPWR|4aVULN|5DUR|6RCR|7aDMG|8aAME|9AART
27	12532 31253	 * 	193.40	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1MLV|2ZMB|3RCVC|46VULN|5MDPS|7RCR|8AART|9aASPD
28	36215 37443	   	192.68	DCR|3ASPD|2DMG|1AART|1DUR	17AME|2LWND|3MBVNT|4AART|57DMG|67aASPD|7BPWR|8RCR|9DUR
29	64161 22113	   	192.18	DCR|2VULN|1AART|1ASPD|1DMG	1aRCVC|2DMG|34MLV|58VULN|6RCR|7ASPD|9AART
30	52325 23162	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DMG|3AELBLL|4CDMG|58VULN|6RCR|7DUST|9DUR|aAART
31	15111 32653	   	192.02	DCR|2VULN|2AART|1ASPD|1DUR	123MLV|2BPWR|48VULN|5DUR|6RCR|79AART|aASPD
32	64161 22112	   	191.87	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|34MLV|58VULN|6RCR|7ASPD|9AART|aCGEN
33	64161 22111	   	191.77	DCR|2VULN|1AART|1ASPD|1DMG	1RCVC|2DMG|34MLV|58VULN|6RCR|7ASPD|9AART|aERES
34	35132 32323	   	191.54	DCR|3VULN|2DMG|1ASPD	129AME|259BPWR|35MLV|459VULN|6DUST|7ASPD|89DMG|aRCR
35	12532 31325	 * 	191.45	DCR|2VULN|2AART|1MDPS|1CDMG|1ZMB	1MLV|2ZMB|3RCVC|46VULN|5MDPS|7RCR|8CDMG|9aAART
36	15232 32323	   	191.34	DCR|3VULN|2DMG|1ASPD	129MLV|259BPWR|35TLV|459VULN|6DUST|7ASPD|89DMG|aRCR
37	35332 32323	   	191.34	DCR|3VULN|2DMG|1ASPD	129AME|259BPWR|35ERES|459VULN|6DUST|7ASPD|89DMG|aRCR
38	35632 32323	   	191.34	DCR|3VULN|2DMG|1ASPD	129AME|259BPWR|35TLV|459VULN|6DUST|7ASPD|89DMG|aRCR
39	52633 31325	   	191.13	DCR|2DMG|2ASPD|1AART|1VULN	1FEWX|25DMG|35ASPD|4AART|5BPWR|6LIT|7VULN|8DUST|9RPLT|aRCR
40	66132 23322	 * 	191.00	DCR|3VULN|3ASPD|1AAC	1RCVC|29ERES|35MLV|459VULN|59BPWR|6AAC|7RCR|89aASPD
41	66132 13324	   	190.74	DCR|2VULN|2ASPD|1DMG|1ZMB	1RCVC|29ERES|359MLV|45VULN|59BPWR|6ZMB|7RCR|89ASPD|aDMG
42	66132 13325	   	190.74	DCR|2VULN|2ASPD|1NUKE|1ZMB	1RCVC|29ERES|359MLV|45VULN|59BPWR|6ZMB|7RCR|89ASPD|aNUKE
43	12511 53251	 * 	190.63	DCR|3DMG|1VULN|1ASPD|1ZMB	17MLV|2ZMB|3RCVC|479DMG|57BEXP|6RCR|7BPWR|8ASPD|aVULN
44	32511 53251	   	190.63	DCR|3DMG|1VULN|1ASPD|1ZMB	17AME|2ZMB|3RCVC|479DMG|57BEXP|6RCR|7BPWR|8ASPD|aVULN
45	52325 22362	   	190.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2DMG|3AELBLL|4CDMG|58VULN|6RCR|7CGEN|9ASPD|aZMB
46	66132 13125	 * 	190.44	DCR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2ERES|35MLV|458VULN|5BPWR|6ZMB|7RCR|9CDMG|aDMG
47	52325 24332	   	190.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1FEWX|2DMG|3AELBLL|4CDMG|58VULN|6RCR|7AAC|9ASPD|aZMB
48	15145 31121	   	190.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	123MLV|2BPWR|4DMG|56VULN|7RCR|8CDMG|9DUR|aAART
49	53434 31121	   	190.19	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1FEWX|2LWND|35VULN|4ASPD|6CGEN|7RCR|8CDMG|9DUR|aAART
50	12615 31253	   	190.19	DCR|2VULN|2ASPD|1AART|1ZMB	1MLV|2ZMB|3FEWX|4LHND|56VULN|7RCR|8AART|9aASPD
51	13465 31321	   	190.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1MLV|2AAC|3DUR|4FEWX|56VULN|7RCR|8CDMG|9AART|aASPD
52	13635 31321	   	190.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1MLV|2AAC|3FEWX|4DUR|56VULN|7RCR|8CDMG|9AART|aASPD
53	52435 31121	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DMG|3LHND|4TLV|56VULN|7RCR|8CDMG|9DUR|aAART
54	35132 13124	   	190.09	DCR|3VULN|1AART|1CDMG|1ZMB	12AME|25BPWR|35MLV|458VULN|6ZMB|7RCR|9CDMG|aAART
55	15145 31331	   	190.09	DCR|3VULN|1ASPD|1DMG|1ZMB	123MLV|2BPWR|4DMG|56aVULN|7RCR|8ASPD|9ZMB
56	36215 37441	   	190.09	DCR|2DMG|2ASPD|1AART|1ZMB|1DUR	17AME|2LWND|3MBVNT|4AART|57DMG|67ASPD|7BPWR|8RCR|9DUR|aZMB
57	35332 13124	   	189.89	DCR|3VULN|1AART|1CDMG|1ZMB	12AME|25BPWR|35ERES|458VULN|6ZMB|7RCR|9CDMG|aAART
58	52346 31121	   	189.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2DMG|3AELBLL|4VULN|5DUR|6CGEN|7RCR|8CDMG|9AART|aASPD
59	35132 13116	   	189.69	DCR|4VULN|1AART|1ZMB	12AME|25BPWR|35MLV|458aVULN|6ZMB|7RCR|9AART
60	61121 22116	 * 	189.54	DCR|3VULN|1AART|1ASPD|1NUKE	1RCVC|2NUKE|3AME|4DMSP|58aVULN|6RCR|7ASPD|9AART
61	35332 13116	   	189.49	DCR|4VULN|1AART|1ZMB	12AME|25BPWR|35ERES|458aVULN|6ZMB|7RCR|9AART
62	61421 22116	   	189.44	DCR|3VULN|1AART|1ASPD|1NUKE	1RCVC|2NUKE|3ERES|4DMSP|58aVULN|6RCR|7ASPD|9AART
63	52632 36123	 * 	189.43	DCR|2DMG|1AART|1ASPD|1NUKE|1ZMB	1FEWX|28DMG|3ASPD|4AART|5DUST|6CGEN|7RCR|9ZMB|aNUKE
64	64161 22313	   	189.39	DCR|2DMG|1VULN|1AART|1ASPD	1aRCVC|28DMG|34MLV|5VULN|6RCR|7ASPD|9AART
65	64161 22312	   	189.07	DCR|2DMG|1VULN|1AART|1ASPD	1RCVC|28DMG|34MLV|5VULN|6RCR|7ASPD|9AART|aCGEN
66	64161 22311	   	188.97	DCR|2DMG|1VULN|1AART|1ASPD	1RCVC|28DMG|34MLV|5VULN|6RCR|7ASPD|9AART|aERES
67	13521 22116	 * 	188.68	DCR|3VULN|1AART|1ASPD|1AAC	1MLV|2AAC|3RCVC|4DMSP|58aVULN|6RCR|7ASPD|9AART
