0	Index      	 *	Score 	Summary	Detail	
1	24364 12322	 * 	219.21	DCR|4VULN|2DMG|1MDPS|1AART	178aVULN|28LHND|38aLIT|4AART|5MDPS|6RCR|8aBPWR|9aDMG
2	25332 64131	 * 	211.86	DCR|5VULN|1ASPD|1DMG	1489aVULN|2LWND|3ASPD|5FEWX|6RCR|7DMG
3	25332 64111	 * 	211.82	DCR|4VULN|2ASPD|1DMG	148aVULN|2LWND|39ASPD|5FEWX|6RCR|7DMG
4	24361 21623	 * 	209.35	DCR|3VULN|2CDMG|1AART|1ASPD	189VULN|29LHND|3LIT|4AART|5MLV|6RCR|79CDMG|9BPWR|aASPD
5	32163 64131	   	207.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1MLV|2ASPD|3LHND|489aVULN|5ZMB|6RCR|7DMG
6	24361 21223	 * 	207.59	DCR|2VULN|2AART|2CDMG|1ASPD	19VULN|29LHND|3LIT|48AART|5MLV|6RCR|79CDMG|9BPWR|aASPD
7	24365 21223	   	207.59	DCR|2VULN|2AART|2CDMG|1ASPD	19VULN|29LHND|3LIT|48AART|5AME|6RCR|79CDMG|9BPWR|aASPD
8	24525 13232	 * 	207.48	DCR|4VULN|2DMG|1CDMG	179aVULN|27LHND|3MBVNT|4FEWX|5CDMG|67DMG|7BPWR|8RCR
9	32163 64111	   	206.31	DCR|3VULN|2ASPD|1DMG|1ZMB	1MLV|29ASPD|3LHND|48aVULN|5ZMB|6RCR|7DMG
10	25332 64132	   	205.91	DCR|4VULN|1ASPD|1DMG|1DUR	1489VULN|2LWND|3ASPD|5FEWX|6RCR|7DMG|aDUR
11	23146 43232	 * 	205.59	DCR|5VULN|2DMG	1679aVULN|2FEWX|37LHND|47DMG|5RPLT|7BPWR|8RCR
12	25331 13313	 * 	204.29	ACR|3VULN|1SPLARM|1AART|1ASPD|1DMG|1AAC	14aVULN|2LWND|3ASPD|5RCR|6AAC|7AART|8SPLARM|9DMG
13	23423 64111	   	204.28	DCR|3VULN|2ASPD|1DMG|1DUR	18aVULN|24FEWX|3DUR|59ASPD|6RCR|7DMG
14	25332 64112	   	204.28	DCR|3VULN|2ASPD|1DMG|1DUR	148VULN|2LWND|39ASPD|5FEWX|6RCR|7DMG|aDUR
15	25332 64123	   	204.28	DCR|3VULN|2ASPD|1DMG|1DUR	148VULN|2LWND|3aASPD|5FEWX|6RCR|7DMG|9DUR
16	24525 33232	 * 	204.11	DCR|4VULN|2ASPD|1CDMG	179aVULN|27LHND|3MBVNT|4FEWX|5CDMG|67ASPD|7BPWR|8RCR
17	24364 12122	   	203.16	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2LHND|38aLIT|4AART|5MDPS|6RCR|9aDMG|aBPWR
