0	Index      	 *	Score 	Summary	Detail	
1	61422 22121	 * 	237.45	ACR|3VULN|3DMG|2AART|1CDMG|1DUR	1RCR|278DMG|3DUR|478LHND|5aAART|678VULN|78BPWR|9CDMG
2	61422 22124	   	226.62	ACR|3VULN|3DMG|1AART|1CDMG|2DUR	1RCR|278DMG|3aDUR|478LHND|5AART|678VULN|78BPWR|9CDMG
3	61422 22151	 * 	225.19	ACR|3VULN|3DMG|1AART|1ASPD|1DUR	1RCR|278DMG|3DUR|478aLHND|5AART|678VULN|78BPWR|9ASPD
4	61422 22153	   	225.19	ACR|3VULN|3DMG|1AART|1ASPD|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9ASPD|aBEXP
5	61422 22152	   	225.09	ACR|3VULN|3DMG|1AART|1ASPD|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9ASPD|aLEGI
6	12114 55211	 * 	222.22	DCR|4VULN|2ASPD|3DUR|1CDMG	147DUR|2467VULN|3RCVC|47BPWR|57ASPD|8TLV|9CDMG|aRCR
7	61422 22122	   	221.37	ACR|3VULN|3DMG|1AART|1CDMG|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9CDMG|aRPLT
8	61422 22126	   	221.37	ACR|3VULN|3DMG|1AART|1CDMG|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9CDMG|aBEXP
9	61422 22161	   	221.37	ACR|3VULN|3DMG|1AART|1CDMG|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9LIT|aCDMG
10	61422 22123	   	221.27	ACR|3VULN|3DMG|1AART|1CDMG|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9CDMG|aERES
11	61422 22143	 * 	220.97	ACR|4VULN|3DMG|1AART|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|6789VULN|78BPWR|aFEWX
12	61422 22141	   	220.87	ACR|4VULN|3DMG|1AART|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|6789VULN|78BPWR|aERES
13	61422 22142	   	220.87	ACR|4VULN|3DMG|1AART|1DUR|1MSE	1RCR|278DMG|3DUR|478LHND|5AART|6789VULN|78BPWR|aMSE
14	12111 52214	 * 	214.82	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR	14DUR|24VULN|3RCVC|4BPWR|5CDMG|6RCR|7FEWX|8ASPD|9aDMG
