0	Index      	 *	Score 	Summary	Detail	
1	13151 16432	 * 	223.58	DCR|3VULN|2DMG|1AART|2ZMB|1AAC	1RCVC|28ZMB|38DMG|478VULN|5RMIN|6RCR|8BPWR|9AART|aAAC
2	63212 54112	 * 	223.14	ACR|3VULN|3ASPD|1AART|1DMG|3DUR|1SELL	18aASPD|28aDUR|3SELL|4RCR|5DMG|6LIT|78aVULN|8aBPWR|9AART
3	11616 16332	 * 	219.68	DCR|4VULN|2DMG|1CDMG|1DUR	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9DUR|aCDMG
4	11616 16313	 * 	218.66	DCR|4VULN|2DMG|1AART|1SELL	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9SELL|aAART
5	12521 33515	 * 	217.33	DCR|3VULN|2AART|2DMG	1RCVC|2aDMG|3LIT|49aVULN|58AART|6aLHND|7RCR|aBPWR
6	21312 45125	 * 	216.95	DCR|1SPLARM|2VULN|1AART|1DMG|1ASPD	13LWND|23LIT|3BPWR|45VULN|6RCR|7SPLARM|8DMG|9ASPD|aAART
7	13151 16433	   	216.81	DCR|3VULN|2DMG|1AART|2ZMB	1RCVC|28ZMB|38DMG|478VULN|5RMIN|6RCR|8BPWR|9AART|aLWND
8	13151 16431	   	216.71	DCR|3VULN|2DMG|1AART|2ZMB	1RCVC|28ZMB|38DMG|478VULN|5RMIN|6RCR|8BPWR|9AART|aDUST
9	63614 32112	 * 	215.89	ACR|3ASPD|2VULN|2DMG|1AART|2DUR	19aASPD|29DUR|3AART|47VULN|5RCR|6BEXP|89DMG|9BPWR
10	12311 16343	 * 	214.53	DCR|3DMG|2VULN|1AART|2DUR	1RCVC|25aDMG|3BEXP|4LEGI|6RCR|7aVULN|8AART|9aDUR|aBPWR
11	11616 16331	   	213.77	DCR|4VULN|2DMG|1ZMB|1DUR	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9DUR|aZMB
12	13512 52315	 * 	211.67	DCR|2VULN|2ASPD|1AART|1DMG|2ZMB	1RCVC|2aZMB|3aLIT|4DMG|59VULN|6AART|7aASPD|8RCR|aBPWR
13	15316 11226	   	211.46	DCR|3VULN|2DMG|1AART|1DUR	1RCVC|2LHND|359VULN|45DMG|5BPWR|6RCR|7RPLT|8DUR|aAART
14	11616 16322	   	211.38	DCR|4VULN|2DMG|1CDMG	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9LHND|aCDMG
15	11616 11226	   	211.36	DCR|3VULN|2DMG|1AART|1DUR	1RCVC|2LEGI|359VULN|45DMG|5BPWR|6RCR|7RPLT|8DUR|aAART
16	21312 45124	 * 	210.76	DCR|1SPLARM|2VULN|2DMG|1ASPD	13LWND|23LIT|3BPWR|45VULN|6RCR|7SPLARM|8aDMG|9ASPD
17	11611 16134	 * 	210.68	DCR|4VULN|3DMG	1RCVC|2LEGI|379aVULN|45aDMG|6RCR|8aTLV|aBPWR
18	15316 13121	 * 	210.67	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC|1ZMB	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|8ZMB|9ASPD|aMDPS
19	24213 26252	   	210.58	DCR|1SPLARM|2VULN|2DMG|2DUR|1AAC|1ZMB	19LWND|2AAC|3ZMB|49DMG|5aVULN|6SPLARM|79DUR|8RCR|9BPWR
20	11616 13121	   	210.57	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC|1ZMB	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|8ZMB|9ASPD|aMDPS
21	41421 34112	 * 	210.37	ACR|3VULN|3CDMG|1AART|1ASPD|1DMG	18aFEWX|2LIT|3RCR|48aCDMG|5ASPD|6DMG|78aVULN|8aBPWR|9AART
22	12151 16432	 * 	209.83	DCR|3VULN|2DMG|1AART|1NUKE|1AAC	1RCVC|28DMG|3NUKE|478VULN|5RMIN|6RCR|8BPWR|9AART|aAAC
23	62222 66332	 * 	209.46	ACR|3VULN|2ASPD|1AART|1DMG|1CDMG|1SELL	19ASPD|2SELL|3RCR|478VULN|5DMG|6CDMG|aAART
24	63514 11213	 * 	209.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2DUR|3CGEN|45DMG|6RCR|7RPLT|8AART|9VULN|aCDMG
25	65114 11213	   	209.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2CGEN|3DUR|45DMG|6RCR|7RPLT|8AART|9VULN|aCDMG
26	64114 11213	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2ERES|3DUR|45DMG|6RCR|7RPLT|8AART|9VULN|aCDMG
27	13151 16422	   	209.28	DCR|3VULN|2DMG|1CDMG|2ZMB	1RCVC|28ZMB|38DMG|478VULN|5RMIN|6RCR|8BPWR|9LHND|aCDMG
28	11616 16221	 * 	208.44	DCR|3VULN|2DMG|1MDPS|1ZMB	1RCVC|2LEGI|357VULN|45DMG|5BPWR|6RCR|8ZMB|9LHND|aMDPS
29	63614 11113	 * 	207.92	ACR|2VULN|2DMG|2ASPD|1AART|3DUR	19ASPD|269DUR|3AART|4aVULN|5RCR|7DUST|89DMG|9BPWR
30	15316 11161	 * 	207.60	DCR|3DMG|2VULN|1ASPD|1ZMB	1RCVC|2LHND|35VULN|458DMG|5BPWR|6RCR|7RPLT|9ASPD|aZMB
31	11616 11161	   	207.50	DCR|3DMG|2VULN|1ASPD|1ZMB	1RCVC|2LEGI|35VULN|458DMG|5BPWR|6RCR|7RPLT|9ASPD|aZMB
32	62222 52112	 * 	206.54	ACR|3VULN|3ASPD|1AART|1DMG|1SELL	18aASPD|2SELL|3RCR|48aVULN|5DMG|6LIT|78aFEWX|8aBPWR|9AART
33	62232 54112	 * 	206.54	ACR|3VULN|3ASPD|1AART|1DMG|1SELL	18aASPD|2SELL|3RCR|48aFEWX|5DMG|6LIT|78aVULN|8aBPWR|9AART
34	63514 11322	 * 	206.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1ASPD|2DUR|3CGEN|45DMG|6RCR|7RPLT|89VULN|aCDMG
35	65114 11322	   	206.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1ASPD|2CGEN|3DUR|45DMG|6RCR|7RPLT|89VULN|aCDMG
36	64114 11322	   	205.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1ASPD|2ERES|3DUR|45DMG|6RCR|7RPLT|89VULN|aCDMG
37	11616 13126	 * 	205.96	DCR|2VULN|2DMG|2ASPD|1AAC|1ZMB	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|8ZMB|9aASPD
