0	Index      	 *	Score 	Summary	Detail	
1	11616 33234	 * 	213.96	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19DMG|29FEWX|3BEXP|4DUR|59VULN|6RMIN|7AART|8RCR|9BPWR|aASPD
2	52413 15231	 * 	210.36	ACR|4VULN|2DMG|1AART|2DUR	1RCR|2789VULN|3LWND|47DUR|5AART|67DMG|7BPWR|aAME
3	52413 15232	   	210.36	ACR|4VULN|2DMG|1AART|2DUR	1RCR|2789VULN|3LWND|47DUR|5AART|67DMG|7BPWR|aFEWX
4	31334 43162	 * 	210.32	DCR|3VULN|1AART|2CDMG|3DUR|1ZMB	159DUR|279VULN|3ZMB|45MLV|59BPWR|69CDMG|8AART|aRCR
5	52413 15233	   	210.26	ACR|4VULN|2DMG|1AART|2DUR|1MSE	1RCR|2789VULN|3LWND|47DUR|5AART|67DMG|7BPWR|aMSE
6	31324 23256	 * 	209.55	DCR|3VULN|1AART|1NUKE|2DUR|1ZMB	19DUR|289VULN|3ZMB|4BEXP|59MLV|6RCR|7AART|9BPWR|aNUKE
7	31332 23256	   	209.55	DCR|3VULN|1AART|1NUKE|2DUR|1ZMB	19DUR|289VULN|3ZMB|4MLV|59FEWX|6RCR|7AART|9BPWR|aNUKE
8	43326 61232	 * 	206.89	DCR|3VULN|1MDPS|2ASPD|1AART	1RCVC|2aLHND|3aASPD|4RMIN|59aVULN|6AART|7MDPS|8RCR|aBPWR
9	13226 61232	 * 	206.10	DCR|3VULN|2DMG|1MDPS|1AART	1aDMG|2aLHND|3DMSP|4RMIN|59aVULN|6AART|7MDPS|8RCR|aBPWR
10	13616 13126	 * 	205.48	DCR|2VULN|2DMG|2ASPD|2DUR	19DMG|2LHND|39BEXP|47DUR|5aVULN|69ASPD|8RCR|9BPWR
11	11216 13126	   	205.38	DCR|2VULN|2DMG|2ASPD|2DUR	19DMG|29FEWX|3LEGI|47DUR|5aVULN|69ASPD|8RCR|9BPWR
12	14216 13126	   	205.18	DCR|2VULN|2DMG|2ASPD|2DUR	19DMG|29DUST|3LEGI|47DUR|5aVULN|69ASPD|8RCR|9BPWR
13	36351 22412	 * 	205.17	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|2DUR|1ZMB	17DUR|2BASFIG|3VULN|4ZMB|5DMG|6AART|8ASPD|9RCR|aNUKE
14	31513 63236	 * 	204.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|28VULN|3LIT|4AART|5LHND|6CDMG|7RCR|9aASPD
15	35222 53234	   	204.39	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19DUR|29BEXP|3DMG|4RMIN|5FEWX|69VULN|7AART|8RCR|9BPWR|aASPD
16	35322 53234	   	204.39	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19DUR|29BEXP|3ASPD|4RMIN|5FEWX|69VULN|7AART|8RCR|9BPWR|aDMG
17	21314 23256	   	204.11	DCR|3VULN|1AART|1NUKE|1ZMB|1DUR	19DUST|289VULN|3ZMB|4DUR|59MLV|6RCR|7AART|9BPWR|aNUKE
18	31324 23226	   	204.11	DCR|3VULN|1AART|1NUKE|1ZMB|1DUR	1DUR|289VULN|3ZMB|4BEXP|5MLV|6RCR|7AART|aNUKE
19	31332 23226	   	204.11	DCR|3VULN|1AART|1NUKE|1ZMB|1DUR	1DUR|289VULN|3ZMB|4MLV|5FEWX|6RCR|7AART|aNUKE
20	21314 23226	   	204.01	DCR|3VULN|1AART|1NUKE|1ZMB|1DUR	1DUST|289VULN|3ZMB|4DUR|5MLV|6RCR|7AART|aNUKE
21	31364 23226	   	204.01	DCR|3VULN|1AART|1NUKE|1ZMB|1DUR	1DUR|289VULN|3ZMB|4DUST|5MLV|6RCR|7AART|aNUKE
22	33131 44326	 * 	203.88	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	12DUR|3RMIN|4LHND|57AART|6RCR|8DMG|9ASPD|aVULN
23	52134 23522	 * 	203.63	ACR|4VULN|2DMG|1ASPD|1ZMB	1RCR|2459VULN|345BEXP|459BPWR|6ZMB|79LHND|89DMG|aASPD
24	52134 23521	 * 	202.39	ACR|4VULN|2DMG|1MDPS|1ZMB	1RCR|2459VULN|345BEXP|459BPWR|6ZMB|79LHND|89DMG|aMDPS
25	32162 26412	 * 	202.29	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|2DUR	17DUR|2RMIN|3NUKE|47MULFIG|57VULN|6AART|7BPWR|8ASPD|9RCR|aDMG
26	31353 55222	 * 	202.21	DCR|3VULN|1MDPS|3ZMB|1AART|3DUR	157DUR|278VULN|378ZMB|4MDPS|6AART|78BPWR|9BEXP|aRCR
27	52311 13634	 * 	201.58	ACR|2VULN|2ASPD|1AART|1DMG|2ZMB|1DUR	1RCR|29VULN|39ZMB|4DUR|5FEWX|69ASPD|7AART|8LEGI|9BPWR|aDMG
28	13113 66631	 * 	201.22	DCR|2VULN|2AART|2DMG|1SELL	15DMG|2LHND|3SELL|47AART|69VULN|8RCR|aRMIN
29	35212 61123	 * 	200.92	DCR|3VULN|2DMG|3DUR	149DUR|2BEXP|39DMG|5RMIN|6LEGI|79aVULN|8RCR|9BPWR
30	11616 15123	   	200.24	DCR|2VULN|2DMG|2ASPD|1DUR	19DMG|2FEWX|379BEXP|4DUR|5aVULN|69ASPD|8RCR|9BPWR
31	13616 15123	   	200.24	DCR|2VULN|2DMG|2ASPD|1DUR	19DMG|2LHND|379BEXP|4DUR|5aVULN|69ASPD|8RCR|9BPWR
32	33415 48124	 * 	199.90	DCR|2AART|1VULN|1ASPD|1DMG|3DUR	124DUR|3MBVNT|56AART|7RCR|8DMG|9ASPD|aVULN
33	11356 33124	 * 	199.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2FEWX|3RPLT|47AART|5LWND|6RCR|8CDMG|9VULN|aASPD
34	52413 15122	 * 	199.47	ACR|3VULN|2DMG|1AART|3DUR|1AAC	1RCR|279VULN|3LWND|47aDUR|5AART|67DMG|7BPWR|8AAC
35	35212 61122	 * 	199.34	DCR|2VULN|2DMG|3DUR|1CDMG	149DUR|2BEXP|39DMG|5RMIN|6LEGI|79VULN|8RCR|9BPWR|aCDMG
36	33325 12341	 * 	199.12	DCR|2AART|1VULN|1ASPD|3DUR|1CDMG	126DUR|3ASPD|4RMIN|57AART|8CDMG|9RCR|aVULN
37	36322 21142	 * 	198.85	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG|1DUR	1DUR|2BASFIG|3VULN|4MDPS|5AART|678DMG|9RCR|aCDMG
38	22616 13234	   	198.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2RMIN|3BEXP|4DUR|59VULN|6ASPD|7AART|8RCR|aDMG
39	36351 26212	 * 	198.80	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	17DUR|27BASFIG|3VULN|4ZMB|57DMG|6aAART|7BPWR|8CGEN|9RCR
40	14212 65424	   	198.58	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	19DMG|2DUST|3LEGI|49DUR|5MDPS|6RCR|7MBVNT|89VULN|9BPWR|aAART
41	23322 25234	   	198.46	DCR|2VULN|1AART|1ASPD|2DUR|1ZMB	19DUST|29DUR|3ZMB|4RMIN|5FEWX|6RCR|7AART|89VULN|9BPWR|aASPD
42	35223 61126	   	198.33	DCR|3VULN|2DMG|2DUR	19DUR|2BEXP|39DMG|4RMIN|5RCVC|6LEGI|79aVULN|8RCR|9BPWR
43	11216 33123	   	198.15	DCR|3VULN|2DMG|3DUR	19DMG|2FEWX|3LEGI|479DUR|59aVULN|6RMIN|8RCR|9BPWR
