0	Index      	 *	Score 	Summary	Detail	
1	32354 15113	 * 	290.90	DCR|2TLV|2VULN|2AART|1DMG|1AEBURN	14AART|2aVULN|3AEBURN|5MDPS|69TLV|7DMG|8RCR
2	36115 15113	   	290.45	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART|1DUR	1AART|2AEBURN|3DUR|4LHND|5aVULN|69TLV|7DMG|8RCR
3	32311 16113	   	290.35	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART|1DUR	1AART|2aVULN|3AEBURN|4LEGI|5DMG|6DUR|79TLV|8RCR
4	36311 16113	   	290.35	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART|1DUR	1AART|2AEBURN|3aVULN|4LEGI|5DMG|6DUR|79TLV|8RCR
5	32163 15113	 * 	285.32	DCR|3VULN|2TLV|1DMG|1AART	1AART|25aVULN|3BEXP|4DUST|69TLV|7DMG|8RCR
6	25315 15113	 * 	280.79	DCR|2TLV|2VULN|1DMG|1AEPOI|1AART	1FEWX|2AART|3AEPOI|4LHND|5aVULN|69TLV|7DMG|8RCR
7	32165 15113	   	280.69	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2aVULN|3BEXP|4DUST|5AEBURN|69TLV|7DMG|8RCR
8	32311 26113	   	280.69	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2aVULN|3AEBURN|4LEGI|5DMG|6BEXP|79TLV|8RCR
9	32316 15113	   	280.69	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2aVULN|3AEBURN|4LEGI|5BEXP|69TLV|7DMG|8RCR
10	36311 26113	   	280.69	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2AEBURN|3aVULN|4LEGI|5DMG|6BEXP|79TLV|8RCR
11	36316 15113	   	280.69	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2AEBURN|3aVULN|4LEGI|5BEXP|69TLV|7DMG|8RCR
12	32311 66113	   	280.59	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2aVULN|3AEBURN|4LEGI|5DMG|6DUST|79TLV|8RCR
13	32314 15113	   	280.59	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2aVULN|3AEBURN|4LEGI|5DUST|69TLV|7DMG|8RCR
14	36311 66113	   	280.59	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2AEBURN|3aVULN|4LEGI|5DMG|6DUST|79TLV|8RCR
15	36314 15113	   	280.59	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2AEBURN|3aVULN|4LEGI|5DUST|69TLV|7DMG|8RCR
16	32611 16113	   	280.50	DCR|2TLV|2VULN|2AART|1DMG|1DUR	13AART|2aVULN|4LEGI|5DMG|6DUR|79TLV|8RCR
17	32225 11146	 * 	279.53	DCR|2TLV|2VULN|1AEFBLL|2DUR|1AART	1AART|2aVULN|3CGEN|4aTLV|5AEFBLL|6LEGI|7FEWX|8RCR|9aDUR|aBPWR
18	26512 23513	 * 	279.20	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1FEWX|24LIT|3ASPD|5DMG|6VULN|78RCR|9AME|aTLV
19	32221 45233	   	278.02	DCR|3VULN|1TLV|1DMG|2DUR|1AART	1AART|28aVULN|38CGEN|4TLV|5DMG|6MDPS|78DUR|8BPWR|9RCR
20	32311 16155	   	277.80	DCR|2VULN|1TLV|1DMG|1AEBURN|1CDMG|1AART|1DUR	1AART|2aVULN|3AEBURN|4LEGI|5DMG|6DUR|7TLV|8RCR|9CDMG
21	32143 16236	   	274.48	DCR|2TLV|2VULN|1DMG|1ASPD|1AART	1AART|28VULN|38BEXP|4CGEN|5ASPD|68TLV|7MDPS|8BPWR|9RCR|aDMG
