0	Index      	 *	Score 	Summary	Detail	
1	61613 42111	 * 	307.76	DCR|3VULN|2TLV|3DMG	145DMG|2LEGI|39aVULN|6RCR|7aTLV|8aFEWX|aBPWR
2	32212 78212	 * 	303.00	DCR|DCR|1TLV|1VULN|2DMG|1AEPOI	1MLV|24VENICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aAEPOI
3	36212 78212	   	303.00	DCR|DCR|1TLV|1VULN|2DMG|1AEPOI	1MLV|24BASICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aAEPOI
4	61613 42321	 * 	296.72	DCR|3TLV|2VULN|3DMG	145DMG|2LEGI|3aVULN|6RCR|78aTLV|9aLHND|aBPWR
5	61623 11124	   	292.63	DCR|2TLV|2VULN|3DMG	15aDMG|2LEGI|3aVULN|4DUR|6BELT|7DUST|8aTLV|9RCR|aBPWR
6	61613 42211	   	292.36	DCR|3VULN|2TLV|3DMG|2MSE	145DMG|2LEGI|39aVULN|6RCR|7aTLV|8aMSE|aBPWR
7	32212 78218	   	289.88	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24VENICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aRAT
8	11635 22251	 * 	289.12	3VULN|2TLV|3DMG|3ASPD|1AEFBLL	189ASPD|2LEGI|38aVULN|4AEFBLL|5aTLV|6RPLT|78aDMG|8aBPWR
9	65332 16111	 * 	283.17	ACR|2VULN|1TLV|3DMG|3CDMG	17aDMG|2aLIT|37LHND|4RCR|567CDMG|7aBPWR|8TLV|9aVULN
10	63613 42111	   	282.97	DCR|2TLV|2VULN|3DMG	145DMG|2aDUST|39VULN|6RCR|7aTLV|8aFEWX|aBPWR
11	32212 78213	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24VENICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aRCVC
12	32212 78214	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24VENICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aCGEN
13	32212 78215	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24VENICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aLIT
14	32212 78216	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24VENICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aBEXP
15	36212 78213	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24BASICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aRCVC
16	36212 78214	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24BASICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aCGEN
17	61613 42113	   	282.87	DCR|2TLV|2VULN|3DMG	145DMG|2LEGI|39VULN|6RCR|7aTLV|8FEWX
18	63613 42113	   	282.87	DCR|2TLV|2VULN|3DMG	145DMG|2DUST|39VULN|6RCR|7aTLV|8FEWX
19	32212 78211	   	282.84	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24VENICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aERES
20	32212 78217	   	282.84	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24VENICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aAEWIND
21	36212 78211	   	282.84	DCR|DCR|1TLV|1VULN|2DMG	1MLV|24BASICY|34DMG|4BPWR|5MBVNT|6TLV|7VULN|89RCR|aERES
22	14212 78212	   	279.10	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1ASPD|2AME|3RCVC|4TSLHEL|5MBVNT|6TLV|7VULN|89RCR|aAEPOI
23	16212 78212	   	279.10	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1ASPD|2MLV|3RCVC|4TSLHEL|5MBVNT|6TLV|7VULN|89RCR|aAEPOI
24	31112 78212	   	279.10	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1MLV|2DMSP|3ASPD|4TSLHEL|5MBVNT|6TLV|7VULN|89RCR|aAEPOI
25	31162 78212	   	279.00	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1MLV|2DMSP|3ASPD|4SPLREG|5MBVNT|6TLV|7VULN|89RCR|aAEPOI
