0	Index      	 *	Score 	Summary	Detail	
1	15153 36312	 * 	287.90	DCR|2TLV|2VULN|2DMG|1CDMG	1BELT|23TLV|46DMG|57VULN|8CDMG|9RAT|aRCR
2	43332 26152	 * 	286.95	ACR|4VULN|1TLV|3ASPD	1AAC|27FEWX|3RCR|457aVULN|679ASPD|7BPWR|8TLV
3	41234 26122	 * 	286.12	DCR|DCR|1TLV|1VULN|1AEBURN|1AART|1DUR	1AAC|2TLV|3RPLT|4AART|5VULN|6DUR|79RCR|8ERES|aAEBURN
4	14315 23423	 * 	285.72	ACR|3VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57aVULN|67CDMG|7BPWR|8TLV|9CGEN
5	14315 23161	 * 	285.62	ACR|3VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|579VULN|67CDMG|7BPWR|8MDPS|aTLV
6	43332 26142	 * 	281.46	ACR|3VULN|1TLV|2ASPD|1AEBURN	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9FRZICY|aAEBURN
7	14315 23432	 * 	276.58	ACR|2VULN|1TLV|3DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47aDMG|57VULN|67CDMG|7BPWR|8TLV|9AETHUN
8	43332 26111	   	275.40	ACR|4VULN|1TLV|2ASPD	1AAC|27FEWX|3RCR|457aVULN|67ASPD|7BPWR|8TLV|9AEWIND
9	43332 26134	   	275.40	ACR|4VULN|1TLV|2ASPD	1AAC|27FEWX|3RCR|457aVULN|67ASPD|7BPWR|8TLV|9ERES
10	41533 32135	   	275.00	DCR|DCR|1TLV|1VULN|2DUR|1AART	1AAC|2TLV|3VULN|4DUST|5AETHUN|68DUR|7AART|9aRCR
11	16236 33215	 * 	274.94	ACR|3VULN|2TLV|1CDMG	1BELT|2CDMG|3FLTHEA|4RCR|5LIT|679VULN|8aTLV
12	14315 23422	 * 	274.68	ACR|2VULN|1TLV|2DMG|2CDMG|1ASPD|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8TLV|9CGEN|aASPD
13	14315 23151	 * 	274.58	ACR|2VULN|1TLV|2DMG|2CDMG|1ASPD|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8MDPS|9TLV|aASPD
14	41263 34332	 * 	271.69	ACR|DCR|2TLV|1VULN	1AAC|2aTLV|35RPLT|47RCR|6RCVC|8MLV|9VULN
15	14315 23521	 * 	270.69	ACR|2VULN|1TLV|2DMG|2CDMG|1DUR|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8LHND|9DUR|aTLV
16	22612 22365	   	270.04	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1FEWX|28BEXP|3AETHUN|4ASPD|5VULN|6TLV|7AART|9aRCR
17	34215 23411	 * 	269.79	DCR|2TLV|2VULN|1DMG|2CDMG	1CGEN|2aTLV|3RPLT|4LWND|5MULFIG|6aCDMG|7DMG|8aVULN|9RCR|aBPWR
18	34215 26121	   	269.79	DCR|2TLV|2VULN|1DMG|2CDMG	1CGEN|2aTLV|3RPLT|4LWND|5MULFIG|6aCDMG|7RCR|8DMG|9aVULN|aBPWR
19	25332 14161	 * 	269.16	ACR|4VULN|1TLV|1DMG	1FEWX|2RMIN|3RCR|459aVULN|6AEWIND|7DMG|8TLV
20	43332 14161	   	269.16	ACR|4VULN|1TLV|1DMG	1AAC|2FEWX|3RCR|459aVULN|6AEWIND|7DMG|8TLV
21	41314 13161	 * 	269.06	DCR|4VULN|1TLV|1AEBURN	1AAC|2TLV|3AEBURN|4DUST|579aVULN|6ERES|8RCR
