0	Index      	 *	Score 	Summary	Detail	
1	61132 34231	 * 	314.11	橙橙2矿等1易伤1等级	1a矿等2时间3易伤4毒液对黄5随机技能6金币生成79核8等级
2	61113 13215	 * 	307.48	橙3易伤3矿等2等级	167矿等2时间347易伤57等级7序列升级8烈焰减费9技能点a核
3	61113 13225	   	307.48	橙3易伤3矿等2等级	167矿等2时间347易伤57等级7序列升级8烈焰减费9随机矿a核
4	61113 13365	   	307.48	橙3易伤3矿等2等级	167矿等2时间347易伤57等级7序列升级8金币生成9基地爆炸a核
5	61113 13265	   	307.38	橙3易伤3矿等2等级	167矿等2时间347易伤57等级7序列升级8烈焰减费9掉矿a核
6	61132 34235	   	306.18	橙橙1易伤1等级1矿等1攻速	1矿等2时间3易伤4毒液对黄5随机技能6金币生成79核8等级a攻速
7	61132 34232	   	296.48	橙橙1易伤1等级1矿等2时间	1矿等2a时间3易伤4毒液对黄5随机技能6金币生成79核8等级
8	31131 44232	 * 	291.80	橙橙2易伤1等级	1金币生成2时间3a易伤4毒液对黄5技能点6随机技能79核8等级
9	31132 44232	   	291.80	橙橙2易伤1等级	1金币生成2时间3a易伤4毒液对黄5随机技能6技能点79核8等级
10	61132 34233	   	289.93	橙橙1易伤1等级1矿等	1矿等2时间3易伤4毒液对黄5随机技能6金币生成79核8等级a敌人爆炸
11	61132 34236	   	289.93	橙橙1易伤1等级1矿等	1矿等2时间3易伤4毒液对黄5随机技能6金币生成79核8等级a平台
12	31131 44231	   	289.93	橙橙1易伤1等级1矿等	1金币生成2时间3易伤4毒液对黄5技能点6随机技能79核8等级a矿等
13	31132 44231	   	289.93	橙橙1易伤1等级1矿等	1金币生成2时间3易伤4毒液对黄5随机技能6技能点79核8等级a矿等
14	61132 34234	   	289.83	橙橙1易伤1等级1矿等	1矿等2时间3易伤4毒液对黄5随机技能6金币生成79核8等级a基地爆炸
15	26123 31251	 * 	288.03	橙2易伤2矿等3攻速1伤害1技能	1雷电减费27矿等37易伤4技能567攻速7序列升级8随机矿9核a伤害
16	26123 31651	   	288.03	橙2易伤2矿等3攻速1伤害1技能	1雷电减费27矿等37易伤4技能567攻速7序列升级8技能点9核a伤害
17	26123 31151	   	287.93	橙2易伤2矿等3攻速1伤害1技能	1雷电减费27矿等37易伤4技能567攻速7序列升级8掉矿9核a伤害
18	12261 34252	 * 	285.78	紫橙2易伤1等级1矿等1伤害	19核2敌人爆炸3掉矿4额外掉落5矿等67易伤8伤害a等级
19	55111 34211	 * 	284.64	橙橙3易伤	1全技能247易伤3平台5雷电6赏金塔89核a时间
20	26612 43321	   	284.51	橙橙1易伤1矿等1伤害1暴击	1雷电减费2矿等3伤害4赏金塔5易伤6时间79核8挖青a暴击
21	26612 53121	   	284.51	橙橙1易伤1矿等1伤害1暴击	1雷电减费2矿等3伤害4赏金塔5易伤6挖青79核8时间a暴击
22	64314 22141	 * 	284.22	橙橙2易伤1矿等1暴击	1矿等25易伤3暴击4加一6基地爆炸7雷电8a核9立即金币
23	64314 22131	   	284.12	橙橙2易伤1矿等1暴击	1矿等25易伤3暴击4加一69基地爆炸7雷电8a核
