0	Index      	 *	Score 	Summary	Detail	
1	32263 42311	 * 	302.34	橙橙2易伤2矿等	1时间2基地爆炸35矿等47易伤6a核8掉矿9雷电
2	13262 42211	 * 	298.97	橙橙3易伤1矿等	15低血量敌人2时间3矿等457易伤5序列升级6a核8金币生成9雷电
3	32262 42311	   	298.67	橙橙3易伤1矿等	1时间2基地爆炸3矿等457易伤6a核8掉矿9雷电
4	13262 42631	 * 	288.20	橙4易伤2矿等1等级	158低血量敌人2时间38矿等4578易伤58序列升级6核9等级a双倍矿
5	46432 32122	 * 	288.13	橙3易伤2等级2攻速1矿等	1全技能278易伤3平台47等级57攻速6立即金币7序列升级9矿等a核
6	13262 42632	   	288.10	橙4易伤2矿等1等级	158低血量敌人2时间38矿等4578易伤58序列升级6核9等级a狙击对黄
7	13262 42633	   	288.10	橙4易伤2矿等1等级	158低血量敌人2时间38矿等4578易伤58序列升级6核9等级a加一
8	33232 41262	 * 	277.04	橙橙1等级1矿等1伤害2时间	12时间3随机矿4平台5矿等6a核7等级8伤害9掉矿
9	33233 42262	   	277.04	橙橙1等级1矿等1伤害2时间	12时间3随机矿4平台5等级6a核7矿等8伤害9掉矿
10	13263 42211	   	276.73	橙橙2易伤1矿等	15低血量敌人2时间3矿等47易伤6a核8金币生成9雷电
11	32261 42311	   	276.43	橙橙2易伤1矿等	1时间25基地爆炸3矿等47易伤6a核8掉矿9雷电
12	63242 42311	   	276.43	橙橙2易伤1矿等	14挖尘2时间3矿等57易伤6a核8掉矿9雷电
13	13262 42611	   	276.17	橙4易伤2矿等1伤害	158低血量敌人2时间38矿等4578易伤58序列升级6核9伤害a双倍矿
14	13262 42612	   	276.07	橙4易伤2矿等1伤害	158低血量敌人2时间38矿等4578易伤58序列升级6核9伤害a基础对冰
15	13262 42613	   	276.07	橙4易伤2矿等1伤害	158低血量敌人2时间38矿等4578易伤58序列升级6核9伤害a加一
16	46432 22122	   	273.76	橙3易伤1等级2攻速1矿等	1全技能278易伤3平台4等级57攻速67烈焰减费7序列升级9矿等a核
17	46432 32222	   	272.54	橙2易伤2等级2攻速1矿等2全技能	18全技能27易伤3平台47等级57攻速6立即金币7序列升级9矿等a核
