0	Index      	 *	Score 	Summary	Detail	
1	41424 23232	 * 	380.11	4VULN|1MDPS|3TLV|2DUR	1TBNT|2458VULN|358TLV|58BPWR|68DUR|7RCVC|9LHND|aMDPS
2	41624 21313	 * 	374.83	DCR|3VULN|1MDPS|1DUR	1TBNT|245VULN|35ERES|5BPWR|6DUR|7CGEN|8RCR|9MLV|aMDPS
3	41124 21334	   	374.73	DCR|3VULN|1MDPS|1DUR|1SELL	1TBNT|235VULN|35BPWR|45AME|6DUR|7CGEN|8RCR|9SELL|aMDPS
4	11223 56422	 * 	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART|1SELL	1DUR|28LIT|34VULN|5CDMG|6AART|7RCR|9SELL|aMDPS
5	11223 56262	 * 	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART|1SELL	1DUR|29LIT|34VULN|5CDMG|6AART|7RCR|8SELL|aMDPS
6	11223 56611	 * 	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9RPLT|aZMB
7	11223 56612	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9RPLT|aLWND
8	11223 56613	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9RPLT|aFEWX
9	11223 56621	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9DMG|aRMIN
10	11223 56622	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9DMG|aAAC
11	11223 56623	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9DMG|aBOSS
12	11223 56631	   	372.09	DCR|2VULN|1MDPS|1CDMG|1AART|1DUR|1MSE	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9MSE|aAME
13	11223 56632	   	372.09	DCR|2VULN|1MDPS|1CDMG|1AART|1DUR|1MSE	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9MSE|aCGEN
14	11223 56633	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART|1MSE	1DUR|2LIT|34VULN|5CDMG|6AART|7RCR|8MDPS|9MSE|aLEGI
15	13512 62437	 * 	361.98	DCR|2MDPS|2TLV|3DUR	128DUR|3MSLTOX|48DUST|58TLV|6RCR|7MBVNT|8BPWR|9aMDPS
16	11222 21463	 * 	359.24	2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2LIT|34VULN|5DMG|6CDMG|7aMDPS|8RPLT|9BEXP
17	15261 11126	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2AIRBOS|39RAT|45VULN|6LIT|7CDMG|8RCR|aMDPS
18	25161 11126	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	19RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|8RCR|aMDPS
19	15261 11141	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|8RCR|9MDPS|aMSE
20	15261 11142	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|8RCR|9MDPS|aDLOT
21	15261 11143	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|8RCR|9MDPS|aBEXP
22	25161 11141	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|8RCR|9MDPS|aMSE
23	25161 11142	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|8RCR|9MDPS|aDLOT
24	25161 11143	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|8RCR|9MDPS|aBEXP
25	41123 63214	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1TBNT|23VULN|3BPWR|4AME|5MLV|6RCR|7RMIN|8DUR|9CDMG|aMDPS
26	11113 33666	 * 	357.87	DCR|2MDPS|1VULN|1DUR|1SELL	1DUR|2LIT|3LWND|4SELL|5ZMB|6VULN|7RCR|8aMDPS|9AIRBOS
27	51121 14331	 * 	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2LIT|3LWND|48VULN|5RAT|6DUR|7RCR|9TLV|aMDPS
28	51261 14331	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2LIT|38VULN|4LWND|5RAT|6DUR|7RCR|9TLV|aMDPS
29	51321 14331	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2LIT|3LEGI|48VULN|5RAT|6DUR|7RCR|9TLV|aMDPS
30	25155 23132	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BASHEA|3DUR|4BBNT|5TLV|69VULN|7RCR|8TSLFST|aMDPS
31	41424 21322	 * 	357.15	DCR|4VULN|2TLV|1DUR	1TBNT|245aVULN|35TLV|5BPWR|6DUR|7CGEN|8RCR|9AEWIND
32	33313 61234	 * 	356.19	ACR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1ASPD|2BBNT|3RCR|46VULN|56DMG|6BPWR|7DMSP|8DUR|9CDMG|aMDPS
33	33313 66234	   	356.09	ACR|2VULN|1MDPS|2DMG|1CDMG|1DUR	17ASPD|2BBNT|3RCR|46VULN|56DMG|6BPWR|8DUR|9CDMG|aMDPS
34	11222 15551	   	351.01	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2LIT|34aVULN|5DMG|6BBNT|7AEFRZ|8RCR|9MDPS
35	11222 15552	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|2LIT|34VULN|5DMG|6BBNT|7AEFRZ|8RCR|9MDPS|aMBVNT
36	11222 15553	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|2LIT|34VULN|5DMG|6BBNT|7AEFRZ|8RCR|9MDPS|aRAT
