0	Index      	 *	Score 	Summary	Detail	
1	63771 43424	 * 	374.73	DCR|3VULN|1MDPS|1DUR	1TBNT|2MBVNT|3BBNT|4DMSP|567VULN|8RCR|9DUR|aMDPS
2	51242 22132	 * 	371.10	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2TLV|3LHND|4BEXP|59VULN|6DUR|7RMIN|8RCR|aMDPS
3	51212 22132	   	371.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2TLV|3LHND|4AETHUN|59VULN|6DUR|7RMIN|8RCR|aMDPS
4	51212 25132	   	371.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2TLV|3LHND|4AETHUN|59VULN|6DUR|7MLV|8RCR|aMDPS
5	51432 22132	   	371.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2TLV|3DUST|4LHND|59VULN|6DUR|7RMIN|8RCR|aMDPS
6	51442 22132	   	371.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2TLV|3DUST|4FEWX|59VULN|6DUR|7RMIN|8RCR|aMDPS
7	51412 22132	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2TLV|3DUST|4AETHUN|59VULN|6DUR|7RMIN|8RCR|aMDPS
8	51212 26132	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2TLV|3LHND|4AETHUN|59VULN|6DUR|7ERES|8RCR|aMDPS
9	53112 15152	 * 	360.54	ACR|2VULN|1MDPS|2TLV|2DUR|1AART	1AART|2RCR|39LHND|45DUR|69VULN|79TLV|8TBNT|9BPWR|aMDPS
10	53235 22363	 * 	359.16	ACR|DCR|1MDPS|1VULN|1CDMG|1DUR|1AART	1AART|26RCR|3CGEN|4DUR|5DUST|7MLV|8VULN|9CDMG|aMDPS
11	66143 13131	 * 	357.97	ACR|2MDPS|1VULN|1TLV|1DUR|1AART	1TBNT|2TLV|3ZMB|4RCR|5BEXP|6AART|7DUR|8VULN|9aMDPS
