0	Index      	 *	Score 	Summary	Detail	
1	41136 33216	 * 	393.85	ACR|2VULN|1MDPS|3CDMG|3DUR|1TLV	148DUR|2RCVC|3RCR|5TLV|68VULN|789CDMG|8BPWR|aMDPS
2	42312 12134	 * 	385.51	DCR|2MDPS|1VULN|1CDMG|1DUR	1DUR|2LHND|3VULN|4BEXP|5FEWX|6RCR|7CDMG|8LEGI|9aMDPS
3	43312 12134	   	385.51	DCR|2MDPS|1VULN|1CDMG|1DUR	1DUR|2LWND|3VULN|4BEXP|5FEWX|6RCR|7CDMG|8LEGI|9aMDPS
4	54312 12134	   	385.51	DCR|2MDPS|1VULN|1CDMG|1DUR	1LHND|2DUR|3VULN|4BEXP|5FEWX|6RCR|7CDMG|8LEGI|9aMDPS
5	41161 21233	   	382.41	ACR|2VULN|1MDPS|3CDMG|2DUR|1TLV	18DUR|2RCVC|3RCR|4TLV|578CDMG|68VULN|8BPWR|9BEXP|aMDPS
6	41161 21251	   	382.31	ACR|2VULN|1MDPS|3CDMG|2DUR|1TLV	18DUR|2RCVC|3RCR|4TLV|578CDMG|68VULN|8BPWR|9MDPS|aCGEN
7	41161 21252	   	382.31	ACR|2VULN|1MDPS|3CDMG|2DUR|1TLV	18DUR|2RCVC|3RCR|4TLV|578CDMG|68VULN|8BPWR|9MDPS|aAME
8	41161 21253	   	382.31	ACR|2VULN|1MDPS|3CDMG|2DUR|1TLV|1DMG	18DUR|2RCVC|3RCR|4TLV|578CDMG|68VULN|8BPWR|9MDPS|aDMG
9	41332 32243	 * 	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2RCVC|39VULN|4BEXP|5DMG|6CDMG|7BBNT|8RCR|aMDPS
10	46111 32243	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2DMG|35LHND|49VULN|6CDMG|7BBNT|8RCR|aMDPS
11	51362 32243	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1LHND|2RCVC|39VULN|4DUR|5DMG|6CDMG|7BBNT|8RCR|aMDPS
12	52362 32243	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	12LHND|39VULN|4DUR|5DMG|6CDMG|7BBNT|8RCR|aMDPS
13	11362 32243	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUST|2RCVC|39VULN|4DUR|5DMG|6CDMG|7BBNT|8RCR|aMDPS
14	42342 32243	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2LHND|39VULN|4AEFRZ|5DMG|6CDMG|7BBNT|8RCR|aMDPS
15	62362 32243	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1AEFBLL|2DUST|39VULN|4DUR|5DMG|6CDMG|7BBNT|8RCR|aMDPS
16	41332 23241	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2RCVC|39VULN|4BEXP|5DMG|6RCR|7LIT|8TLV|aMDPS
17	46111 23241	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2DMG|35LHND|49VULN|6RCR|7LIT|8TLV|aMDPS
18	51362 23241	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1LHND|2RCVC|39VULN|4DUR|5DMG|6RCR|7LIT|8TLV|aMDPS
19	52362 23241	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	12LHND|39VULN|4DUR|5DMG|6RCR|7LIT|8TLV|aMDPS
20	11362 23241	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUST|2RCVC|39VULN|4DUR|5DMG|6RCR|7LIT|8TLV|aMDPS
21	42342 23241	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2LHND|39VULN|4AEFRZ|5DMG|6RCR|7LIT|8TLV|aMDPS
22	62362 23241	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1AEFBLL|2DUST|39VULN|4DUR|5DMG|6RCR|7LIT|8TLV|aMDPS
23	43312 14213	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1DUR|2LWND|389VULN|4BEXP|5FEWX|6RCR|7BELT|aMDPS
24	43314 14213	   	374.93	DCR|3VULN|1MDPS|1DUR	1DUR|2LWND|389VULN|4BEXP|5DUST|6RCR|7BELT|aMDPS
25	44233 23324	   	371.66	DCR|2MDPS|1VULN|1DUR|1AART	1DUR|2AART|3BOSS|4VULN|5RMIN|6RCR|7aMDPS|8LIT|9RPLT
26	11161 21243	   	369.75	ACR|2VULN|1MDPS|3CDMG|1TLV|1DUR	18DUST|2RCVC|3RCR|4TLV|578CDMG|68VULN|8BPWR|9DUR|aMDPS
27	41121 21246	   	367.65	ACR|2VULN|1MDPS|3CDMG|3DUR	189DUR|2RCVC|3RCR|4CGEN|578CDMG|68VULN|8BPWR|aMDPS
