0	Index      	 *	Score 	Summary	Detail	
1	34116 43213	 * 	345.61	ACR|DCR|1MDPS|1VULN|1CDMG|1DUR	1BEXP|2ZMB|3CDMG|48RCR|5AAC|6VULN|7RCVC|9DUR|aMDPS
2	41321 13443	 * 	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1DUR|2AART|3AETHUN|48VULN|5RAT|6LIT|7RCR|9SNITOX|aMDPS
3	41321 13463	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1DUR|2AART|3AETHUN|48VULN|5RAT|6LIT|7RCR|9SNIFST|aMDPS
4	51253 34331	 * 	343.60	DCR|2VULN|1MDPS|2DUR	1LHND|26DUR|3BEXP|4DUST|56VULN|6BPWR|7RCR|8RMIN|9MDPS|aBELT
5	51253 34332	   	343.60	DCR|2VULN|1MDPS|2DUR	1LHND|26DUR|3aBEXP|4DUST|56VULN|6BPWR|7RCR|8RMIN|9MDPS
6	51253 34333	 * 	343.60	DCR|2VULN|1MDPS|3DUR	1LHND|26aDUR|3BEXP|4DUST|56VULN|6BPWR|7RCR|8RMIN|9MDPS
7	51253 34131	   	343.50	DCR|2VULN|1MDPS|2DUR	1LHND|26DUR|3BEXP|4DUST|56VULN|6BPWR|7RCR|8ERES|9MDPS|aBELT
8	51253 34132	   	343.50	DCR|2VULN|1MDPS|2DUR	1LHND|26DUR|3aBEXP|4DUST|56VULN|6BPWR|7RCR|8ERES|9MDPS
9	51253 34133	   	343.50	DCR|2VULN|1MDPS|3DUR	1LHND|26aDUR|3BEXP|4DUST|56VULN|6BPWR|7RCR|8ERES|9MDPS
10	12223 45241	   	331.44	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|79CGEN|8DUR|aMDPS
11	12223 45211	   	331.34	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7CGEN|8DUR|9AEWIND|aMDPS
12	12223 46331	   	331.34	DCR|2VULN|1MDPS|2DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7BELT|8aDUR|9MDPS
13	12223 46332	   	331.34	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7BELT|8DUR|9MDPS|aLEGI
14	12223 46333	   	331.34	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7BELT|8DUR|9MDPS|aLWND
15	12223 46334	   	331.34	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7BELT|8DUR|9MDPS|aAAC
16	12223 46335	   	331.34	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7BELT|8DUR|9MDPS|aAEWIND
17	12223 46336	   	331.34	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7BELT|8DUR|9MDPS|aRMIN
18	12223 42211	   	331.24	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7ERES|8DUR|9AEWIND|aMDPS
