0	Index      	 *	Score 	Summary	Detail	
1	41416 13132	 * 	385.45	2MDPS|2VULN|1CDMG|1TLV|1DMG|1DUR	1TLV|26VULN|3DUR|4DMG|5CDMG|7AME|8aMDPS|9CGEN
2	42353 13132	   	385.45	2MDPS|2VULN|1CDMG|1TLV|1DMG|1DUR	1TLV|2CDMG|3DUR|46VULN|5DMG|7AME|8aMDPS|9CGEN
3	42353 15232	 * 	385.45	2MDPS|2VULN|2DMG|1CDMG|1TLV|1DUR	1TLV|2CDMG|3DUR|46VULN|59DMG|7aMDPS|8RPLT
4	42353 15312	   	385.45	2MDPS|2VULN|1CDMG|1TLV|1DMG|1DUR	1TLV|2CDMG|3DUR|46VULN|5DMG|7aMDPS|8RCVC|9LEGI
5	42353 15331	   	385.45	2MDPS|2VULN|1CDMG|1TLV|1DMG|1DUR	1TLV|2CDMG|3DUR|46VULN|5DMG|7aMDPS|8RCVC|9MLV
6	41351 13114	 * 	378.13	ACR|3VULN|1MDPS|2TLV|1DUR	16TLV|235VULN|4RCR|7DUR|8FEWX|9AAC|aMDPS
7	41351 13314	   	378.03	ACR|3VULN|1MDPS|2TLV|1DUR	16TLV|235VULN|4RCR|7DUR|8DUST|9AAC|aMDPS
8	41351 13216	   	377.93	ACR|3VULN|1MDPS|2TLV|1DUR	16TLV|235VULN|4RCR|7DUR|8BBNT|9VENICY|aMDPS
9	31351 22514	 * 	373.95	ACR|4VULN|1MDPS|1DUR	1ERES|2358VULN|4RCR|6FEWX|7DUR|9AAC|aMDPS
10	41351 13422	 * 	371.62	ACR|4VULN|3TLV|3DUR|1DMG	169TLV|2359VULN|4RCR|789DUR|9BPWR|aDMG
11	41416 11312	 * 	366.29	3VULN|1MDPS|2DMG|1CDMG|1TLV|1DUR	1TLV|268VULN|3DUR|49DMG|5CDMG|7BBNT|aMDPS
12	42353 11312	   	366.29	3VULN|1MDPS|2DMG|1CDMG|1TLV|1DUR	1TLV|2CDMG|3DUR|468VULN|59DMG|7BBNT|aMDPS
13	41416 11332	 * 	365.59	3VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	19TLV|268VULN|3DUR|4DMG|5CDMG|7BBNT|aMDPS
14	42353 11332	   	365.59	3VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	19TLV|2CDMG|3DUR|468VULN|5DMG|7BBNT|aMDPS
15	41436 12131	   	365.38	2MDPS|2VULN|1CDMG|1TLV|1DUR	1TLV|26VULN|3DUR|49CGEN|5CDMG|7NUKE|8aMDPS
16	11456 13132	   	365.28	2MDPS|2VULN|1CDMG|1TLV|1DUR	1NUKE|26VULN|3DUR|4AME|5CDMG|7TLV|8aMDPS|9CGEN
17	32353 13132	   	359.14	2MDPS|2VULN|1CDMG|1DMG|1DUR	1ERES|2CDMG|3DUR|46VULN|5DMG|7AME|8aMDPS|9CGEN
18	32353 15232	   	359.14	2MDPS|2VULN|2DMG|1CDMG|1DUR	1ERES|2CDMG|3DUR|46VULN|59DMG|7aMDPS|8RPLT
19	32353 15312	   	359.14	2MDPS|2VULN|1CDMG|1DMG|1DUR	1ERES|2CDMG|3DUR|46VULN|5DMG|7aMDPS|8RCVC|9LEGI
20	32353 15331	   	359.14	2MDPS|2VULN|1CDMG|1DMG|1DUR	1ERES|2CDMG|3DUR|46VULN|5DMG|7aMDPS|8RCVC|9MLV
21	32353 15512	   	359.14	2MDPS|2VULN|2DMG|1CDMG|1DUR	1ERES|2CDMG|3DUR|46VULN|59DMG|7aMDPS|8DUST
22	32353 15632	   	359.14	2MDPS|2VULN|1CDMG|1DMG|1DUR	1ERES|2CDMG|3DUR|46VULN|5DMG|7aMDPS|8AME|9CGEN
23	31416 13132	   	359.14	2MDPS|2VULN|1CDMG|1DMG|1DUR	1ERES|26VULN|3DUR|4DMG|5CDMG|7AME|8aMDPS|9CGEN
24	31416 15232	   	359.14	2MDPS|2VULN|2DMG|1CDMG|1DUR	1ERES|26VULN|3DUR|49DMG|5CDMG|7aMDPS|8RPLT
25	31416 15312	   	359.14	2MDPS|2VULN|1CDMG|1DMG|1DUR	1ERES|26VULN|3DUR|4DMG|5CDMG|7aMDPS|8RCVC|9LEGI
26	31416 15331	   	359.14	2MDPS|2VULN|1CDMG|1DMG|1DUR	1ERES|26VULN|3DUR|4DMG|5CDMG|7aMDPS|8RCVC|9MLV
27	11333 25216	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1NUKE|23VULN|4CDMG|5ZMB|6CGEN|7RCR|8DUR|9BEXP|aMDPS
28	11332 36264	   	358.20	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1NUKE|23VULN|4CDMG|5TBNT|6SELL|7LIT|8RCR|9DUR|aMDPS
29	41311 11312	   	357.95	2MDPS|2VULN|1TLV|1DMG|1DUR	1TLV|23VULN|4SPLJET|5DUST|6DUR|7VENICY|8DMG|9aMDPS
30	35312 57143	 * 	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	19ERES|29LIT|3TLV|4DUR|5BELT|6MBVNT|7RCR|89VULN|9BPWR|aMDPS
