0	Index      	 *	Score 	Summary	Detail	
1	31556 22112	 * 	403.13	2MDPS|2VULN|2DMG|1CDMG|1TLV|1DUR|1SELL	13DMG|23VULN|3BPWR|4TLV|5CDMG|6MSLREG|7DUR|8SELL|9aMDPS
2	31536 23342	 * 	399.18	DCR|5VULN|2DMG|1DUR|1AART	13DMG|23578VULN|35BPWR|45FEWX|6AART|9RCR|aDUR
3	31526 23342	   	398.98	DCR|5VULN|2DMG|1DUR|1AART	13DMG|23578VULN|35BPWR|45DUST|6AART|9RCR|aDUR
4	31531 13331	 * 	395.10	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	13DMG|23VULN|3BPWR|4FEWX|5BBNT|6LIT|7DUR|8TLV|9RCR|aMDPS
5	31521 13331	   	395.00	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	13DMG|23VULN|3BPWR|4DUST|5BBNT|6LIT|7DUR|8TLV|9RCR|aMDPS
6	31552 31136	   	394.90	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	13DMG|23VULN|3BPWR|4TLV|5AME|6MULHEA|7DUR|8NUKE|9RCR|aMDPS
7	41222 43136	 * 	394.79	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2AETHUN|3DMG|467VULN|5FRZFST|8NUKE|9RCR|aMDPS
8	32133 42216	 * 	394.30	DCR|2VULN|1MDPS|2TLV|1DMG|1DUR	1DMG|24TLV|3DUR|57VULN|6DLOT|8RCR|9LIT|aMDPS
9	31513 35631	 * 	393.32	2MDPS|3VULN|2DMG|1DUR	13DMG|235VULN|3BPWR|4ASPD|6ZMB|7DUR|89MDPS|aBELT
10	31513 35632	   	393.32	2MDPS|3VULN|2DMG|1DUR	13DMG|235VULN|3BPWR|4ASPD|6ZMB|7DUR|89MDPS|aRCVC
11	31513 35633	   	393.32	2MDPS|3VULN|2DMG|1DUR	13DMG|235VULN|3BPWR|4ASPD|6ZMB|7DUR|89MDPS|aAAC
12	32153 42216	   	389.86	DCR|2VULN|1MDPS|2DUR|1TLV|1DMG	1DMG|2TLV|34DUR|57VULN|6DLOT|8RCR|9LIT|aMDPS
13	31421 24632	 * 	385.24	ACR|3VULN|1MDPS|2DMG|2DUR	18DMG|278VULN|3RCR|4LWND|5DUST|68DUR|8BPWR|9FEWX|aMDPS
14	31455 21111	   	384.99	ACR|3VULN|1MDPS|2DMG|2DUR|1SELL	14DMG|246VULN|3RCR|4BPWR|58DUR|7SELL|9RAT|aMDPS
15	13451 54411	 * 	384.23	ACR|2MDPS|2VULN|2DUR	14CGEN|24VULN|3RCR|4BPWR|5MBVNT|67DUR|89MDPS|aBOSS
16	13451 54412	   	384.23	ACR|2MDPS|2VULN|2DUR	14CGEN|24VULN|3RCR|4BPWR|5MBVNT|67DUR|89MDPS|aASPD
17	13451 54413	   	384.23	ACR|2MDPS|2VULN|2DUR	14CGEN|24VULN|3RCR|4BPWR|5MBVNT|67DUR|89MDPS|aAETHUN
18	13451 54414	   	384.23	ACR|2MDPS|2VULN|2DUR	14CGEN|24VULN|3RCR|4BPWR|5MBVNT|67DUR|89MDPS|aAME
19	31442 11143	 * 	381.40	ACR|2VULN|1MDPS|2CDMG|2DMG|2DUR	19DMG|29VULN|3RCR|45DUR|6RMIN|7RAT|89CDMG|9BPWR|aMDPS
20	31131 51532	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|27VULN|3MLV|4BEXP|5LWND|6DUR|8TLV|9RCR|aMDPS
21	31133 51532	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|27VULN|3MLV|4BEXP|5FEWX|6DUR|8TLV|9RCR|aMDPS
22	31153 21532	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|27VULN|3MLV|4DUR|5FEWX|6LHND|8TLV|9RCR|aMDPS
23	31151 21532	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|27VULN|3MLV|4DUR|5LWND|6LEGI|8TLV|9RCR|aMDPS
24	31111 51532	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|27VULN|3MLV|4LEGI|5LWND|6DUR|8TLV|9RCR|aMDPS
25	31113 51532	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|27VULN|3MLV|4LEGI|5FEWX|6DUR|8TLV|9RCR|aMDPS
26	13533 15623	   	375.13	DCR|3VULN|1MDPS|1DUR	13CGEN|236VULN|3BPWR|459FEWX|7DUR|8RCR|aMDPS
27	31424 21114	 * 	374.70	ACR|DCR|4VULN|1DMG|1DUR|1SELL	1DMG|2569VULN|3aRCR|45LWND|5BPWR|7SELL|8DUR
