0	Index      	 *	Score 	Summary	Detail	
1	43351 31315	 * 	379.76	4VULN|1MDPS|3TLV|2DUR|1SELL	1TBNT|2459VULN|389TLV|69DUR|7SELL|9BPWR|aMDPS
2	14314 32235	 * 	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1FEWX|24BEXP|3DMG|5DUR|69VULN|7RCR|8CDMG|aMDPS
3	31341 26115	 * 	374.83	DCR|3VULN|1MDPS|1DUR	1AEFRZ|2DUST|347VULN|5FRZARM|6RCR|8BOSS|9DUR|aMDPS
4	36141 42153	   	371.99	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1AEFRZ|2BLASTR|3DUR|46VULN|5MBVNT|7RCR|8AART|9CDMG|aMDPS
5	24151 31143	 * 	361.41	4VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2TBNT|3459VULN|6DUR|7CDMG|8ERES|aMDPS
6	13244 32235	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2ZMB|3DMSP|4BEXP|5DUR|69VULN|7RCR|8CDMG|aMDPS
7	13512 42222	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2ZMB|35VULN|4BEXP|6LWND|7RCR|8CDMG|9DUR|aMDPS
8	16512 42222	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2AAC|35VULN|4BEXP|6LWND|7RCR|8CDMG|9DUR|aMDPS
9	53512 42222	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1LHND|2ZMB|35VULN|4BEXP|6LWND|7RCR|8CDMG|9DUR|aMDPS
10	15332 33533	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2DMSP|36VULN|4DUR|5ERES|7RCR|8BELT|9CDMG|aMDPS
11	33332 33533	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2FEWX|36VULN|4DUR|5ERES|7RCR|8BELT|9CDMG|aMDPS
12	33442 33533	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2FEWX|3DUR|46VULN|5ERES|7RCR|8BELT|9CDMG|aMDPS
13	33451 32235	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2FEWX|3DUR|4ASPD|5LWND|69VULN|7RCR|8CDMG|aMDPS
14	43342 24213	 * 	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|25VULN|3TLV|4DUR|6MLV|7BBNT|8RCR|9NUKE|aMDPS
15	43343 24223	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|26VULN|3TLV|4DUR|5ERES|7BBNT|8RCR|9MLV|aMDPS
16	43343 24213	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|26VULN|3TLV|4DUR|5ERES|7BBNT|8RCR|9NUKE|aMDPS
17	12351 36135	 * 	356.19	ACR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1FEWX|2DUST|38DMG|4RCR|5DUR|6CDMG|79VULN|aMDPS
18	14314 32215	 * 	355.28	DCR|1MDPS|1VULN|2CDMG|2DMG|1DUR	19FEWX|24BEXP|39DMG|5DUR|6VULN|7RCR|89CDMG|9BPWR|aMDPS
19	36144 22221	 * 	354.84	DCR|2VULN|1MDPS|3DUR	1AEFRZ|2BLASTR|357DUR|48VULN|6RCR|9MDPS|aLIT
20	36144 22222	   	354.84	DCR|2VULN|1MDPS|3DUR	1AEFRZ|2BLASTR|357DUR|48VULN|6RCR|9MDPS|aBASARM
21	36144 22223	   	354.84	DCR|2VULN|1MDPS|3DUR	1AEFRZ|2BLASTR|357DUR|48VULN|6RCR|9MDPS|aRCVC
22	23443 31611	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2CGEN|3DUR|47VULN|5DLOT|6BBNT|8LIT|9RCR|aMDPS
23	23431 42143	 * 	351.04	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG|1AART	1DMG|2CGEN|34DUR|5SNITOX|6VULN|7RCR|8AART|9CDMG|aMDPS
24	22223 12163	   	350.96	DCR|2VULN|1MDPS|1DMG|1DUR|1SELL	1DMG|2SELL|37LWND|4ASPD|59VULN|6DUR|8RCR|aMDPS
25	22223 16163	   	350.96	DCR|2VULN|1MDPS|1DMG|1DUR|1SELL	1DMG|2SELL|3LWND|4ASPD|59VULN|6DUR|7RCVC|8RCR|aMDPS
26	22123 16163	   	350.86	DCR|2VULN|1MDPS|1DMG|1DUR|1SELL	1DMG|2SELL|3LEGI|4ASPD|59VULN|6DUR|7RCVC|8RCR|aMDPS
