0	Index      	 *	Score 	Summary	Detail	
1	41311 25353	 * 	213.89	ACR|3VULN|3DMG|1AART|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|67aVULN|8LWND|9AART
2	41326 11421	   	212.13	ACR|3VULN|3DMG|1AART|2DUR|1SELL	1RMIN|2RCR|38aDMG|46aVULN|5AART|7SELL|9aDUR|aBPWR
3	41226 13151	   	211.69	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	1RMIN|2RCR|369VULN|49ASPD|5AART|7RPLT|89DMG|9BPWR|aCDMG
4	41221 36152	   	211.09	ACR|3VULN|2DMG|1AART|1CDMG|2ASPD	1RMIN|2RCR|39aVULN|49ASPD|5LWND|6AART|7CDMG|89DMG|9BPWR
5	41326 11321	 * 	210.58	ACR|4VULN|2DMG|1AART|2DUR|1SELL	1RMIN|2RCR|3aDMG|468aVULN|5AART|7SELL|9aDUR|aBPWR
6	41226 13152	   	209.04	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1RMIN|2RCR|369VULN|49ASPD|5AART|7RPLT|89DMG|9BPWR|aZMB
7	12333 22152	 * 	204.55	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	19aVULN|29LHND|3CDMG|48DUR|59DMG|6AART|7RCR|9BPWR
8	14313 22252	   	204.55	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	19aVULN|29DUR|3CDMG|48LHND|59DMG|6AART|7RCR|9BPWR
9	41311 25523	 * 	204.19	ACR|4VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|678aVULN|9LIT
10	41311 25533	   	203.94	ACR|4VULN|3DMG|3DUR|1SELL	1RMIN|2RCR|357DMG|457DUR|57BPWR|678aVULN|9SELL
11	41221 36151	 * 	201.75	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	1RMIN|2RCR|39VULN|49ASPD|5LWND|6AART|7aCDMG|89DMG|9BPWR
12	41311 25521	   	201.09	ACR|3VULN|3DMG|3DUR|1ZMB	1RMIN|2RCR|357DMG|457DUR|57BPWR|678VULN|9LIT|aZMB
13	41326 14322	   	200.14	ACR|3VULN|3DMG|1AART	1RMIN|2RCR|379DMG|469VULN|5AART|89CGEN|9BPWR|aLHND
14	41326 14323	   	200.14	ACR|3VULN|3DMG|1AART	1RMIN|2RCR|379DMG|469VULN|5AART|89CGEN|9BPWR|aRPLT
15	41326 14321	   	200.04	ACR|3VULN|3DMG|1AART	1RMIN|2RCR|379DMG|469VULN|5AART|89CGEN|9BPWR|aERES
16	41326 11411	   	199.90	ACR|3VULN|3DMG|1AART|1SELL	1RMIN|2RCR|38aDMG|46aVULN|5AART|7SELL|9aBEXP|aBPWR
17	41326 11431	   	199.90	ACR|3VULN|3DMG|1AART|1SELL	1RMIN|2RCR|38aDMG|46aVULN|5AART|7SELL|9aFEWX|aBPWR
18	41326 53321	   	199.84	ACR|3VULN|3DMG|1AART	1RMIN|2RCR|389DMG|49aVULN|5AART|679ERES|9BPWR
19	12351 22152	   	199.68	ACR|3VULN|2DMG|1AART|1CDMG	19aVULN|29LHND|3CDMG|4RCR|5ASPD|6AART|7RMIN|89DMG|9BPWR
20	12333 22252	   	199.26	DCR|3VULN|2DMG|1AART|1CDMG	19aVULN|289LHND|3CDMG|4DUR|59DMG|6AART|7RCR|9BPWR
21	12313 22452	 * 	198.53	DCR|3VULN|2DMG|1AART|2CDMG	19aVULN|28LHND|39CDMG|4LEGI|59DMG|6AART|7RCR|9BPWR
22	41326 11311	 * 	198.34	ACR|4VULN|2DMG|1AART|1SELL	1RMIN|2RCR|3aDMG|468aVULN|5AART|7SELL|9aBEXP|aBPWR
23	41326 11331	 * 	198.34	ACR|4VULN|2DMG|1AART|1SELL	1RMIN|2RCR|3aDMG|468aVULN|5AART|7SELL|9aFEWX|aBPWR
24	41311 25351	   	198.24	ACR|3DMG|2VULN|1AART|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|67VULN|8LWND|9AART|aCGEN
25	41311 25352	   	198.24	ACR|3DMG|2VULN|1AART|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|67VULN|8LWND|9AART|aLHND
26	41226 13153	   	197.79	ACR|3VULN|2DMG|1AART|2ASPD|1SELL	1RMIN|2RCR|369VULN|49ASPD|5AART|7RPLT|89DMG|9BPWR|aSELL
27	41323 21361	   	197.50	ACR|3VULN|3DMG|1AART|1SELL	1RMIN|2RCR|37aDMG|46aVULN|5SELL|8aLWND|9AART|aBPWR
28	12333 22155	   	195.84	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|29LHND|3CDMG|48DUR|59DMG|6AART|7RCR|9BPWR|aASPD
29	14313 22255	   	195.84	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|29DUR|3CDMG|48LHND|59DMG|6AART|7RCR|9BPWR|aASPD
30	32335 25621	   	195.83	ACR|3VULN|2DMG|1AART|1ZMB	137MLV|2DUR|4RCR|57DMG|67aVULN|7BPWR|8AART|9ZMB
31	14214 12116	 * 	195.82	DCR|4VULN|1AART|2FLTHEA|2DUR|1ZMB	1489VULN|29DUR|3ZMB|5ERES|69FLTHEA|7RCR|9BPWR|aAART
32	32435 25332	   	195.57	ACR|4VULN|3DMG|2DUR	137MLV|23DUR|37BPWR|4RCR|579DMG|678aVULN
33	41221 36153	   	195.43	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD	1RMIN|2RCR|39VULN|49ASPD|5LWND|6AART|7CDMG|89DMG|9BPWR|aBEXP
34	12333 22151	   	195.21	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	19VULN|29LHND|3aCDMG|48DUR|59DMG|6AART|7RCR|9BPWR
35	14313 22251	   	195.21	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	19VULN|29DUR|3aCDMG|48LHND|59DMG|6AART|7RCR|9BPWR
36	41226 14133	   	194.23	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2RCR|369VULN|4ASPD|5AART|7DMG|8DUR|aCDMG
37	41326 32633	   	194.23	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2RCR|3DMG|479VULN|5AART|6DUR|8ASPD|aCDMG
38	14313 22151	 * 	192.71	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	19VULN|289DUR|3CDMG|4LHND|59DMG|6AART|7RCR|9BPWR|aFEWX
39	14313 22153	   	192.71	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	19VULN|289DUR|3CDMG|4LHND|59DMG|6AART|7RCR|9BPWR|aMGNSTR
40	14313 22154	   	192.71	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	19VULN|289DUR|3CDMG|4LHND|59DMG|6AART|7RCR|9BPWR|aRCVC
