0	Index      	 *	Score 	Summary	Detail	
1	62323 26432	 * 	197.72	DCR|3VULN|2AART|2CDMG|2ZMB|2DUR	16AART|257VULN|37ZMB|47DUR|7BPWR|8aCDMG|9RCR
2	66531 13133	 * 	194.12	ACR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	1AART|2RCR|3aDUR|4aVULN|5MBVNT|6BEXP|7ZMB|8aDMG|9SELL|aBPWR
3	66531 33133	 * 	194.02	ACR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	1AART|2RCR|3aDUR|4aVULN|5MBVNT|6DUST|7ZMB|8aDMG|9SELL|aBPWR
4	66222 22114	 * 	191.86	ACR|3DMG|3AART|1VULN|1DUR	146AART|2RCR|37LHND|579DMG|7BPWR|8DUR|aVULN
5	62323 26431	   	191.40	DCR|3VULN|2AART|2ZMB|1CDMG|2DUR	16AART|257VULN|37ZMB|47DUR|7BPWR|8CDMG|9RCR|aLIT
6	62323 26433	   	191.40	DCR|3VULN|2AART|2ZMB|1CDMG|2DUR	16AART|257VULN|37ZMB|47DUR|7BPWR|8CDMG|9RCR|aLHND
7	62316 51222	 * 	191.21	DCR|3VULN|1AART|3ZMB|3CDMG	1AART|289VULN|389ZMB|4ERES|5DUST|6BELT|789CDMG|89BPWR|aRCR
8	66113 22431	 * 	191.10	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2RCR|3aLWND|45CDMG|6aDMG|7ERES|8LIT|9aVULN|aBPWR
9	62333 52224	 * 	190.27	DCR|3VULN|2DMG|1AART|1ZMB	1AART|25aVULN|3ZMB|4aDMG|6BELT|7aLWND|8RCR|9RPLT|aBPWR
10	62333 14841	   	187.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|25aVULN|3ZMB|4aDMG|6aCANSTR|7MBVNT|8LEGI|9RCR|aBPWR
11	66222 12253	 * 	186.89	ACR|2AART|2DMG|1VULN|2ZMB|1DUR	14AART|2RCR|3aLHND|5aDMG|6RPLT|7DUR|8VULN|9aZMB|aBPWR
12	62333 14241	 * 	186.17	DCR|3VULN|1AART|1DMG|2ZMB|2DUR	1AART|25aVULN|3aZMB|4DMG|6CANSTR|7MBVNT|8aDUR|9RCR|aBPWR
13	62331 53224	 * 	186.06	DCR|2AART|2DMG|2VULN|1ZMB	17AART|2aVULN|3ZMB|4aDMG|5aLHND|6BELT|8RCR|9RPLT|aBPWR
14	66222 12243	 * 	185.58	ACR|2AART|2DMG|1VULN|2ASPD|1DUR	14AART|2RCR|3aLHND|5aDMG|6RPLT|7DUR|8VULN|9aASPD|aBPWR
15	66113 13353	 * 	184.05	ACR|3VULN|1AART|2CDMG|2ZMB	1AART|2RCR|369LWND|45CDMG|79aVULN|89ZMB|9BPWR
16	66131 42512	   	181.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3LWND|49VULN|5MBVNT|67DMG|8ZMB|aLIT
17	66131 42513	   	181.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3LWND|49VULN|5MBVNT|67DMG|8ZMB|aCGEN
18	66131 42514	   	181.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3LWND|49VULN|5MBVNT|67DMG|8ZMB|aMLV
19	66231 42512	   	181.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3LHND|49VULN|5MBVNT|67DMG|8ZMB|aLIT
20	66231 42513	   	181.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3LHND|49VULN|5MBVNT|67DMG|8ZMB|aCGEN
21	66231 42514	   	181.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3LHND|49VULN|5MBVNT|67DMG|8ZMB|aMLV
22	66131 42511	   	181.84	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3LWND|49VULN|5MBVNT|67DMG|8ZMB|aBASICY
23	66231 42511	   	181.84	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3LHND|49VULN|5MBVNT|67DMG|8ZMB|aBASICY
24	66112 32243	 * 	181.80	ACR|1AART|1DMG|2CDMG|1VULN|2ASPD|2DUR	1AART|2RCR|3LWND|4aCDMG|5FEWX|6DMG|7aDUR|8VULN|9aASPD|aBPWR
25	66212 32243	   	181.80	ACR|1AART|1DMG|2CDMG|1VULN|2ASPD|2DUR	1AART|2RCR|3LHND|4aCDMG|5FEWX|6DMG|7aDUR|8VULN|9aASPD|aBPWR
26	62333 25224	   	181.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|25VULN|3ZMB|47DMG|69DUR|8ERES|aRCR
27	62333 53334	 * 	181.53	DCR|3VULN|2AART|1DMG|1ZMB	18AART|25aVULN|3ZMB|4DMG|6BELT|7LSRICY|9RCR
28	63331 31523	 * 	181.07	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	1AART|257LHND|37ZMB|467DMG|7BPWR|8DUR|9RCR|aVULN
