0	Index      	 *	Score 	Summary	Detail	
1	12164 82152	 * 	210.71	DCR|3VULN|3DMG|2AART|1ASPD	12AART|357DMG|4MBVNT|67aVULN|7BPWR|8ASPD|9RCR
2	15331 22164	   	207.29	DCR|3VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	1AART|237VULN|47DUR|5RCVC|67DMG|7BPWR|8CDMG|9ASPD|aRCR
3	12123 32265	   	206.47	DCR|3VULN|3DMG|2AART	12AART|39aDMG|49aVULN|5MBVNT|69aLWND|7RPLT|8RCR|9aBPWR
4	12123 82265	   	206.47	DCR|3VULN|3DMG|2AART	12AART|39aDMG|49aVULN|5MBVNT|69aLHND|7RPLT|8RCR|9aBPWR
5	12163 22265	   	206.47	DCR|3VULN|3DMG|2AART	12AART|39aDMG|4MBVNT|5RPLT|69aVULN|79aLWND|8RCR|9aBPWR
6	15311 34234	 * 	203.93	DCR|3VULN|2DMG|1AART|2CDMG	1AART|23aVULN|4aCDMG|5BEXP|6RCR|7LEGI|8FEWX|9aDMG|aBPWR
7	15311 34334	   	203.93	DCR|3VULN|2DMG|1AART|2CDMG	1AART|23aVULN|4aCDMG|5BEXP|6RCR|7LEGI|8LWND|9aDMG|aBPWR
8	12161 72482	 * 	203.20	DCR|3AART|2VULN|2DMG|2DUR|1ASPD	12aAART|39DMG|4MBVNT|5ASPD|6RCR|79DUR|89VULN|9BPWR
9	12531 22164	   	203.08	DCR|2AART|2VULN|2DMG|1CDMG|2DUR|1ASPD	12AART|37VULN|47DUR|5RCVC|67DMG|7BPWR|8CDMG|9ASPD|aRCR
10	12161 71541	   	202.35	DCR|3DMG|2AART|2VULN|1ASPD	12AART|38aDMG|4MBVNT|5ASPD|6RCR|7aLIT|9aVULN|aBPWR
11	14321 22156	 * 	202.22	DCR|4VULN|2DMG|1AART|1CDMG	1AART|27LHND|3479VULN|5RCVC|67DMG|7BPWR|8CDMG|aRCR
12	15221 22156	   	202.22	DCR|4VULN|2DMG|1AART|1CDMG	1AART|2479VULN|37FEWX|5RCVC|67DMG|7BPWR|8CDMG|aRCR
13	15321 22156	   	202.22	DCR|4VULN|2DMG|1AART|1CDMG	1AART|2379VULN|47LHND|5RCVC|67DMG|7BPWR|8CDMG|aRCR
14	12121 62151	 * 	200.97	DCR|2AART|2VULN|2DMG|2ZMB|2ASPD	12AART|37DMG|4aVULN|57ASPD|67ZMB|7BPWR|8MBVNT|9RCR
15	12511 34234	 * 	199.72	DCR|2AART|2DMG|2VULN|2CDMG	12AART|3aVULN|4aCDMG|5BEXP|6RCR|7LEGI|8FEWX|9aDMG|aBPWR
16	12511 34334	   	199.72	DCR|2AART|2DMG|2VULN|2CDMG	12AART|3aVULN|4aCDMG|5BEXP|6RCR|7LEGI|8LWND|9aDMG|aBPWR
17	12521 22156	   	199.57	DCR|3VULN|2AART|2DMG|1CDMG	12AART|379VULN|47LHND|5RCVC|67DMG|7BPWR|8CDMG|aRCR
18	12122 62156	   	199.37	DCR|3VULN|2AART|2DMG|1CDMG	12AART|37DMG|479VULN|57DUST|6RCVC|7BPWR|8CDMG|aRCR
19	13164 82152	   	199.26	DCR|3VULN|3DMG|1AART|1ASPD	1AART|2RCVC|357DMG|4MBVNT|67aVULN|7BPWR|8ASPD|9RCR
20	12121 62153	 * 	199.03	DCR|3DMG|2AART|1VULN|2ZMB|2ASPD	12AART|37aDMG|4VULN|57ASPD|67ZMB|7BPWR|8MBVNT|9RCR
21	12161 72483	   	198.93	DCR|2AART|2DMG|2VULN|2DUR|1ASPD	12AART|39DMG|4MBVNT|5ASPD|6RCR|79DUR|89VULN|9BPWR|aLHND
22	12161 72484	   	198.93	DCR|2AART|2VULN|2DMG|2DUR|1ASPD	12AART|39DMG|4MBVNT|5ASPD|6RCR|79DUR|89VULN|9BPWR|aLIT
23	13161 72482	   	198.93	DCR|2AART|2VULN|2DMG|2DUR|1ASPD	1aAART|2RCVC|39DMG|4MBVNT|5ASPD|6RCR|79DUR|89VULN|9BPWR
24	12161 72481	   	198.83	DCR|2AART|2VULN|2DMG|2DUR|1ASPD	12AART|39DMG|4MBVNT|5ASPD|6RCR|79DUR|89VULN|9BPWR|aERES
25	15311 35234	   	197.72	DCR|3VULN|2DMG|1AART|1CDMG	1AART|23aVULN|4CDMG|5aBEXP|6RCR|7LHND|8FEWX|9aDMG|aBPWR
26	15311 35334	   	197.72	DCR|3VULN|2DMG|1AART|1CDMG	1AART|23aVULN|4CDMG|5aBEXP|6RCR|7LHND|8LWND|9aDMG|aBPWR
27	15331 22331	 * 	197.46	DCR|3VULN|2DMG|1AART|3DUR|1ASPD	1AART|237VULN|478DUR|5RCVC|67DMG|7BPWR|9ASPD|aRCR
28	15342 22331	   	197.46	DCR|3VULN|2DMG|1AART|3DUR|1ASPD	1AART|237VULN|4DMSP|578DUR|67DMG|7BPWR|9ASPD|aRCR
29	15521 22331	   	197.46	DCR|3VULN|2DMG|1AART|3DUR|1ASPD	1AART|247VULN|378DUR|5RCVC|67DMG|7BPWR|9ASPD|aRCR
30	14321 22164	   	195.06	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	1AART|27LHND|347VULN|5RCVC|67DMG|7BPWR|8CDMG|9ASPD|aRCR
31	15221 22164	   	195.06	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	1AART|247VULN|37FEWX|5RCVC|67DMG|7BPWR|8CDMG|9ASPD|aRCR
32	15321 22164	   	195.06	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	1AART|237VULN|47LHND|5RCVC|67DMG|7BPWR|8CDMG|9ASPD|aRCR
33	13123 32265	   	195.02	DCR|3VULN|3DMG|1AART	1AART|2RCVC|39aDMG|49aVULN|5MBVNT|69aLWND|7RPLT|8RCR|9aBPWR
