0	Index      	 *	Score 	Summary	Detail	
1	13632 24152	 * 	220.05	ACR|5VULN|2DMG|1AART|2DUR	1257aVULN|3AART|4RCR|6FEWX|8aDUR|9aDMG|aBPWR
2	13632 34152	   	218.12	ACR|4VULN|2DMG|1AART|2DUR|1ZMB	125aVULN|3AART|4RCR|6NUKE|7ZMB|8aDUR|9aDMG|aBPWR
3	13632 61252	   	214.76	ACR|5VULN|2DMG|1AART	1258aVULN|3AART|4RCR|6DUR|7aBEXP|9aDMG|aBPWR
4	13632 21252	   	207.82	ACR|5VULN|2DMG|1AART	1258aVULN|3AART|4RCR|6FEWX|7aBEXP|9aDMG|aBPWR
5	13621 42252	 * 	206.80	DCR|4VULN|2DMG|1AART|2DUR	128aVULN|3AART|46DUR|5aBEXP|7RCR|9aDMG|aBPWR
6	13632 62351	   	201.73	ACR|4VULN|2DMG|1AART	125aVULN|3AART|4RCR|6DUR|79DMG|8CGEN
7	13632 62421	   	201.63	ACR|4VULN|2DMG|1AART	125aVULN|3AART|4RCR|6DUR|79DMG|8ERES
8	13621 62252	   	201.51	DCR|4VULN|2DMG|1AART	128aVULN|3AART|4DUR|5aBEXP|6DMSP|7RCR|9aDMG|aBPWR
9	13632 62621	   	201.28	ACR|3VULN|2DMG|1AART|1CDMG	125VULN|3AART|4RCR|6DUR|7aDMG|8CDMG|9CGEN
10	13632 24411	   	197.79	ACR|4VULN|1AART|1DMG|1CDMG	1257VULN|3AART|4RCR|6FEWX|8CDMG|9DUR|aDMG
11	13632 64331	   	197.69	ACR|4VULN|1AART|1DMG|1CDMG	1257VULN|3AART|4RCR|6DUR|8CDMG|9DUST|aDMG
12	13632 64221	   	196.97	ACR|5VULN|1AART|1DMG	1257aVULN|3AART|4RCR|6DUR|8CGEN|9DMG
13	13636 16321	 * 	196.61	ACR|3VULN|3AART|2DMG	12aVULN|369AART|4RCR|5LIT|7aFEWX|8aDMG|aBPWR
14	13632 22523	   	196.24	ACR|3VULN|2DMG|1AART|1CDMG	125VULN|3AART|4RCR|6FEWX|79DMG|8RCVC|aCDMG
15	13631 51152	   	195.62	ACR|3VULN|2DMG|1AART|2DUR	12aVULN|3AART|4RCR|57BEXP|6RCVC|8aDUR|9aDMG|aBPWR
16	13632 62142	 * 	195.59	ACR|4VULN|2AART|1DMG	1259VULN|3aAART|4RCR|6DUR|7DMG|8LIT
17	13632 62341	   	195.59	ACR|4VULN|2AART|1DMG	125aVULN|39AART|4RCR|6DUR|7DMG|8CGEN
18	13632 62431	   	195.49	ACR|4VULN|2AART|1DMG	125aVULN|39AART|4RCR|6DUR|7DMG|8ERES
19	13632 61622	   	195.14	ACR|3VULN|2AART|1DMG|1CDMG	125VULN|3aAART|4RCR|6DUR|7BEXP|8CDMG|9DMG
20	13632 62126	   	195.14	ACR|3VULN|2AART|1DMG|1FLTHEA	125VULN|39AART|4RCR|6DUR|7DMG|8LIT|aFLTHEA
21	61532 24121	   	194.94	ACR|3VULN|2DMG|1AART|2ASPD	19ASPD|2RCR|379VULN|4BEXP|5CANHEL|69DMG|8RPLT|9BPWR|aAART
22	13632 22351	   	194.79	ACR|4VULN|2DMG|1AART	125aVULN|3AART|4RCR|6FEWX|79DMG|8CGEN
23	13632 54311	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|3AART|4RCR|6CGEN|7ZMB|8CDMG|9DUR|aDMG
24	13632 63621	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|3AART|4RCR|6DUR|7ZMB|8CDMG|9CGEN|aDMG
25	13632 22421	   	194.69	ACR|4VULN|2DMG|1AART	125aVULN|3AART|4RCR|6FEWX|79DMG|8ERES
26	13632 34411	   	194.59	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	125VULN|3AART|4RCR|6NUKE|7ZMB|8CDMG|9DUR|aDMG
27	61122 24261	   	193.43	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG	13ASPD|2RCR|3BPWR|4CDMG|5FEWX|6aDMG|78VULN|9AART
28	13632 15521	   	192.76	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|3AART|4RCR|6CDMG|7RPLT|8RCVC|9DMG
