0	Index      	 *	Score 	Summary	Detail	
1	24243 11326	 * 	220.87	ACR|5VULN|2DMG|1AART|2ZMB	14569VULN|29DMG|3RCR|7RPLT|89ZMB|9BPWR|aAART
2	24222 66222	 * 	208.74	ACR|4VULN|3DMG|1AART	1789VULN|269DMG|3RCR|4RMIN|5RPLT|9BPWR|aAART
3	24223 16222	 * 	207.80	ACR|4VULN|1AART|1DMG|2CDMG|2DUR	1589VULN|2DMG|3RCR|4RMIN|69DUR|79CDMG|9BPWR|aAART
4	24241 16222	   	207.80	ACR|4VULN|1AART|1DMG|2CDMG|2DUR	1489VULN|2DMG|3RCR|5RMIN|69DUR|79CDMG|9BPWR|aAART
5	24221 13146	 * 	207.08	ACR|3VULN|2AART|2DMG|2ASPD	19aVULN|29DMG|3RCR|4RMIN|56AART|7RPLT|89ASPD|9BPWR
6	24223 14222	   	205.18	ACR|4VULN|2DMG|1AART|2DUR|1SELL	1589VULN|29DMG|3RCR|4RMIN|69DUR|7SELL|9BPWR|aAART
7	24241 14222	   	205.18	ACR|4VULN|2DMG|1AART|2DUR|1SELL	1489VULN|29DMG|3RCR|5RMIN|69DUR|7SELL|9BPWR|aAART
8	24111 15126	 * 	204.80	DCR|4VULN|2DMG|1AART|2DUR	1349VULN|29DMG|5TLV|6RCR|7DUST|89DUR|9BPWR|aAART
9	24223 23254	   	204.74	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	15aVULN|2aDMG|3RCR|4RMIN|6ZMB|7ERES|8AART|9aASPD|aBPWR
10	24243 11332	   	203.99	ACR|4VULN|2DMG|1AART|1ZMB	1456VULN|29DMG|3RCR|7RPLT|8ZMB|aAART
11	24243 61212	   	202.93	ACR|4VULN|1AART|1DMG|1CDMG	1458VULN|2DMG|3RCR|6CDMG|7ASPD|9DUR|aAART
12	26633 32234	 * 	202.23	DCR|3VULN|2DMG|1AART|2CDMG	18aVULN|2DMSP|3CGEN|4AART|5aCDMG|6RCR|7aDMG|9RPLT|aBPWR
13	24223 23126	   	202.22	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	159VULN|29DMG|3RCR|4RMIN|6ZMB|7ERES|89DUR|9BPWR|aAART
14	24241 23126	   	202.22	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	149VULN|29DMG|3RCR|5RMIN|6ZMB|7ERES|89DUR|9BPWR|aAART
15	21126 36333	   	200.57	DCR|3VULN|2DMG|1AART|2CDMG	139VULN|2ASPD|49DMG|5DUST|6VENICY|79CDMG|8RCR|9BPWR|aAART
16	21123 26331	 * 	200.16	DCR|3VULN|3DMG|2CDMG	139VULN|2ASPD|49aDMG|5MGNSTR|6DUR|79CDMG|8RCR|9BPWR
17	25266 33222	 * 	200.05	ACR|3VULN|2DMG|1AART|2CDMG	189VULN|2BEXP|3RCVC|4RCR|59DMG|69CDMG|7RMIN|9BPWR|aAART
18	24422 13226	   	199.71	DCR|4VULN|2DMG|1AART	1459VULN|29DMG|3CGEN|6RCR|7DUR|89FEWX|9BPWR|aAART
19	24111 16226	   	199.61	DCR|4VULN|2DMG|1AART	1349VULN|29DMG|5TLV|6RCR|7DUR|89FEWX|9BPWR|aAART
20	24223 16232	   	199.48	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|29DMG|3RCR|4RMIN|6DUR|7CDMG|aAART
21	24241 16232	   	199.48	ACR|3VULN|2DMG|1AART|1CDMG	148VULN|29DMG|3RCR|5RMIN|6DUR|7CDMG|aAART
22	24123 34151	 * 	199.26	DCR|3VULN|3DMG|1AART	138VULN|24aDMG|5DUR|6LHND|7RCR|9AART
23	24225 63222	   	199.05	ACR|3VULN|2DMG|1AART|2CDMG	189VULN|26DMG|3RCR|4RMIN|59CDMG|79FEWX|9BPWR|aAART
24	24121 13215	   	198.96	DCR|3VULN|2DMG|1AART|1CDMG	138VULN|24DMG|5TLV|6RCR|7CDMG|9DUR|aAART
25	24221 23146	   	198.14	ACR|3VULN|2DMG|1AART|2ASPD	19aVULN|29DMG|3RCR|4RMIN|5AART|6RCVC|7RPLT|89ASPD|9BPWR
26	24223 21244	   	198.03	ACR|3VULN|2DMG|1AART|1ZMB	15aVULN|2aDMG|3RCR|4RMIN|6ZMB|7ASPD|8AART|9aERES|aBPWR
27	24243 31221	   	198.03	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|2aDMG|3RCR|6LHND|7ASPD|8AART|9ZMB
28	24113 34151	   	197.71	DCR|4VULN|2DMG|1AART	1348VULN|2aDMG|5DUR|6LHND|7RCR|9AART
29	24243 11321	   	197.67	ACR|5VULN|2DMG|2ZMB	14569VULN|29DMG|3RCR|7RPLT|89ZMB|9BPWR|aLIT
30	24243 11324	   	197.67	ACR|5VULN|2DMG|2ZMB	14569VULN|29DMG|3RCR|7RPLT|89ZMB|9BPWR|aCGEN
31	24243 11322	   	197.57	ACR|5VULN|2DMG|2ZMB	14569VULN|29DMG|3RCR|7RPLT|89ZMB|9BPWR|aLEGI
32	24243 11325	   	197.57	ACR|5VULN|2DMG|2ZMB	14569VULN|29DMG|3RCR|7RPLT|89ZMB|9BPWR|aMBVNT
33	24122 15251	   	196.86	DCR|3VULN|3DMG|1AART	136VULN|24aDMG|5LHND|7DUR|8RCR|9AART
34	24121 15126	   	196.80	DCR|3VULN|3DMG|1CDMG|2DUR	139VULN|249DMG|5TLV|6RCR|7DUST|89DUR|9BPWR|aCDMG
35	21243 11326	   	196.77	ACR|5VULN|1AART|2ZMB|2ASPD	14569VULN|29ASPD|3RCR|7RPLT|89ZMB|9BPWR|aAART
36	24223 43212	   	195.99	ACR|4VULN|1AART|1DMG|1CDMG	1568VULN|2DMG|3RCR|4RMIN|7CDMG|9DUR|aAART
37	24241 43212	   	195.99	ACR|4VULN|1AART|1DMG|1CDMG	1468VULN|2DMG|3RCR|5RMIN|7CDMG|9DUR|aAART
38	24223 43622	   	195.56	ACR|4VULN|1AART|1DMG|2CDMG	1569VULN|2DMG|3RCR|4RMIN|79CDMG|89FEWX|9BPWR|aAART
39	24111 13215	   	195.47	DCR|4VULN|1AART|1DMG|1CDMG	1348VULN|2DMG|5TLV|6RCR|7CDMG|9DUR|aAART
40	24223 43322	   	195.36	ACR|4VULN|1AART|1DMG|2CDMG	1569VULN|2DMG|3RCR|4RMIN|79CDMG|89DUST|9BPWR|aAART
41	24241 43322	   	195.36	ACR|4VULN|1AART|1DMG|2CDMG	1469VULN|2DMG|3RCR|5RMIN|79CDMG|89DUST|9BPWR|aAART
42	24246 33222	   	195.36	ACR|4VULN|1AART|1DMG|2CDMG	1489VULN|2DMG|3RCR|59DUST|69CDMG|7RMIN|9BPWR|aAART
43	24112 15251	   	195.31	DCR|4VULN|2DMG|1AART	1346VULN|2aDMG|5LHND|7DUR|8RCR|9AART
44	21223 16222	   	194.67	ACR|4VULN|1AART|2CDMG|2DUR	1589VULN|2ASPD|3RCR|4RMIN|69DUR|79CDMG|9BPWR|aAART
45	21241 16222	   	194.67	ACR|4VULN|1AART|2CDMG|2DUR	1489VULN|2ASPD|3RCR|5RMIN|69DUR|79CDMG|9BPWR|aAART
46	24222 62222	   	194.64	ACR|3VULN|3DMG|1AART	189VULN|269DMG|3RCR|4RMIN|57RPLT|9BPWR|aAART
47	24222 66232	   	194.54	ACR|3VULN|3DMG|1AART	178VULN|269DMG|3RCR|4RMIN|5RPLT|aAART
48	24223 62252	   	194.19	ACR|4VULN|2DMG|1AART	159aVULN|27DMG|3RCR|4RMIN|6LWND|8AART
49	24225 33143	   	193.74	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD	19VULN|29DMG|3RCR|4RMIN|5CDMG|6LHND|7AART|89ASPD|9BPWR|aRCVC
50	24423 22323	   	193.73	DCR|3VULN|2DMG|1AART|2CDMG	14aVULN|2aDMG|3CGEN|5AIRHEL|6AART|7DMSP|8aCDMG|9RCR|aBPWR
51	21242 43532	   	193.24	ACR|3VULN|2DMG|1AART|2ASPD	14aVULN|2aASPD|3RCR|5LIT|6LHND|7RPLT|8aDMG|9AART|aBPWR
52	24223 41236	   	193.09	ACR|4VULN|2DMG|1AART	1569VULN|29DMG|3RCR|4RMIN|7DMSP|8BELT|9BPWR|aAART
53	21126 36331	   	193.02	DCR|3VULN|3DMG|2CDMG	139VULN|2ASPD|49aDMG|5DUST|6VENICY|79CDMG|8RCR|9BPWR
54	24223 54222	   	192.94	ACR|4VULN|2DMG|1AART|1SELL	1589VULN|29DMG|3RCR|4RMIN|69BEXP|7SELL|9BPWR|aAART
55	24221 13143	   	192.73	ACR|2AART|2VULN|2DMG|2ASPD	19VULN|29DMG|3RCR|4RMIN|56AART|7RPLT|89ASPD|9BPWR|aRCVC
56	23224 36113	   	192.57	DCR|4VULN|1AART|1DMG|1CDMG	1459VULN|2DUR|3BELT|6CDMG|7AART|8RCR|aDMG
57	24223 43632	   	192.54	ACR|3VULN|2DMG|1AART|1CDMG	156VULN|29DMG|3RCR|4RMIN|7CDMG|8FEWX|aAART
58	24225 63232	   	192.54	ACR|3DMG|2VULN|1AART|1CDMG	18VULN|269DMG|3RCR|4RMIN|5CDMG|7FEWX|aAART
59	24223 43332	   	192.44	ACR|3VULN|2DMG|1AART|1CDMG	156VULN|29DMG|3RCR|4RMIN|7CDMG|8DUST|aAART
60	24241 43332	   	192.44	ACR|3VULN|2DMG|1AART|1CDMG	146VULN|29DMG|3RCR|5RMIN|7CDMG|8DUST|aAART
61	24246 33232	   	192.44	ACR|3VULN|2DMG|1AART|1CDMG	148VULN|29DMG|3RCR|5DUST|6CDMG|7RMIN|aAART
62	24225 33141	   	192.43	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG	19VULN|29DMG|3RCR|4RMIN|5CDMG|6LHND|7AART|89ASPD|9BPWR|aMLV
63	23313 46331	 * 	192.42	DCR|3VULN|2DMG|2CDMG|2ZMB	169VULN|2DUR|39ZMB|4MGNLIT|5aDMG|79CDMG|8RCR|9BPWR
64	24225 33142	   	192.33	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG	19VULN|29DMG|3RCR|4RMIN|5CDMG|6LHND|7AART|89ASPD|9BPWR|aERES
65	14213 34151	   	192.32	DCR|3VULN|3DMG|1AART	1FEWX|23aDMG|458VULN|6LHND|7RCR|9AART
66	21663 16222	   	192.27	ACR|4VULN|1AART|2CDMG|2DUR	1589VULN|2ASPD|3RMIN|4RCR|69DUR|79CDMG|9BPWR|aAART
67	24121 13255	   	191.77	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	138VULN|24DMG|5TLV|6RCR|7CDMG|9SELL|aAART
68	24223 12354	   	191.72	ACR|3VULN|2DMG|1AART|2DUR	15aVULN|27DMG|3RCR|4RMIN|6aDUR|8aTLV|9AART|aBPWR
69	24121 16226	   	191.61	DCR|3VULN|3DMG|1CDMG	139VULN|249DMG|5TLV|6RCR|7DUR|89FEWX|9BPWR|aCDMG
70	24211 36532	 * 	191.50	ACR|3VULN|3DMG|2CDMG	19aVULN|279DMG|3RCR|4MGNLIT|5LHND|6RMIN|89CDMG|9BPWR
71	24221 13141	   	191.43	ACR|2AART|2VULN|2DMG|2ASPD	19VULN|29DMG|3RCR|4RMIN|56AART|7RPLT|89ASPD|9BPWR|aMLV
72	24221 13144	   	191.43	ACR|2AART|2DMG|2VULN|2ASPD	19VULN|29DMG|3RCR|4RMIN|56AART|7RPLT|89ASPD|9BPWR|aCGEN
73	24221 13145	   	191.43	ACR|2AART|2VULN|2DMG|2ASPD	19VULN|29DMG|3RCR|4aRMIN|56AART|7RPLT|89ASPD|9BPWR
74	24213 16532	   	191.40	ACR|3VULN|3DMG|2CDMG	19aVULN|279DMG|3RCR|4MGNLIT|5NUKE|6LHND|89CDMG|9BPWR
75	24213 42531	   	191.40	ACR|3VULN|3DMG|2CDMG	169VULN|29aDMG|3RCR|4MGNLIT|5NUKE|7LHND|89CDMG|9BPWR
76	24223 32531	   	191.40	ACR|3VULN|3DMG|2CDMG	159VULN|29aDMG|3RCR|4RMIN|6VENICY|7LHND|89CDMG|9BPWR
77	24223 35531	   	191.40	ACR|3VULN|3DMG|2CDMG	159VULN|29aDMG|3RCR|4RMIN|6VENICY|7LWND|89CDMG|9BPWR
78	24241 32531	   	191.40	ACR|3VULN|3DMG|2CDMG	149VULN|29aDMG|3RCR|5RMIN|6VENICY|7LHND|89CDMG|9BPWR
79	24221 13142	   	191.33	ACR|2AART|2VULN|2DMG|2ASPD	19VULN|29DMG|3RCR|4RMIN|56AART|7RPLT|89ASPD|9BPWR|aERES
80	23343 34151	   	191.12	DCR|4VULN|1AART|1DMG|1ZMB	1458VULN|2DUR|3ZMB|6LHND|7RCR|9AART|aDMG
