0	Index      	 *	Score 	Summary	Detail	
1	21266 13351	 * 	224.57	DCR|4VULN|2DMG|1AART|2ASPD|1CDMG	126aVULN|2aBPWR|3RCVC|4AART|5CDMG|7RCR|8aDMG|9aASPD
2	24632 43312	 * 	223.48	ACR|3VULN|3DMG|1AART|2DUR|1ZMB	147VULN|247DMG|3RCR|47BPWR|5AART|6RCVC|8aDUR|9ZMB
3	24632 43112	 * 	223.06	ACR|4VULN|3DMG|1AART	147aVULN|247DMG|3RCR|47BPWR|5AART|68RCVC|9ASPD
4	24632 43313	   	219.36	ACR|3VULN|3DMG|1AART|1ZMB	147VULN|247DMG|3RCR|47BPWR|5AART|6aRCVC|8DUR|9ZMB
5	24632 43321	 * 	218.63	ACR|3VULN|3DMG|2AART	147VULN|247DMG|3RCR|47BPWR|5aAART|6RCVC|8DUR|9DMSP
6	24632 43311	   	218.09	ACR|3VULN|3DMG|1AART|1ZMB	147VULN|247DMG|3RCR|47BPWR|5AART|6RCVC|8DUR|9ZMB|aERES
7	24632 43122	   	216.12	ACR|4VULN|3DMG|1AART	147aVULN|247DMG|3RCR|47BPWR|5AART|68RCVC|9CGEN
8	24632 33612	   	215.58	ACR|3VULN|3DMG|1AART|1ZMB	148VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|9ZMB|aDUR
9	64363 13213	   	214.79	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|2MLV|38aDMG|469VULN|5CDMG|7AART
10	13266 13351	   	214.35	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG|2RCVC	13RCVC|26aVULN|4AART|5CDMG|7RCR|8aDMG|9aASPD|aBPWR
11	24632 43131	   	213.37	ACR|3VULN|3DMG|2AART	147VULN|247DMG|3RCR|47BPWR|5aAART|68RCVC|9DUST
12	24632 43323	   	212.48	ACR|3VULN|3DMG|1AART|2DUR	147VULN|247DMG|3RCR|47BPWR|5AART|6RCVC|8aDUR|9DMSP
13	65263 13221	   	210.14	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|2ZMB|3MLV|46aVULN|5CDMG|7AART|89DMG
14	21466 13331	 * 	209.60	DCR|5VULN|1AART|1DMG|1CDMG	1236aVULN|2BPWR|4AART|5CDMG|7RCR|8DMG|9DUR
15	24632 33621	   	209.09	ACR|3VULN|3DMG|2AART	148VULN|247DMG|3RCR|4BPWR|5aAART|6BEXP|9DMSP
16	24632 51312	   	209.09	ACR|3VULN|3DMG|2AART	148VULN|247DMG|3RCR|4BPWR|5aAART|6RPLT|9FEWX
17	24632 43111	   	208.96	ACR|3VULN|3DMG|1AART	147VULN|247DMG|3RCR|47BPWR|5AART|68RCVC|9ASPD|aLHND
18	24632 43113	   	208.86	ACR|3VULN|3DMG|1AART	147VULN|247DMG|3RCR|47BPWR|5AART|68RCVC|9ASPD|aDUST
19	24632 43133	   	208.86	ACR|3VULN|3DMG|1AART	147VULN|247DMG|3RCR|47BPWR|5AART|68RCVC|9DUST|aDUR
