0	Index      	 *	Score 	Summary	Detail	
1	11246 62221	 * 	200.01	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	19DMG|257VULN|3ZMB|4AART|6RCR|8MLV|aDUR
2	11361 34342	 * 	198.62	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|28aVULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9CDMG
3	11365 41133	 * 	197.86	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26aVULN|3DUR|4AART|5CDMG|8RCR|9LIT
4	11361 34321	   	195.97	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|28aVULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9ZMB
5	11561 33621	   	194.30	DCR|3VULN|2DMG|1AART|2DUR	18DMG|28aVULN|3BEXP|4AART|59DUST|6RCR|78DUR|8BPWR
6	12136 61214	   	193.32	DCR|3VULN|2DMG|1AART|1CDMG	1aDMG|2LIT|35aVULN|4CDMG|6RCR|7FEWX|8AART|9aDUST|aBPWR
7	12136 61223	   	193.32	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2LIT|35aVULN|4CDMG|6RCR|7FEWX|8AART
8	11246 62222	   	193.07	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|257VULN|3ZMB|4AART|6RCR|8MLV|aBEXP
9	11361 34326	 * 	191.77	DCR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|28VULN|3DUR|4aAART|5DUST|6RCR|7FLTHEA|9ZMB
10	13161 34342	   	191.68	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1DMG|2FEWX|38aVULN|4AART|5DUST|6RCR|7FLTHEA|9CDMG
11	11246 62233	   	190.44	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|8MLV|9FLTHEA|aRCVC
