0	Index      	 *	Score 	Summary	Detail	
1	21313 12621	 * 	202.63	ACR|2VULN|2AART|1DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37VULN|4ERES|5CDMG|67DUR|7BPWR|8aAART|9DMG
2	35136 62111	 * 	197.89	DCR|5VULN|3CDMG|1AART|1DUR	145CDMG|2345aVULN|45BPWR|6DUR|7AART|8RCR|9LHND
3	35136 62121	   	197.89	DCR|5VULN|3CDMG|1AART|1DUR	145CDMG|2345aVULN|45BPWR|6DUR|7AART|8RCR|9LWND
4	35136 62132	 * 	196.41	DCR|4VULN|2AART|3CDMG|1DUR	145CDMG|2345VULN|45BPWR|6DUR|7aAART|8RCR|9LSRHEA
5	21325 24233	 * 	195.82	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1RCR|29ASPD|3aVULN|49DUR|5CGEN|6FEWX|7AART|89DMG|9BPWR
6	21325 54233	   	195.82	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1RCR|29ASPD|3aVULN|49DUR|5CGEN|6BEXP|7AART|89DMG|9BPWR
7	21325 44233	   	195.72	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	1RCR|29ASPD|3aVULN|49DUR|5CGEN|6DUST|7AART|89DMG|9BPWR
8	62321 14161	   	192.91	DCR|5VULN|1AART|2CDMG|1ZMB	13789VULN|2ZMB|4AART|59LHND|69CDMG|9BPWR|aRCR
9	62321 14611	   	192.91	DCR|5VULN|1AART|2CDMG|1ZMB	13789VULN|2ZMB|4AART|58LHND|68CDMG|8BPWR|aRCR
10	62322 14611	   	192.91	DCR|5VULN|1AART|2CDMG|1ZMB	13789VULN|2ZMB|4AART|58FEWX|68CDMG|8BPWR|aRCR
11	21224 14322	 * 	192.58	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1RCR|2ASPD|3RCVC|4AART|5DUR|6CDMG|7VULN|89DMG|aZMB
12	25162 22143	 * 	192.28	ACR|2VULN|2DMG|2AART|1ZMB	1RCR|26BEXP|3aVULN|4DUST|56DMG|6BPWR|79AART|8ZMB
13	21312 12465	 * 	192.17	ACR|2VULN|1AART|3ASPD|1DMG|2CDMG	1RCR|25aASPD|3aVULN|4ERES|6DMG|7AART|8RPLT|9aCDMG|aBPWR
14	35136 62131	   	191.90	DCR|4VULN|3CDMG|1AART|1DUR|1ASPD	145CDMG|2345VULN|45BPWR|6DUR|7AART|8RCR|9LSRHEA|aASPD
15	64132 43322	 * 	191.62	DCR|3VULN|3DMG|1AART	135VULN|2LWND|47aDMG|6AART|8RCR|9DUST
16	66133 15133	 * 	191.54	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	136aVULN|2FEWX|4RCR|5ZMB|7DUR|8DMG|9AART
17	21313 12622	   	191.18	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37VULN|4ERES|5CDMG|67DUR|7BPWR|8AART|9DMG|aLHND
18	21313 12626	   	191.18	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37VULN|4ERES|5CDMG|67DUR|7BPWR|8AART|9DMG|aFEWX
19	21313 12625	   	191.08	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37VULN|4ERES|5CDMG|67DUR|7BPWR|8AART|9DMG|aDUST
20	21162 63333	 * 	190.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCR|2ASPD|3FEWX|4BEXP|5CDMG|69VULN|7AART|8aDMG
21	21224 23434	 * 	190.39	ACR|3DMG|1AART|1VULN|2ASPD|1DUR	1RCR|28ASPD|3RCVC|4AART|5DUR|68LHND|789DMG|8BPWR|aVULN
22	21321 51165	 * 	190.18	ACR|3VULN|2DMG|3DUR|2ASPD	1RCR|2aASPD|38aVULN|457DUR|6NUKE|9aDMG|aBPWR
