0	Index      	 *	Score 	Summary	Detail	
1	32355 61223	 * 	208.17	DCR|3DMG|2VULN|1AART|2ZMB|2ASPD	1aASPD|289DMG|3TLV|4AART|5aVULN|6aZMB|7RCR|aBPWR
2	32236 15223	 * 	195.60	ACR|3DMG|2VULN|2CDMG|2ASPD|1ZMB	19ASPD|269DMG|38VULN|4CGEN|5RCR|79CDMG|9BPWR|aZMB
3	32226 15223	   	195.50	ACR|3DMG|2VULN|2CDMG|2ASPD|1ZMB	19ASPD|269DMG|38VULN|4TLV|5RCR|79CDMG|9BPWR|aZMB
4	32326 15115	   	193.32	DCR|3DMG|2VULN|1AART|2ASPD	1aASPD|27aDMG|3TLV|4RMIN|5LIT|6RCR|8AART|9aVULN|aBPWR
5	32236 15214	 * 	193.14	ACR|3VULN|2DMG|2ZMB|2ASPD|1CDMG	1aASPD|26DMG|38aVULN|4CGEN|5RCR|7CDMG|9aZMB|aBPWR
6	32226 15214	   	193.04	ACR|3VULN|2DMG|2ZMB|2ASPD|1CDMG	1aASPD|26DMG|38aVULN|4TLV|5RCR|7CDMG|9aZMB|aBPWR
7	32236 15221	   	191.54	ACR|3DMG|2VULN|2CDMG|2ASPD|1DUR	19ASPD|269DMG|38VULN|4CGEN|5RCR|79CDMG|9BPWR|aDUR
8	32226 15221	   	191.44	ACR|3DMG|2VULN|2CDMG|2ASPD|1DUR	19ASPD|269DMG|38VULN|4TLV|5RCR|79CDMG|9BPWR|aDUR
9	32521 25115	   	191.02	DCR|3DMG|2VULN|1AART|2ASPD	1aASPD|25aDMG|3MLV|4RMIN|6LIT|7RCR|8AART|9aVULN|aBPWR
10	32321 25115	   	190.92	DCR|3DMG|2VULN|1AART|2ASPD	1aASPD|25aDMG|3TLV|4RMIN|6LIT|7RCR|8AART|9aVULN|aBPWR
11	32136 15423	 * 	190.71	ACR|3DMG|1AART|1VULN|2CDMG|2ASPD	18ASPD|268DMG|3DUST|4CGEN|5RCR|78CDMG|8BPWR|9AART|aVULN
12	32126 15423	   	190.61	ACR|3DMG|1AART|1VULN|2CDMG|2ASPD	18ASPD|268DMG|3DUST|4TLV|5RCR|78CDMG|8BPWR|9AART|aVULN
13	32113 43536	   	189.87	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG|1SELL	19ASPD|29DMG|3DUST|4RPLT|5CDMG|6RCR|7SELL|89VULN|9BPWR|aAART
14	32214 41422	 * 	188.68	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	17ASPD|2DMG|38aVULN|4RPLT|5CDMG|6RCR|9AART
15	32226 14422	 * 	188.46	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	1ASPD|26DMG|38aVULN|4TLV|5RCR|7DUR|9AART
16	32136 11323	 * 	188.34	ACR|3DMG|2VULN|1AART|2ASPD	1aASPD|26aDMG|3DUST|4CGEN|5RCR|7RCVC|8aVULN|9AART|aBPWR
17	32136 13323	   	188.34	ACR|3DMG|2VULN|1AART|2ASPD	1aASPD|26aDMG|3DUST|47CGEN|5RCR|8aVULN|9AART|aBPWR
18	32546 11323	   	188.34	ACR|3DMG|2VULN|1AART|2ASPD	1aASPD|26aDMG|3MLV|4DUST|5RCR|7RCVC|8aVULN|9AART|aBPWR
19	32126 11323	   	188.24	ACR|3DMG|2VULN|1AART|2ASPD	1aASPD|26aDMG|3DUST|4TLV|5RCR|7RCVC|8aVULN|9AART|aBPWR
20	32346 11323	   	188.24	ACR|3DMG|2VULN|1AART|2ASPD	1aASPD|26aDMG|3TLV|4DUST|5RCR|7RCVC|8aVULN|9AART|aBPWR
21	32355 61222	   	186.86	DCR|3DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ASPD|289DMG|3TLV|4AART|5VULN|6ZMB|7RCR|aDUR
22	32133 55423	 * 	185.85	DCR|2DMG|1AART|3ASPD|1VULN|2CDMG	158ASPD|28DMG|3DUST|45CGEN|58BPWR|6RCR|78CDMG|9AART|aVULN
23	32123 55423	   	185.65	DCR|2DMG|1AART|1VULN|3ASPD|2CDMG	158ASPD|28DMG|3DUST|45TLV|58BPWR|6RCR|78CDMG|9AART|aVULN
