0	Index      	 *	Score 	Summary	Detail	
1	36216 35332	 * 	213.13	DCR|4VULN|2DMG|1AART|2CDMG	15DMG|24CDMG|347aVULN|4BPWR|6RCR|8ERES|9AART
2	32631 12222	 * 	212.28	ACR|3VULN|3DMG|2ZMB|1CDMG|2DUR	15aDMG|2aDUR|3RCR|489VULN|6CDMG|7aZMB|aBPWR
3	32631 16422	   	212.28	ACR|3VULN|3DMG|2ZMB|1CDMG|2DUR	15aDMG|2aDUR|3RCR|479VULN|6CDMG|8aZMB|aBPWR
4	36216 32322	 * 	208.22	DCR|3VULN|3DMG|3CDMG|1ZMB	15aDMG|24aCDMG|349VULN|4aBPWR|6RCR|7ZMB|8aLHND
5	36216 32612	   	208.22	DCR|3VULN|3DMG|3CDMG|1ZMB	15aDMG|24aCDMG|348VULN|4aBPWR|6RCR|7ZMB|9aLHND
6	36216 32632	   	208.22	DCR|3VULN|3DMG|3CDMG|1ZMB	15aDMG|24aCDMG|348VULN|4aBPWR|6RCR|7ZMB|9aFEWX
7	32631 12235	   	203.13	ACR|3VULN|3DMG|1CDMG|1ZMB|1DUR	15aDMG|2DUR|3RCR|48aVULN|6CDMG|7ZMB|9aLWND|aBPWR
8	32631 12262	 * 	202.94	ACR|3DMG|2VULN|2CDMG|2ZMB|2DUR	15aDMG|2aDUR|3RCR|48VULN|69CDMG|7aZMB|aBPWR
9	32631 12223	   	202.93	ACR|3VULN|3DMG|1CDMG|1ZMB|1DUR	15aDMG|2DUR|3RCR|489VULN|6CDMG|7ZMB
10	32631 12245	   	202.93	ACR|3VULN|3DMG|1CDMG|1ZMB|1DUR	15aDMG|2DUR|3RCR|48aVULN|6CDMG|7ZMB|9aDUST|aBPWR
11	32631 16423	   	202.93	ACR|3VULN|3DMG|1CDMG|1ZMB|1DUR	15aDMG|2DUR|3RCR|479VULN|6CDMG|8ZMB
12	32634 26222	 * 	202.90	ACR|3VULN|2DMG|2CDMG|3DUR|1ZMB	1aDMG|26aDUR|3RCR|489VULN|5ZMB|7aCDMG|aBPWR
13	36216 32335	   	202.18	DCR|3VULN|3DMG|2CDMG|1ZMB	15aDMG|24CDMG|34aVULN|4aBPWR|6RCR|7ZMB|8LHND|9aLWND
14	36216 32323	   	201.98	DCR|3VULN|3DMG|2CDMG|1ZMB	15aDMG|24CDMG|349VULN|4BPWR|6RCR|7ZMB|8LHND
15	36216 32613	   	201.98	DCR|3VULN|3DMG|2CDMG|1ZMB	15aDMG|24CDMG|348VULN|4BPWR|6RCR|7ZMB|9LHND
16	36216 32633	   	201.98	DCR|3VULN|3DMG|2CDMG|1ZMB	15aDMG|24CDMG|348VULN|4BPWR|6RCR|7ZMB|9FEWX
17	36216 33332	   	201.23	DCR|3VULN|2DMG|1AART|2CDMG	15DMG|24CDMG|34aVULN|4BPWR|6RCR|7RCVC|8ERES|9AART
18	36216 33362	 * 	200.63	DCR|3DMG|2VULN|1AART|2CDMG	159DMG|24CDMG|34VULN|4BPWR|6RCR|7RCVC|8ERES|aAART
19	32631 11422	 * 	200.44	ACR|3DMG|2VULN|3DUR|2ZMB|1CDMG	15aDMG|27aDUR|3RCR|49VULN|6CDMG|8aZMB|aBPWR
20	34311 32622	   	200.35	DCR|3VULN|2DMG|2CDMG|1ZMB|2RCVC|1DUR	1aDMG|23RCVC|4aCDMG|5DUR|6RCR|7ZMB|89aVULN|aBPWR
21	36216 35233	   	200.19	DCR|4VULN|2DMG|2CDMG|1ZMB|1SELL	15DMG|24CDMG|3479VULN|4BPWR|6RCR|8SELL|aZMB
22	32631 16325	 * 	199.98	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	15DMG|2DUR|3RCR|47aVULN|6CDMG|8DUST|9AART
23	35253 46332	 * 	199.83	ACR|3VULN|3DMG|3ZMB	178DMG|2MBVNT|3RCR|4RPLT|58aVULN|68aZMB|8aBPWR|9NUKE
24	36216 35333	   	198.93	DCR|3VULN|2DMG|1AART|2CDMG	15DMG|24CDMG|347VULN|4BPWR|6RCR|8ERES|9AART|aDUST
25	32631 12526	 * 	198.78	ACR|3DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	158DMG|2aDUR|3RCR|4VULN|6CDMG|7ZMB|9AART
26	36216 31412	 * 	198.03	DCR|3DMG|2VULN|3CDMG|2ZMB	15aDMG|24aCDMG|34VULN|4aBPWR|6RCR|7BEXP|8aZMB|9RCVC
27	12653 11411	 * 	197.91	ACR|2VULN|1AART|1DMG|2CDMG|3DUR|2ZMB	19ZMB|257DUR|3RCR|49VULN|69CDMG|8AART|9BPWR|aDMG
28	35134 68344	 * 	197.75	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	17DMG|2MBVNT|3DUR|4aVULN|58AART|6RCR|9CDMG
29	32632 61152	   	197.33	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2DUR|3RCR|467VULN|5TLV|8ZMB|9AART
30	32631 21152	 * 	197.33	ACR|3DMG|2VULN|1AART|1ZMB|1DUR	15aDMG|2DUR|3RCR|47VULN|6ERES|8ZMB|9AART
31	32631 61152	   	197.33	ACR|3DMG|2VULN|1AART|1ZMB|1DUR	15aDMG|2DUR|3RCR|47VULN|6TLV|8ZMB|9AART
32	36216 33152	   	197.32	DCR|3DMG|2VULN|3CDMG|2ASPD	15aDMG|24aCDMG|34VULN|4aBPWR|6RCR|7RCVC|8FEWX|9aASPD
33	35234 14344	 * 	196.24	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1DMG|2MBVNT|3RCR|46aVULN|58AART|7DUR|9CDMG
34	35234 16371	 * 	195.99	ACR|4VULN|2DMG|1AART	19DMG|2MBVNT|3RCR|469aVULN|5AART|79FEWX|8DLOT|9BPWR
35	35234 22371	   	195.99	ACR|4VULN|2DMG|1AART	19DMG|2MBVNT|3RCR|479aVULN|5AART|69FEWX|8DLOT|9BPWR
36	35134 62344	 * 	195.82	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1DMG|2MBVNT|3DUR|47aVULN|58AART|6RCR|9CDMG
37	35844 62344	   	195.82	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1DMG|2MBVNT|37aVULN|4DUR|58AART|6RCR|9CDMG
38	35234 14461	   	195.66	ACR|3DMG|2VULN|1AART|1ASPD|1DUR	19aDMG|2MBVNT|3RCR|46VULN|5AART|7DUR|8ASPD
39	35134 63632	 * 	195.61	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	18DMG|2MBVNT|38aDUR|48VULN|5AART|6RCR|7BELT|8BPWR|9CDMG
40	35234 22376	   	195.54	ACR|3VULN|2DMG|1AART|1CDMG	19DMG|2MBVNT|3RCR|479VULN|5AART|69FEWX|8DLOT|9BPWR|aCDMG
41	32631 12325	   	195.42	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	15DMG|2DUR|3RCR|4aVULN|6CDMG|7ZMB|8CGEN|9AART
42	32631 12425	   	195.32	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	15DMG|2DUR|3RCR|4aVULN|6CDMG|7ZMB|8ERES|9AART
43	35134 62461	   	195.24	DCR|3DMG|2VULN|1AART|1ASPD|1DUR	19aDMG|2MBVNT|3DUR|47VULN|5AART|6RCR|8ASPD
44	35134 67141	   	195.10	DCR|2AART|2VULN|2DMG|1ZMB|1DUR	18DMG|2MBVNT|3DUR|48VULN|59AART|6RCR|78CANSTR|8BPWR|aZMB
45	32631 12256	   	194.82	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	15DMG|2DUR|3RCR|48VULN|6CDMG|7ZMB|9CGEN|aAART
46	36216 32412	   	194.17	DCR|3DMG|2VULN|3CDMG|1ZMB	15aDMG|24aCDMG|34VULN|4aBPWR|6RCR|7ZMB|8aBEXP|9RCVC
47	36216 32236	   	193.88	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	15DMG|24CDMG|34VULN|4BPWR|6RCR|7ZMB|8MLV|9BEXP|aAART
48	35253 44328	 * 	193.84	ACR|3VULN|2DMG|1AART|2ZMB	18DMG|2MBVNT|3RCR|4RPLT|578VULN|68ZMB|8BPWR|9BELT|aAART
49	32631 12165	   	193.79	ACR|3DMG|2VULN|2CDMG|1ZMB|1DUR	15aDMG|2DUR|3RCR|4aVULN|69CDMG|7ZMB|8aBEXP|aBPWR
50	35134 17144	   	193.67	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2MBVNT|3DUR|467aVULN|5AART|8RCR|9CDMG
51	35844 17144	   	193.67	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2MBVNT|367aVULN|4DUR|5AART|8RCR|9CDMG
52	35234 14462	   	193.66	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	19DMG|2MBVNT|3RCR|46VULN|5AART|7DUR|8ASPD|aCDMG
53	32631 12263	   	193.59	ACR|3DMG|2VULN|2CDMG|1ZMB|1DUR	15aDMG|2DUR|3RCR|48VULN|69CDMG|7ZMB
54	12653 11412	 * 	193.50	ACR|3VULN|1AART|2CDMG|3DUR|2ZMB	19ZMB|257DUR|3RCR|49aVULN|69CDMG|8AART|9BPWR
55	32625 12522	   	193.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	148DMG|2DUR|3RCR|5CDMG|6LWND|7ZMB|9AART|aVULN
