0	Index      	 *	Score 	Summary	Detail	
1	35221 21253	 * 	198.97	DCR|3VULN|3DMG|1AART|1CDMG	167VULN|2CANSTR|347CGEN|567DMG|67BPWR|8CDMG|9AART|aRCR
2	15114 22223	 * 	198.72	DCR|3VULN|2DMG|1AART|3DUR	1RCVC|2aDMG|3RPLT|45aVULN|6AART|7RCR|89aDUR|aBPWR
3	15334 23631	 * 	198.37	DCR|4VULN|2DMG|1AART	1RCVC|28DMG|3CGEN|459aVULN|6RCR|7AART
4	15234 23631	   	198.27	DCR|4VULN|2DMG|1AART	1RCVC|28DMG|3TLV|459aVULN|6RCR|7AART
5	15114 22533	   	196.77	DCR|4VULN|2DMG|1AART	1RCVC|2aDMG|3RPLT|459aVULN|6AART|7RCR|8aLWND|aBPWR
6	15114 22633	   	196.57	DCR|4VULN|2DMG|1AART	1RCVC|2aDMG|3RPLT|459aVULN|6AART|7RCR|8aDUST|aBPWR
7	15334 23633	 * 	195.72	DCR|3VULN|2DMG|2AART	1RCVC|28DMG|3CGEN|459VULN|6RCR|7aAART
8	15234 23633	   	195.62	DCR|3VULN|2DMG|2AART	1RCVC|28DMG|3TLV|459VULN|6RCR|7aAART
9	15334 23134	 * 	194.44	DCR|4VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3CGEN|4589VULN|6RCR|7AART|aCDMG
10	15234 23134	   	194.34	DCR|4VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3TLV|4589VULN|6RCR|7AART|aCDMG
11	33334 23623	   	194.27	DCR|4VULN|2DMG|1AART	135aVULN|2NUKE|3aBPWR|4aERES|6RCR|7AART|8aDMG|9RPLT
12	33363 23623	   	194.27	DCR|4VULN|2DMG|1AART	134aVULN|2NUKE|3aBPWR|5aERES|6RCR|7AART|8aDMG|9RPLT
13	15334 23131	 * 	193.61	DCR|5VULN|1AART|1DMG	1RCVC|2DMG|3CGEN|4589aVULN|6RCR|7AART
14	15234 23131	   	193.51	DCR|5VULN|1AART|1DMG	1RCVC|2DMG|3TLV|4589aVULN|6RCR|7AART
15	15534 23131	   	193.51	DCR|5VULN|1AART|1DMG	1RCVC|2DMG|3ERES|4589aVULN|6RCR|7AART
16	15334 23133	 * 	192.23	DCR|4VULN|2AART|1DMG	1RCVC|2DMG|3CGEN|4589VULN|6RCR|7aAART
17	15234 23133	   	192.13	DCR|4VULN|2AART|1DMG	1RCVC|2DMG|3TLV|4589VULN|6RCR|7aAART
18	15534 23133	   	192.13	DCR|4VULN|2AART|1DMG	1RCVC|2DMG|3ERES|4589VULN|6RCR|7aAART
19	35532 63232	 * 	190.75	DCR|5VULN|3DMG	13568VULN|2CANSTR|48BEXP|78aDMG|8BPWR|9RCR
20	14312 22523	 * 	189.25	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB|1SELL	1RCVC|2SELL|3aVULN|4aASPD|5RCR|6AART|7ZMB|8DUST|9aDMG|aBPWR
21	35412 53113	 * 	188.10	ACR|4VULN|1AART|1DMG|1ZMB	158aVULN|2CANSTR|3AART|4RCR|6BELT|7DMG|9ZMB
22	15334 23116	   	187.72	DCR|4VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3CGEN|458aVULN|6RCR|7AART|9DUR
