0	Index      	 *	Score 	Summary	Detail	
1	33215 26163	 * 	236.58	DCR|3VULN|2DMG|2ASPD|1AART	149VULN|2RMIN|345BEXP|49BPWR|6AART|79ASPD|89DMG|aRCR
2	41212 51263	 * 	228.65	DCR|4VULN|2DMG|2ASPD	19ASPD|2479VULN|34BEXP|49BPWR|5RMIN|6MLV|89DMG|aRCR
3	41312 51263	   	228.65	DCR|4VULN|2DMG|2ASPD	19ASPD|2479VULN|34FEWX|49BPWR|5RMIN|6MLV|89DMG|aRCR
4	41212 33263	   	228.55	DCR|4VULN|2DMG|2ASPD	19ASPD|2469VULN|34BEXP|49BPWR|5RMIN|7ERES|89DMG|aRCR
5	41312 33263	   	228.55	DCR|4VULN|2DMG|2ASPD	19ASPD|2469VULN|34FEWX|49BPWR|5RMIN|7ERES|89DMG|aRCR
6	41612 33263	   	228.55	DCR|4VULN|2DMG|2ASPD	19ASPD|2469VULN|34LWND|49BPWR|5RMIN|7ERES|89DMG|aRCR
7	41263 33263	   	228.45	DCR|4VULN|2DMG|2ASPD	19ASPD|2569VULN|3BEXP|4RMIN|7ERES|89DMG|9BPWR|aRCR
8	16332 25322	 * 	228.23	DCR|4VULN|2ASPD|1AART|2DUR	1RPLT|2RMIN|3579VULN|4AART|69ASPD|89DUR|9BPWR|aRCR
9	16412 25322	   	228.23	DCR|4VULN|2ASPD|1AART|2DUR	1RPLT|2RMIN|3AART|4579VULN|69ASPD|89DUR|9BPWR|aRCR
10	52425 33333	 * 	222.12	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1AART|2BELT|39DMG|4ASPD|5CGEN|68VULN|7RCR|aMDPS
11	52441 23331	   	222.12	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1AART|2BELT|36DMG|48VULN|5LWND|7RCR|9ASPD|aMDPS
