0	Index      	 *	Score 	Summary	Detail	
1	21425 11136	 * 	240.17	DCR|3VULN|2AART|1ASPD|1DMG|1CDMG|1DUR	123VULN|46AART|5CDMG|7DMG|8ASPD|9RCR|aDUR
2	21425 11131	   	231.86	DCR|3VULN|2AART|1ASPD|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8ASPD|9RCR|aBELT
3	21425 11132	   	231.86	DCR|3VULN|2AART|1ASPD|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8ASPD|9RCR|aRMIN
4	21425 11133	   	231.86	DCR|3VULN|2AART|1ASPD|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8ASPD|9RCR|aFEWX
5	21425 11135	   	231.86	DCR|3VULN|2AART|1ASPD|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8ASPD|9RCR|aRPLT
6	21425 11134	   	231.76	DCR|3VULN|2AART|1ASPD|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8ASPD|9RCR|aDUST
7	21125 11136	   	225.64	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1DUR	12VULN|3RCVC|46AART|5CDMG|7DMG|8ASPD|9RCR|aDUR
8	21423 66123	 * 	225.21	DCR|3VULN|1AART|2CDMG|1ASPD|1DMG	123VULN|4AART|5RMIN|6aCDMG|7ASPD|8RCR|9DMG
9	21425 11336	   	220.10	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	123VULN|46AART|5CDMG|7DMG|8CGEN|9RCR|aDUR
10	21425 11413	 * 	219.22	DCR|3VULN|2AART|2CDMG|1DMG	123VULN|46AART|5aCDMG|7DMG|8BEXP|9RCR
11	21425 11213	   	219.12	DCR|3VULN|2AART|2CDMG|1DMG	123VULN|46AART|5aCDMG|7DMG|8DUST|9RCR
12	21423 66122	   	218.11	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	123VULN|4AART|5RMIN|6CDMG|7ASPD|8RCR|9DMG|aRCVC
13	21423 66112	   	217.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	123VULN|4AART|5RMIN|6CDMG|7ASPD|8RCR|9LWND|aDMG
14	21423 66121	   	217.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	123VULN|4AART|5RMIN|6CDMG|7ASPD|8RCR|9DMG|aCANSTR
15	21125 11131	   	217.34	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	12VULN|3RCVC|46AART|5CDMG|7DMG|8ASPD|9RCR|aBELT
16	21125 11132	   	217.34	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	12VULN|3RCVC|46AART|5CDMG|7DMG|8ASPD|9RCR|aRMIN
17	21125 11133	   	217.34	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	12VULN|3RCVC|46AART|5CDMG|7DMG|8ASPD|9RCR|aFEWX
18	21125 11135	   	217.34	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	12VULN|3RCVC|46AART|5CDMG|7DMG|8ASPD|9RCR|aRPLT
19	21125 11134	   	217.24	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	12VULN|3RCVC|46AART|5CDMG|7DMG|8ASPD|9RCR|aDUST
20	21453 11226	 * 	215.14	DCR|5VULN|2DMG|2DUR	12378VULN|4RMIN|58DMG|68DUR|8BPWR|9LIT|aRCR
21	21463 11226	 * 	215.04	DCR|5VULN|2DMG|1NUKE|2DUR	12378VULN|4NUKE|58DMG|68DUR|8BPWR|9LIT|aRCR
22	54234 22232	   	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3AART|4LIT|5ASPD|6RCR|7DMG|8aVULN|9FEWX
23	23353 36312	 * 	214.00	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR|1SELL	158aVULN|2ZMB|3SELL|4DUR|6DMG|7RCR|9ASPD
24	21113 52626	   	212.50	DCR|4VULN|2DMG|2ZMB|1DUR	1279VULN|3RCVC|4AME|57DMG|67ZMB|7BPWR|8DUR|aRCR
25	21133 52626	   	212.50	DCR|4VULN|2DMG|2ZMB|1DUR	1279VULN|3RCVC|4MLV|57DMG|67ZMB|7BPWR|8DUR|aRCR
26	23353 36313	 * 	212.37	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR|1SELL	158VULN|2ZMB|3SELL|4DUR|6DMG|7RCR|9aASPD
27	21425 11412	   	212.12	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8BEXP|9RCR|aRCVC
28	21425 11212	   	212.02	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8DUST|9RCR|aRCVC
29	21425 11331	   	211.80	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8CGEN|9RCR|aBELT
30	21425 11332	   	211.80	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8CGEN|9RCR|aRMIN
31	21425 11333	   	211.80	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8CGEN|9RCR|aFEWX
32	21425 11335	   	211.80	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8CGEN|9RCR|aRPLT
33	21425 11512	   	211.80	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8LWND|9RCR|aBELT
34	21425 11513	   	211.80	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8LWND|9RCR|aRMIN
35	21425 14131	   	211.80	DCR|3VULN|2AART|1ASPD|1CDMG	123VULN|46AART|5CDMG|7CGEN|8ASPD|9RCR|aBELT
36	21425 14132	   	211.80	DCR|3VULN|2AART|1ASPD|1CDMG	123VULN|46AART|5CDMG|7CGEN|8ASPD|9RCR|aRMIN
37	21425 14133	   	211.80	DCR|3VULN|2AART|1ASPD|1CDMG	123VULN|46AART|5CDMG|7CGEN|8ASPD|9RCR|aFEWX
38	21425 11216	   	211.70	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8DUST|9RCR|aBEXP
39	21425 11334	   	211.70	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8CGEN|9RCR|aDUST
40	21425 11411	   	211.70	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8BEXP|9RCR|aCANSTR
41	21425 11511	   	211.70	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8LWND|9RCR|aCANSTR
42	21425 11211	   	211.60	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8DUST|9RCR|aCANSTR
43	21425 11214	   	211.60	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|46AART|5CDMG|7DMG|8DUST|9RCR|aERES
44	26336 23534	 * 	211.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1VULN|2BEXP|39ASPD|47DMG|5MBVNT|6AART|8RCR|aCDMG
45	21123 66123	   	210.69	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	12VULN|3RCVC|4AART|5RMIN|6aCDMG|7ASPD|8RCR|9DMG
46	21125 66123	   	210.59	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1AAC	12VULN|3RCVC|4AART|5aCDMG|6AAC|7ASPD|8RCR|9DMG
