0	Index      	 *	Score 	Summary	Detail	
1	33231 31214	 * 	220.19	DCR|4VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2367VULN|4LWND|5ASPD|8RCR|9DMG|aCDMG
2	33251 11114	 * 	219.25	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|236VULN|4RCVC|5AART|7ASPD|8RCR|9CDMG|aDUR
3	31134 54322	 * 	218.19	DCR|4VULN|1AART|1CDMG|2ZMB	17ZMB|2AART|3SPLREG|479aVULN|57CGEN|6RCR|7BPWR|8CDMG
4	33241 11114	   	216.36	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|236VULN|4DMSP|5AART|7ASPD|8RCR|9CDMG|aDUR
5	51233 11235	 * 	215.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LIT|2DMG|3CDMG|45aVULN|6AAC|7ASPD|8AART|9RCR
6	33111 31215	   	214.75	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|267VULN|3FEWX|4RCVC|5ASPD|8RCR|9DMG|aAART
7	31134 54333	 * 	213.94	DCR|2VULN|1MDPS|1AART|1NUKE|1CDMG|2ZMB	17ZMB|2AART|3SPLREG|47VULN|57CGEN|6RCR|7BPWR|8CDMG|9NUKE|aMDPS
8	34243 27346	 * 	213.93	DCR|3VULN|2ASPD|1DMG|2ZMB|1DUR	1aZMB|2MBVNT|3BEXP|45aVULN|6DMG|7DUR|8RCR|9aASPD|aBPWR
9	33231 34111	   	213.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|236VULN|4LWND|5ASPD|7RCR|8FEWX|9AART|aDMG
10	33231 34311	   	213.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|236VULN|4LWND|5ASPD|7RCR|8DUST|9AART|aDMG
11	34464 41451	 * 	213.16	DCR|2VULN|2DMG|3ZMB|1ASPD|2DUR	149ZMB|2MBVNT|34DMG|49BPWR|59VULN|6TLV|7ASPD|89DUR|aRCR
12	23524 61112	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|24VULN|3SNIFST|5ASPD|6RCR|7DUR|8AART|9DMG|aCDMG
13	33231 31212	   	212.24	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2367VULN|4LWND|5ASPD|8RCR|9DMG|aDUR
14	33231 32211	   	211.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|236VULN|4LWND|5ASPD|7FEWX|8RCR|9AART|aDMG
15	34481 44271	 * 	211.84	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1ZMB	1ZMB|2MBVNT|3DMG|4MLV|57ASPD|6RCR|8AART|9VULN|aNUKE
16	33251 11111	   	211.25	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|236VULN|4aRCVC|5AART|7ASPD|8RCR|9CDMG
17	33251 11112	   	210.94	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|236VULN|4RCVC|5AART|7ASPD|8RCR|9CDMG|aLHND
18	33251 11113	   	210.94	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|236VULN|4RCVC|5AART|7ASPD|8RCR|9CDMG|aRPLT
19	33251 11115	   	210.94	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|236VULN|4RCVC|5AART|7ASPD|8RCR|9CDMG|aAELBLL
20	31134 54131	 * 	210.48	DCR|3VULN|2AART|2ZMB|1DUR	17ZMB|2aAART|3SPLREG|479VULN|57CGEN|6RCR|7BPWR|8DUR
21	34464 32218	 * 	209.03	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	14ZMB|2MBVNT|34DMG|4BPWR|56VULN|7FEWX|8AART|9RCR|aCDMG
22	34464 32212	 * 	208.85	DCR|2VULN|2AART|2DMG|2ZMB	14ZMB|2MBVNT|34DMG|4BPWR|56VULN|7FEWX|8aAART|9RCR
23	33252 41211	 * 	208.56	DCR|3VULN|2DMG|1ASPD|1ZMB	1ZMB|237VULN|4RCVC|59DMG|6LWND|8RCR|aASPD
24	34464 32211	 * 	208.43	DCR|3DMG|2VULN|1AART|2ZMB	14ZMB|2MBVNT|34aDMG|4BPWR|56VULN|7FEWX|8AART|9RCR
25	33241 11111	   	208.38	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|236VULN|4DMSP|5AART|7ASPD|8RCR|9CDMG|aRCVC
26	33241 11112	   	208.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|236VULN|4DMSP|5AART|7ASPD|8RCR|9CDMG|aLHND
27	33241 11113	   	208.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|236VULN|4DMSP|5AART|7ASPD|8RCR|9CDMG|aRPLT
28	33241 11115	   	208.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|236VULN|4DMSP|5AART|7ASPD|8RCR|9CDMG|aAELBLL
29	31134 54332	   	207.92	DCR|2VULN|1AART|1NUKE|1CDMG|1AAC|2ZMB	17ZMB|2AART|3SPLREG|47VULN|57CGEN|6RCR|7BPWR|8CDMG|9NUKE|aAAC
30	31513 83814	 * 	207.29	DCR|3VULN|2DMG|1AART|1ZMB	1ZMB|2AART|3MBVNT|4LWND|57aVULN|68DMG|9RCR
31	31543 83814	   	207.29	DCR|3VULN|2DMG|1AART|1ZMB	1ZMB|2AART|3MBVNT|4LHND|57aVULN|68DMG|9RCR
32	33111 31214	   	207.22	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|267VULN|3FEWX|4RCVC|5ASPD|8RCR|9DMG|aCDMG
33	34464 35343	 * 	207.21	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|2ZMB	14ZMB|2MBVNT|34DMG|4BPWR|56VULN|7MDPS|8RCR|9ASPD|aCDMG
34	33231 31245	 * 	206.40	DCR|4VULN|2ASPD|1ZMB|1DUR	1ZMB|2367VULN|4LWND|5aASPD|8RCR|9DUR
35	33231 34214	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|236VULN|48LWND|5ASPD|7RCR|9DMG|aCDMG
36	34647 24211	 * 	206.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1ZMB|2MBVNT|3FEWX|46VULN|57ASPD|8AART|9RCR|aDMG
37	23611 34261	 * 	206.05	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1BEXP|269VULN|3ZMB|4RCVC|5ASPD|7RCR|8AART|aMDPS
38	33252 34261	 * 	206.05	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1ZMB|239VULN|4RCVC|5DMG|6BEXP|7RCR|8AART|aMDPS
39	33511 34261	   	206.05	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|269VULN|3BEXP|4RCVC|5ASPD|7RCR|8AART|aMDPS
40	33231 36214	   	205.94	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|236VULN|4LWND|5ASPD|7RCVC|8RCR|9DMG|aCDMG
41	33242 41211	   	205.68	DCR|3VULN|2DMG|1ASPD|1ZMB	1ZMB|237VULN|4DMSP|59DMG|6LWND|8RCR|aASPD
42	34243 26346	   	205.63	DCR|3VULN|2ASPD|1DMG|2ZMB	1aZMB|2MBVNT|3BEXP|45aVULN|6DMG|7FEWX|8RCR|9aASPD|aBPWR
43	34243 28346	   	205.63	DCR|3VULN|2ASPD|1DMG|2ZMB	1aZMB|2MBVNT|3BEXP|45aVULN|6DMG|7LHND|8RCR|9aASPD|aBPWR
44	34464 35341	 * 	205.18	DCR|2VULN|2DMG|1MDPS|2ASPD|2ZMB	14ZMB|2MBVNT|34DMG|4BPWR|56VULN|7MDPS|8RCR|9aASPD
45	31513 83811	   	205.11	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|2AART|3MBVNT|4LWND|57VULN|68aDMG|9RCR
46	31543 83811	   	205.11	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|2AART|3MBVNT|4LHND|57VULN|68aDMG|9RCR
47	34451 34841	 * 	205.02	DCR|3ASPD|2VULN|1DMG|2ZMB|1DUR	18ZMB|2MBVNT|3DMG|4RMIN|578ASPD|68VULN|8BPWR|9DUR|aRCR
48	33231 31221	   	204.69	DCR|4VULN|1ASPD|1DMG|1ZMB	1ZMB|2367VULN|4LWND|5ASPD|8RCR|9RCVC|aDMG
49	31134 54331	   	204.48	DCR|2VULN|1AART|1NUKE|1CDMG|2ZMB|1MSE	17ZMB|2AART|3SPLREG|47VULN|57CGEN|6RCR|7BPWR|8CDMG|9NUKE|aMSE
50	33252 41213	 * 	204.35	DCR|4VULN|2DMG|1ZMB	1ZMB|237aVULN|4RCVC|59DMG|6LWND|8RCR
51	33232 51214	   	204.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|237VULN|4LWND|5DMSP|6ASPD|8RCR|9DMG|aCDMG
52	33252 41215	 * 	204.15	DCR|3VULN|3DMG|1ZMB	1ZMB|237VULN|4RCVC|59aDMG|6LWND|8RCR
53	23143 31541	 * 	204.10	DCR|3VULN|2ASPD|1AART|1DUR	169BEXP|259VULN|3ERES|4DUR|79ASPD|8RCR|9BPWR|aAART
54	33111 31241	   	204.05	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|267VULN|3FEWX|4RCVC|5ASPD|8RCR|9AART|aMDPS
55	33251 11121	   	204.05	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|236VULN|4RCVC|5AART|7ASPD|8RCR|9LWND|aMDPS
56	33251 11161	   	204.05	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|236VULN|4RCVC|5AART|7ASPD|8RCR|9BEXP|aMDPS
57	51232 63612	   	203.97	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|1DUR	1LIT|29DMG|3CDMG|48VULN|5MDPS|6DUR|7RCR|aASPD
58	33251 11131	   	203.95	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|236VULN|4RCVC|5AART|7ASPD|8RCR|9DUST|aMDPS
59	33231 31211	   	203.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1ZMB|2367VULN|4LWND|5ASPD|8RCR|9DMG|aLHND
60	23524 63112	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|24VULN|3SNIFST|5ASPD|6RCR|7DUST|8AART|9DMG|aCDMG
61	33231 31213	   	203.84	DCR|4VULN|1ASPD|1DMG|1ZMB	1ZMB|2367VULN|4LWND|5ASPD|8RCR|9DMG|aDUST
62	33252 62241	 * 	203.81	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	1ZMB|23VULN|4RCVC|56DMG|7FEWX|8RCR|9AART|aMDPS
63	34464 47314	 * 	203.18	DCR|3VULN|2DMG|3ZMB	14aZMB|2MBVNT|34DMG|4aBPWR|58aVULN|69aTLV|7RCR
64	33231 45361	   	203.17	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|239VULN|4LWND|5ASPD|6AART|7RCR|8AELBLL|aMDPS
65	33242 34261	   	203.17	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1ZMB|239VULN|4DMSP|5DMG|6BEXP|7RCR|8AART|aMDPS
66	31134 51532	   	202.74	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2AART|3SPLREG|489VULN|5CGEN|6RCR|7DMSP|aDMG
67	34411 38151	 * 	202.62	DCR|3DMG|2VULN|1ASPD|2ZMB	19ZMB|2MBVNT|389DMG|4ERES|5ASPD|69VULN|7LEGI|9BPWR|aRCR
68	33252 62213	 * 	202.57	DCR|3DMG|2VULN|1CDMG|1ZMB	1ZMB|23VULN|4RCVC|569DMG|7FEWX|8RCR|aCDMG
69	31134 54321	   	202.35	DCR|3VULN|1AART|1CDMG|2ZMB	17ZMB|2AART|3SPLREG|479VULN|57CGEN|6RCR|7BPWR|8CDMG|aLHND
