0	Index      	 *	Score 	Summary	Detail	
1	21311 52223	 * 	216.68	DCR|4VULN|3CDMG|1DMG|1DUR	18aERES|2LIT|389aVULN|4DUR|5DMG|6RCR|78aCDMG|8aBPWR
2	21311 53413	 * 	211.26	DCR|3VULN|2DMG|2CDMG|1DUR	1aERES|2LIT|38aVULN|4DUR|57DMG|6RCR|9aCDMG|aBPWR
3	35348 53434	 * 	211.26	DCR|3VULN|2DMG|1AART|1DUR	1RMIN|28DMG|3MBVNT|489VULN|5AART|6RCR|78DUST|8BPWR|aDUR
4	13421 56223	 * 	210.94	DCR|4VULN|3DMG|1SELL	18aLHND|289aVULN|3CGEN|4LIT|58aDMG|6RCR|7SELL|8aBPWR
5	13122 63325	 * 	209.45	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	18LHND|249VULN|34DUR|4BPWR|5ZMB|6RCR|7AART|aASPD
6	34374 26324	 * 	208.71	DCR|2VULN|2ASPD|3CDMG|1DMG	1RMIN|2RCVC|3MBVNT|47aCDMG|57VULN|67ASPD|7BPWR|8RCR|9DMG
7	21321 52223	   	208.27	DCR|4VULN|3CDMG|1DMG	18aERES|2LIT|389aVULN|4DUST|5DMG|6RCR|78aCDMG|8aBPWR
8	13122 63131	 * 	207.87	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1LHND|24VULN|34DUR|4BPWR|5ZMB|6RCR|7AART|8BEXP|9CDMG|aDMG
9	32374 26325	   	206.23	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	1RMIN|2DMSP|3MBVNT|47CDMG|57VULN|67ASPD|7BPWR|8RCR|9DMG|aDUR
10	36662 33131	 * 	205.66	DCR|3VULN|2DMG|2ASPD|1AAC	1RMIN|2AAC|39ASPD|489VULN|5CGEN|6FEWX|79DMG|9BPWR|aRCR
11	35348 53414	 * 	205.19	DCR|2VULN|2DMG|1AART|1NUKE	1RMIN|28DMG|3MBVNT|48VULN|5AART|6RCR|78DUST|8BPWR|9RPLT|aNUKE
12	13122 63433	 * 	205.14	DCR|4VULN|1AART|2DUR|1ZMB	1LHND|249aVULN|34DUR|4BPWR|5ZMB|6RCR|7AART|8ERES
13	32374 26324	   	204.98	DCR|2VULN|2ASPD|3CDMG|1DMG	1RMIN|2DMSP|3MBVNT|47aCDMG|57VULN|67ASPD|7BPWR|8RCR|9DMG
14	32374 26326	   	204.70	DCR|2VULN|2ASPD|2CDMG|1DMG|1AAC	1RMIN|2DMSP|3MBVNT|47CDMG|57VULN|67ASPD|7BPWR|8RCR|9DMG|aAAC
15	34347 42427	 * 	204.52	DCR|4VULN|2DMG|2ZMB	1RMIN|2RCVC|3MBVNT|49DMG|5689VULN|79ZMB|9BPWR|aRCR
16	21311 52222	   	204.01	DCR|3VULN|2CDMG|1DMG|1ZMB|1DUR	18ERES|2LIT|389VULN|4DUR|5DMG|6RCR|78CDMG|8BPWR|aZMB
17	21311 53463	 * 	203.14	DCR|3VULN|3DMG|1DUR	1ERES|2LIT|389VULN|4DUR|57aDMG|6RCR
18	35348 53431	   	202.96	DCR|3VULN|2DMG|1AART	1aRMIN|28DMG|3MBVNT|489VULN|5AART|6RCR|78DUST|8BPWR
19	35348 53432	   	202.86	DCR|3VULN|2DMG|1AART|1MSE	1RMIN|28DMG|3MBVNT|489VULN|5AART|6RCR|78DUST|8BPWR|aMSE
20	35348 53433	   	202.86	DCR|3VULN|2DMG|1AART	1RMIN|28DMG|3MBVNT|489VULN|5AART|6RCR|78DUST|8BPWR|aERES
21	21321 53413	   	202.86	DCR|3VULN|2DMG|2CDMG	1aERES|2LIT|38aVULN|4DUST|57DMG|6RCR|9aCDMG|aBPWR
22	13322 63231	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|24VULN|34DUST|4BPWR|5ZMB|6RCR|7AART|8DUR|9CDMG|aDMG
23	34374 26321	   	201.66	DCR|2VULN|2ASPD|2CDMG|1DMG	1RMIN|2RCVC|3MBVNT|47CDMG|57VULN|67ASPD|7BPWR|8RCR|9DMG|aBEXP
24	34374 26322	   	201.66	DCR|2VULN|2ASPD|2CDMG|1DMG	1RMIN|2RCVC|3MBVNT|47CDMG|57VULN|67ASPD|7BPWR|8RCR|9DMG|aAME
25	34374 26323	   	201.66	DCR|2VULN|2ASPD|2CDMG|1DMG	1RMIN|2RCVC|3MBVNT|47CDMG|57VULN|67ASPD|7BPWR|8RCR|9DMG|aMLV
26	32374 26318	 * 	201.64	DCR|2VULN|2ASPD|1AART|2CDMG	1RMIN|2DMSP|3MBVNT|47CDMG|57VULN|67ASPD|7BPWR|8RCR|9FEWX|aAART
27	35348 53413	 * 	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|28DMG|3MBVNT|48VULN|5AART|6RCR|78DUST|8BPWR|9RPLT|aCDMG
28	34318 42327	 * 	201.15	DCR|4VULN|2ASPD|2ZMB	1RMIN|2RCVC|3MBVNT|4689VULN|59ASPD|79ZMB|9BPWR|aRCR
