0	Index      	 *	Score 	Summary	Detail	
1	61333 51316	 * 	204.16	橙3伤害2攻速1易伤2基地爆炸1全技能	1全技能2额外掉落369伤害49攻速5易伤7掉矿89基地爆炸9序列升级a核
2	61333 11312	 * 	201.00	橙2攻速2伤害1易伤2基地爆炸2全技能	16全技能2额外掉落39伤害49攻速5易伤7掉矿89基地爆炸9序列升级a核
3	61333 62312	   	201.00	橙2攻速2伤害1易伤2基地爆炸2全技能	17全技能2额外掉落39伤害49攻速5易伤6技能点89基地爆炸9序列升级a核
4	61333 52252	 * 	188.41	橙3易伤3伤害1攻速1全技能	1全技能2额外掉落369伤害4攻速579易伤89金币生成9序列升级a核
5	61333 52352	   	188.21	橙3易伤3伤害1攻速1全技能	1全技能2额外掉落369伤害4攻速579易伤89掉矿9序列升级a核
6	44215 21132	 * 	185.10	橙3易伤3伤害3基地爆炸	1最后敌人289基地爆炸3策反4雷电589伤害6挖尘789易伤89序列升级a核
7	54215 21132	   	185.10	橙3易伤3伤害3基地爆炸	1低血量敌人289基地爆炸3策反4雷电589伤害6挖尘789易伤89序列升级a核
8	24215 61132	   	185.10	橙3易伤3伤害3基地爆炸	1挖尘289基地爆炸3策反4雷电589伤害6低血量敌人789易伤89序列升级a核
9	15441 22123	 * 	183.30	紫2攻速2伤害1全技能1基地爆炸	18技能点28攻速3双倍秒伤4雷电5核6等级78伤害8序列升级9基地爆炸a全技能
10	61233 52312	   	182.06	橙2攻速1易伤2基地爆炸2全技能1伤害	17全技能2额外掉落39掉矿49攻速5易伤6伤害89基地爆炸9序列升级a核
11	14313 12431	 * 	178.21	紫1基础对甲1伤害1基地爆炸1暴击	1技能点2基地爆炸3低血量敌人4雷电5核6敌人爆炸7立即金币8暴击9伤害a基础对甲
12	14313 16431	   	176.61	紫1基础对甲1伤害1基地爆炸1暴击	1技能点2基地爆炸3低血量敌人4雷电5核67敌人爆炸8暴击9伤害a基础对甲
13	14313 63431	   	176.61	紫1基础对甲1伤害1基地爆炸1暴击	1技能点2基地爆炸3低血量敌人46雷电5核7敌人爆炸8暴击9伤害a基础对甲
14	14433 33431	   	176.51	紫1基础对甲1伤害1基地爆炸1暴击	14技能点2基地爆炸3雷电5核6时间7敌人爆炸8暴击9伤害a基础对甲
15	61333 51116	   	175.67	橙3伤害2攻速1易伤1全技能	1全技能2额外掉落369伤害49攻速5易伤7掉矿89最后敌人9序列升级a核
