0	Index      	 *	Score 	Summary	Detail	
1	31211 22646	 * 	220.17	ACR|3DMG|3BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|489ERES|589DMG|789BEXP|89BPWR|aASPD
2	31236 31123	 * 	215.50	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6BEXP|7ASPD|8AART|9MLV|aBASARM
3	31241 61123	   	215.50	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5BEXP|6VULN|7ASPD|8AART|9MLV|aBASARM
4	31236 31113	   	215.40	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6BEXP|7ASPD|8AART|9ERES|aBASARM
5	31236 31143	   	215.40	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6BEXP|7ASPD|8AART|9AME|aBASARM
6	31241 61113	   	215.40	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5BEXP|6VULN|7ASPD|8AART|9ERES|aBASARM
7	31241 61143	   	215.40	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5BEXP|6VULN|7ASPD|8AART|9AME|aBASARM
8	31236 31166	 * 	207.19	ACR|1ASPD|1DMG|1BASICY|1CDMG|1BEXP|1AART|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6BEXP|7ASPD|8AART|9BASICY|aDMG
9	31211 22642	   	207.05	ACR|3DMG|3BEXP|2AAC	1MDPS|26AAC|3RCR|489ERES|589DMG|789BEXP|89BPWR|aVULN
10	31236 31161	 * 	204.71	ACR|2ASPD|1BASICY|1CDMG|1BEXP|1AART|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6BEXP|7aASPD|8AART|9BASICY
11	31241 61161	   	204.71	ACR|2ASPD|1BASICY|1CDMG|1BEXP|1AART|1AAC	1MDPS|2AAC|3RCR|4CDMG|5BEXP|6VULN|7aASPD|8AART|9BASICY
12	31242 42225	 * 	202.91	ACR|3BEXP|2DMG|3CDMG|1AAC	1MDPS|2AAC|3RCR|47aCDMG|57DMG|67aMLV|7aBPWR|89aBEXP
13	31236 31155	   	201.96	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|69BEXP|7ASPD|8AART|aDMG
14	31236 51123	   	201.85	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6FEWX|7ASPD|8AART|9MLV|aBASARM
15	31242 15123	 * 	201.85	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5DMG|6VULN|7FEWX|8AART|9MLV|aBASARM
16	31236 51113	   	201.75	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6FEWX|7ASPD|8AART|9ERES|aBASARM
17	31236 51143	   	201.75	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6FEWX|7ASPD|8AART|9AME|aBASARM
18	31242 15113	   	201.75	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5DMG|6VULN|7FEWX|8AART|9ERES|aBASARM
19	31242 15143	   	201.75	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5DMG|6VULN|7FEWX|8AART|9AME|aBASARM
20	31245 71123	   	201.75	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5MBVNT|6VULN|7ASPD|8AART|9MLV|aBASARM
21	31245 71113	   	201.65	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5MBVNT|6VULN|7ASPD|8AART|9ERES|aBASARM
22	31231 31123	   	201.61	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC|1SELL	1MDPS|2AAC|3RCR|4VULN|5SELL|6BEXP|7ASPD|8AART|9MLV|aBASARM
23	31231 31113	   	201.51	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC|1SELL	1MDPS|2AAC|3RCR|4VULN|5SELL|6BEXP|7ASPD|8AART|9ERES|aBASARM
24	31231 31143	   	201.51	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC|1SELL	1MDPS|2AAC|3RCR|4VULN|5SELL|6BEXP|7ASPD|8AART|9AME|aBASARM
25	31232 15366	 * 	201.23	ACR|1BASARM|2VULN|1DMG|1AART|1AAC	1MDPS|2AAC|3RCR|48VULN|5CGEN|6LIT|7BASARM|9AART|aDMG
26	31211 22641	   	200.11	ACR|3DMG|3BEXP|2AAC	1MDPS|26AAC|3RCR|489ERES|589DMG|789BEXP|89BPWR|aLIT
27	31211 22643	   	200.11	ACR|3DMG|3BEXP|2AAC	1MDPS|26AAC|3RCR|489ERES|589DMG|789BEXP|89BPWR|aFEWX
28	31211 22645	   	200.11	ACR|3DMG|3BEXP|2AAC	1MDPS|26AAC|3RCR|489ERES|589DMG|789BEXP|89BPWR|aLHND
29	31261 22641	   	200.11	ACR|3DMG|3BEXP|2AAC	1MDPS|26AAC|3RCR|489AME|589DMG|789BEXP|89BPWR|aLWND
30	31261 22642	   	200.11	ACR|3DMG|3BEXP|2AAC	1MDPS|26AAC|3RCR|489AME|589DMG|789BEXP|89BPWR|aFEWX
31	31261 22643	   	200.11	ACR|3DMG|3BEXP|2AAC	1MDPS|26AAC|3RCR|489AME|589DMG|789BEXP|89BPWR|aLHND
32	31211 22635	   	200.09	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48ERES|58DMG|78BEXP|8BPWR|9ASPD|aVULN
33	31261 22635	   	200.09	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48AME|58DMG|78BEXP|8BPWR|9ASPD|aVULN
34	31211 22644	   	200.01	ACR|3DMG|3BEXP|2AAC	1MDPS|26AAC|3RCR|489ERES|589DMG|789BEXP|89BPWR|aTLV
35	31211 42642	   	199.20	ACR|3DMG|3BEXP|1AAC	1MDPS|2AAC|3RCR|489ERES|589DMG|6RCVC|789BEXP|89BPWR|aVULN
36	31233 35254	 * 	197.14	ACR|2DMG|3VULN|2BASICY|1AAC	1MDPS|2AAC|3RCR|47aVULN|5NUKE|6DUST|8aDMG|9aBASICY|aBPWR
37	31233 36154	 * 	197.14	ACR|2ASPD|3VULN|2BASICY|1AAC	1MDPS|2AAC|3RCR|48aVULN|5NUKE|6DUST|7aASPD|9aBASICY|aBPWR
38	31211 25241	 * 	195.90	ACR|2ASPD|2DMG|2AAC|1BEXP	1MDPS|26AAC|3RCR|49ERES|59DMG|79ASPD|8RMIN|9BPWR|aBEXP
39	31211 25243	   	195.90	ACR|2ASPD|2DMG|2AAC|1AART	1MDPS|26AAC|3RCR|49ERES|59DMG|79ASPD|8RMIN|9BPWR|aAART
40	31261 25241	   	195.90	ACR|2ASPD|2DMG|2AAC|1BEXP	1MDPS|26AAC|3RCR|49AME|59DMG|79ASPD|8RMIN|9BPWR|aBEXP
41	31261 25243	   	195.90	ACR|2ASPD|2DMG|2AAC|1AART	1MDPS|26AAC|3RCR|49AME|59DMG|79ASPD|8RMIN|9BPWR|aAART
42	31211 25433	 * 	195.32	ACR|1BASARM|1ASPD|1DMG|2AAC	1MDPS|26AAC|3RCR|4ERES|5DMG|7ASPD|8SNITOX|9CGEN|aBASARM
43	31261 25433	   	195.32	ACR|1BASARM|1ASPD|1DMG|2AAC	1MDPS|26AAC|3RCR|4AME|5DMG|7ASPD|8SNITOX|9CGEN|aBASARM
44	31211 25443	   	195.22	ACR|1BASARM|1ASPD|1DMG|2AAC	1MDPS|26AAC|3RCR|4ERES|5DMG|7ASPD|8SNITOX|9AME|aBASARM
45	31241 11155	   	195.02	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|59BEXP|6DUR|7ASPD|8AART|aDMG
46	31241 31155	   	194.92	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|59BEXP|6DUST|7ASPD|8AART|aDMG
47	31232 15363	   	194.81	ACR|1BASARM|2VULN|1AART|1BEXP|1AAC	1MDPS|2AAC|3RCR|48VULN|5CGEN|6LIT|7BASARM|9AART|aBEXP
48	31251 25143	   	194.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CGEN|5DMG|6FEWX|7FLTARM|8BEXP|9CDMG|aBASARM
49	31211 35143	   	194.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1MDPS|2AAC|3RCR|4ERES|5DMG|6FLTFST|7LHND|8BEXP|9CDMG|aBASARM
50	31211 55143	   	194.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1MDPS|2AAC|3RCR|4ERES|5DMG|6FEWX|7FLTARM|8BEXP|9CDMG|aBASARM
51	31261 35143	   	194.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1MDPS|2AAC|3RCR|4AME|5DMG|6FLTFST|7LHND|8BEXP|9CDMG|aBASARM
52	31236 31151	 * 	194.35	ACR|2BEXP|2AART|1ASPD|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|69BEXP|7ASPD|8aAART
53	31241 61151	   	194.35	ACR|2BEXP|2AART|1ASPD|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|59BEXP|6VULN|7ASPD|8aAART
54	31231 31166	   	193.29	ACR|1ASPD|1DMG|1BASICY|1BEXP|1AART|1AAC|1SELL	1MDPS|2AAC|3RCR|4VULN|5SELL|6BEXP|7ASPD|8AART|9BASICY|aDMG
55	31211 22631	   	193.15	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48ERES|58DMG|78BEXP|8BPWR|9ASPD|aFEWX
56	31211 22632	   	193.15	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48ERES|58DMG|78BEXP|8BPWR|9ASPD|aMLV
57	31211 22633	   	193.15	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48ERES|58DMG|78BEXP|8BPWR|9ASPD|aRPLT
