0	Index      	 *	Score 	Summary	Detail	
1	22662 12353	 * 	242.89	ACR|1BASARM|2AART|1VULN|1ASPD|1BASICY|1CDMG	1ASPD|27AART|3BASICY|4CDMG|5RCR|6AEFBLL|8DUR|9VULN|aBASARM
2	22662 21474	 * 	238.07	ACR|1BASARM|2VULN|1AART|1ASPD|1BASICY|1CDMG	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7FEWX|8aVULN|9BASARM
3	22662 24474	   	237.97	ACR|1BASARM|2VULN|1AART|1ASPD|1BASICY|1CDMG	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7DUST|8aVULN|9BASARM
4	22662 22427	 * 	229.73	ACR|3VULN|2ASPD|1AART|2CDMG|1BASICY	19ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|7BELT|89aVULN|9BPWR
5	12662 22253	 * 	229.24	ACR|1BASARM|2AART|1VULN|2CDMG|1BASICY	1ZMB|27AART|3BASICY|46CDMG|5RCR|8LHND|9VULN|aBASARM
6	12662 22353	   	229.24	ACR|1BASARM|2AART|1VULN|1BASICY|2CDMG	1ZMB|27AART|3BASICY|46CDMG|5RCR|8DUR|9VULN|aBASARM
7	22662 52132	 * 	228.61	ACR|3AART|1VULN|1ASPD|1BASICY|2CDMG|1AAC	1ASPD|267AART|3BASICY|48CDMG|5RCR|9VULN|aAAC
8	22662 35312	 * 	227.40	ACR|2ASPD|2DMG|2BASICY|1AART|2CDMG	1aASPD|2AART|3aBASICY|47CDMG|5RCR|6ZMB|8aDMG|9MDPS|aBPWR
9	22662 52131	 * 	227.35	ACR|3AART|1VULN|3CDMG|1ASPD|1BASICY	1ASPD|267AART|3BASICY|48aCDMG|5RCR|9VULN
10	22662 21472	   	224.44	ACR|1BASARM|1VULN|1AART|1ASPD|1BASICY|1CDMG	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7FEWX|8VULN|9BASARM|aLHND
11	22662 21473	   	224.44	ACR|1BASARM|1VULN|1AART|1ASPD|1BASICY|1CDMG	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7FEWX|8VULN|9BASARM|aCGEN
12	22662 21471	   	224.34	ACR|1BASARM|1VULN|1AART|1ASPD|1BASICY|1CDMG	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7FEWX|8VULN|9BASARM|aERES
13	22662 24472	   	224.34	ACR|1BASARM|1VULN|1AART|1ASPD|1BASICY|1CDMG	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7DUST|8VULN|9BASARM|aLHND
14	22662 24473	   	224.34	ACR|1BASARM|1VULN|1AART|1ASPD|1BASICY|1CDMG	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7DUST|8VULN|9BASARM|aCGEN
15	22662 24471	   	224.24	ACR|1BASARM|1VULN|1AART|1ASPD|1BASICY|1CDMG	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7DUST|8VULN|9BASARM|aERES
16	63613 21323	 * 	224.02	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2LHND|3LWND|4RCR|5CDMG|6DLOT|7DMG|8VULN|9BEXP|aBASARM
17	22662 52332	   	223.21	ACR|3AART|1VULN|1ASPD|1BASICY|1CDMG|1AAC	1ASPD|267AART|3BASICY|4CDMG|5RCR|8RCVC|9VULN|aAAC
18	22662 52331	   	222.21	ACR|3AART|1VULN|1ASPD|1BASICY|2CDMG	1ASPD|267AART|3BASICY|4aCDMG|5RCR|8RCVC|9VULN
19	12662 12253	   	221.83	ACR|1BASARM|2AART|1VULN|1BASICY|1CDMG	1ZMB|27AART|3BASICY|4CDMG|5RCR|6AEFBLL|8LHND|9VULN|aBASARM
20	12662 12353	   	221.83	ACR|1BASARM|2AART|1VULN|1BASICY|1CDMG	1ZMB|27AART|3BASICY|4CDMG|5RCR|6AEFBLL|8DUR|9VULN|aBASARM
21	22662 27313	   	221.02	ACR|1BASARM|2AART|1ASPD|1BASICY|1CDMG	1ASPD|28AART|3BASICY|4CDMG|5RCR|6MBVNT|7MLV|9AME|aBASARM
22	22134 25136	 * 	220.42	ACR|3ASPD|2VULN|2AART|1AAC	169ASPD|28AART|3RPLT|49VULN|5RCR|7AAC|9BPWR|aRCVC
23	22134 15336	 * 	220.38	ACR|4VULN|3ASPD|1AART|1AAC	189ASPD|2AART|3RPLT|4689VULN|5RCR|7AAC|89BPWR|aRCVC
24	22134 25131	   	219.11	ACR|3ASPD|2VULN|2AART|1AAC	169ASPD|28AART|3RPLT|49VULN|5RCR|7AAC|9BPWR|aFEWX
25	22134 25132	   	219.11	ACR|3ASPD|2VULN|2AART|1AAC	169ASPD|28AART|3RPLT|49VULN|5RCR|7AAC|9BPWR|aMLV
26	22134 25134	   	219.11	ACR|3ASPD|2VULN|2AART|1AAC	169ASPD|28AART|3RPLT|49VULN|5RCR|7AAC|9BPWR|aBELT
27	43613 34213	   	219.10	ACR|2VULN|1BASARM|1AART|1BASICY|1BEXP	1DUR|2AART|3FEWX|4RCR|56VULN|7BASICY|8LHND|9BEXP|aBASARM
28	22134 15331	   	219.07	ACR|4VULN|3ASPD|1AART|1AAC	189ASPD|2AART|3RPLT|4689VULN|5RCR|7AAC|89BPWR|aFEWX
29	22134 15332	   	219.07	ACR|4VULN|3ASPD|1AART|1AAC	189ASPD|2AART|3RPLT|4689VULN|5RCR|7AAC|89BPWR|aMLV
30	22134 15334	   	219.07	ACR|4VULN|3ASPD|1AART|1AAC	189ASPD|2AART|3RPLT|4689VULN|5RCR|7AAC|89BPWR|aBELT
31	22134 25133	   	219.01	ACR|3ASPD|2VULN|2AART|1AAC	169ASPD|28AART|3RPLT|49VULN|5RCR|7AAC|9BPWR|aAME
32	22134 25135	   	219.01	ACR|3ASPD|2VULN|2AART|1AAC	169ASPD|28AART|3RPLT|49VULN|5RCR|7AAC|9BPWR|aMBVNT
33	43613 34113	   	219.00	ACR|2VULN|1BASARM|1AART|1BASICY|1BEXP	1DUR|2AART|3FEWX|4RCR|56VULN|7BASICY|8DUST|9BEXP|aBASARM
34	22134 15333	   	218.97	ACR|4VULN|3ASPD|1AART|1AAC	189ASPD|2AART|3RPLT|4689VULN|5RCR|7AAC|89BPWR|aAME
35	22134 15335	   	218.97	ACR|4VULN|3ASPD|1AART|1AAC	189ASPD|2AART|3RPLT|4689VULN|5RCR|7AAC|89BPWR|aMBVNT
36	22134 25351	   	218.11	ACR|3ASPD|2VULN|2AART|1AAC	168ASPD|29AART|3RPLT|48VULN|5RCR|7AAC|8BPWR|aFEWX
37	22134 25352	   	218.11	ACR|3ASPD|2VULN|2AART|1AAC	168ASPD|29AART|3RPLT|48VULN|5RCR|7AAC|8BPWR|aMLV
38	22134 25353	   	218.01	ACR|3ASPD|2VULN|2AART|1AAC	168ASPD|29AART|3RPLT|48VULN|5RCR|7AAC|8BPWR|aAME
39	22662 22421	   	217.73	ACR|2VULN|2ASPD|1AART|1BASICY|2CDMG	19ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|7BELT|89VULN|9BPWR|aCGEN
40	22662 22422	   	217.73	ACR|2VULN|2ASPD|1AART|2CDMG|1BASICY	19ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|7aBELT|89VULN|9BPWR
41	22662 22426	   	217.73	ACR|2VULN|2ASPD|1AART|2CDMG|1BASICY	19ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|7BELT|89VULN|9BPWR|aLWND
42	22662 22428	   	217.73	ACR|2VULN|2ASPD|1AART|1BASICY|2CDMG	19ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|7BELT|89VULN|9BPWR|aZMB
43	22662 22423	   	217.63	ACR|2VULN|2ASPD|1AART|1BASICY|2CDMG	19ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|7BELT|89VULN|9BPWR|aAEMAG
44	22662 22424	   	217.63	ACR|2VULN|2ASPD|1AART|1BASICY|2CDMG	19ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|7BELT|89VULN|9BPWR|aDUST
