0	Index      	 *	Score 	Summary	Detail	
1	51223 52734	 * 	237.56	ACR|3ASPD|3DMG|3BEXP	19aDMG|27DMSP|3RCR|4LHND|5MBVNT|69aASPD|89aBEXP|9aBPWR
2	51253 33532	 * 	217.37	ACR|1BASARM|2AART|1DMG|1CDMG|1AAC	1DMG|2DMSP|3RCR|4CDMG|57AART|6LWND|8BASARM|9MBVNT|aAAC
3	21315 11423	 * 	216.68	ACR|3ASPD|3BEXP|1AART|1VULN	189MLV|2AART|3FLTARM|489ASPD|5RCR|6BELT|789BEXP|89BPWR|aVULN
4	51211 43351	 * 	215.72	ACR|1BASARM|2DMG|1VULN|2CDMG	18DMG|2DMSP|3RCR|4ERES|58CDMG|6MDPS|78LIT|8BPWR|9VULN|aBASARM
5	51211 52433	 * 	214.07	ACR|2ASPD|2DMG|1VULN|3CDMG	1aDMG|2DMSP|3RCR|46ERES|56aCDMG|6aBPWR|7VULN|8MLV|9aASPD
6	51211 52133	   	213.97	ACR|2ASPD|2DMG|1VULN|3CDMG	1aDMG|2DMSP|3RCR|46ERES|56aCDMG|6aBPWR|7VULN|8TLV|9aASPD
7	51211 52333	   	213.97	ACR|2ASPD|2DMG|1VULN|3CDMG	1aDMG|2DMSP|3RCR|46ERES|56aCDMG|6aBPWR|7VULN|8AME|9aASPD
8	43513 31222	 * 	211.95	ACR|3DMG|3VULN|2BEXP|1SELL	19aFLTFST|2SELL|3RCR|49aDMG|56BEXP|7LWND|89aVULN|9aBPWR
9	43513 35222	 * 	211.95	ACR|3DMG|3VULN|2BEXP|1SELL	19aFLTFST|2SELL|3RCR|49aDMG|56BEXP|7FEWX|89aVULN|9aBPWR
10	51213 52213	 * 	211.95	ACR|3DMG|3VULN|2BEXP|1SELL	16aDMG|2DMSP|3RCR|46ERES|5SELL|6aBPWR|78aVULN|9aBEXP
11	51223 52834	 * 	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DMG|27DMSP|3RCR|4LHND|5MBVNT|68ASPD|9BASARM|aBEXP
12	21315 11426	   	210.56	ACR|3ASPD|3BEXP|1AART|1CDMG	189MLV|2AART|3FLTARM|489ASPD|5RCR|6BELT|789BEXP|89BPWR|aCDMG
13	51211 52213	 * 	209.40	ACR|2VULN|2DMG|2BEXP|2CDMG	1aDMG|2DMSP|3RCR|46aERES|56CDMG|6aBPWR|78VULN|9aBEXP
14	51253 33521	   	209.16	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6LWND|8BASARM|9LHND|aDUR
15	51253 33522	   	209.16	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6LWND|8BASARM|9LHND|aZMB
16	51253 33523	   	209.16	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6aLWND|8BASARM|9LHND
17	51253 33513	   	209.06	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6LWND|8BASARM|9AME|aLHND
18	51253 33531	   	209.06	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6LWND|8BASARM|9MBVNT|aDUR
19	51253 33533	   	209.06	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6aLWND|8BASARM|9MBVNT
20	51253 33511	   	208.96	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6LWND|8BASARM|9AME|aTLV
21	51253 33512	   	208.96	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6LWND|8BASARM|9AME|aDUST
22	51253 33534	   	208.96	ACR|1BASARM|2AART|1DMG|1CDMG	1DMG|2DMSP|3RCR|4CDMG|57AART|6LWND|8BASARM|9MBVNT|aDUST
