0	Index      	 *	Score 	Summary	Detail	
1	61154 13322	 * 	218.92	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2AME|3CDMG|4RPLT|5RCR|6BEXP|7SNITOX|8VULN|9ASPD|aBASARM
2	24411 14323	 * 	213.23	ACR|1BASARM|3BEXP|1VULN|1ASPD|1AAC	12aBEXP|34RMIN|5RCR|6BASARM|7AAC|8VULN|9ASPD
3	24411 16322	 * 	212.25	ACR|1BASARM|2ASPD|2BEXP|1VULN	12BEXP|34RMIN|5RCR|6BASARM|79ASPD|8VULN|aMLV
4	24411 16323	   	212.15	ACR|1BASARM|2ASPD|2BEXP|1VULN	12BEXP|34RMIN|5RCR|6BASARM|79ASPD|8VULN|aERES
5	24411 16321	   	212.00	ACR|1BASARM|2ASPD|2BEXP|1VULN|1SELL	12BEXP|34RMIN|5RCR|6BASARM|79ASPD|8VULN|aSELL
6	24411 16333	   	204.93	ACR|1BASARM|3BEXP|1VULN|1ASPD	12aBEXP|34RMIN|5RCR|6BASARM|7ASPD|8VULN|9MLV
7	11255 53333	 * 	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2BEXP|3FEWX|4RCR|5LWND|6DUR|7ASPD|8VULN|9DMG|aBASARM
8	11355 23333	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2BEXP|3LWND|4RCR|5LHND|6FEWX|7ASPD|8VULN|9DMG|aBASARM
9	11355 53333	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2BEXP|3LWND|4RCR|5LHND|6DUR|7ASPD|8VULN|9DMG|aBASARM
10	11555 23333	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2BEXP|3LHND|4RCR|5LWND|6FEWX|7ASPD|8VULN|9DMG|aBASARM
11	13355 53333	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2FEWX|3BEXP|4RCR|5LWND|6DUR|7ASPD|8VULN|9DMG|aBASARM
12	33255 63333	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LWND|2FEWX|3BEXP|4RCR|5LHND|6DUST|7ASPD|8VULN|9DMG|aBASARM
13	35253 24232	 * 	203.12	ACR|3BEXP|2DMG|1ASPD|1AART	19LWND|2LHND|379BEXP|4RCR|5AART|6MDPS|89DMG|9BPWR|aASPD
14	24411 14322	   	201.97	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AAC	12BEXP|34RMIN|5RCR|6BASARM|7AAC|8VULN|9ASPD|aDUR
15	24411 14321	   	201.87	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AAC	12BEXP|34RMIN|5RCR|6BASARM|7AAC|8VULN|9ASPD|aMBVNT
16	61165 31312	 * 	201.14	ACR|2BEXP|1AART|1VULN|1ASPD|2CDMG|1AAC	1AART|2AME|36CDMG|46BEXP|5RCR|6BPWR|7FEWX|8AAC|9VULN|aASPD
17	26252 22353	 * 	198.66	ACR|1BASARM|2BEXP|1VULN|1DMG	19BEXP|2DUR|3FEWX|4RCR|5DMG|6ZMB|7RMIN|8VULN|aBASARM
18	33252 32243	   	198.66	ACR|1BASARM|2BEXP|1VULN|1DMG	16LWND|2FEWX|39BEXP|4RCR|5DMG|7VULN|8LIT|aBASARM
19	33252 62243	   	198.66	ACR|1BASARM|2BEXP|1VULN|1DMG	1LWND|26FEWX|39BEXP|4RCR|5DMG|7VULN|8LIT|aBASARM
20	34252 32243	   	198.66	ACR|1BASARM|2BEXP|1VULN|1DMG	16LWND|29BEXP|3FEWX|4RCR|5DMG|7VULN|8LIT|aBASARM
21	43252 22353	   	198.66	ACR|1BASARM|2BEXP|1VULN|1DMG	1DUR|2FEWX|39BEXP|4RCR|5DMG|6ZMB|7RMIN|8VULN|aBASARM
22	33252 44321	   	198.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1LWND|2FEWX|3BEXP|4RCR|5DMG|6RPLT|7VULN|8CDMG|9TLV|aBASARM
23	11352 44321	   	198.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1DUST|2BEXP|3LWND|4RCR|5DMG|6RPLT|7VULN|8CDMG|9TLV|aBASARM
24	24331 61141	 * 	197.48	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	12BEXP|3DMSP|4ERES|5RCR|6ASPD|7CDMG|8VULN|9DMG|aAART
25	24411 14123	   	197.47	ACR|1BASARM|3BEXP|1ASPD|1AAC	12aBEXP|34RMIN|5RCR|6BASARM|7AAC|8LHND|9ASPD
26	24411 16122	   	195.48	ACR|1BASARM|2ASPD|2BEXP	12BEXP|34RMIN|5RCR|6BASARM|79ASPD|8LHND|aMLV
27	24411 16123	   	195.38	ACR|1BASARM|2ASPD|2BEXP	12BEXP|34RMIN|5RCR|6BASARM|79ASPD|8LHND|aERES
28	24411 16121	   	195.24	ACR|1BASARM|2ASPD|2BEXP|1SELL	12BEXP|34RMIN|5RCR|6BASARM|79ASPD|8LHND|aSELL
29	26252 62333	 * 	194.35	ACR|1BASARM|2VULN|1DMG|1BEXP	1BEXP|2DUR|36FEWX|4RCR|5DMG|78VULN|9DUST|aBASARM
30	43252 62333	   	194.35	ACR|1BASARM|2VULN|1DMG|1BEXP	1DUR|26FEWX|3BEXP|4RCR|5DMG|78VULN|9DUST|aBASARM
31	33252 52522	   	194.26	ACR|2DMG|2BEXP|1ASPD|1CDMG|1AAC	18LWND|2FEWX|38BEXP|4RCR|58DMG|6RMIN|7AAC|8BPWR|9ASPD|aCDMG
32	13352 52522	   	194.06	ACR|2DMG|2BEXP|1ASPD|1CDMG|1AAC	18DUST|2FEWX|38BEXP|4RCR|58DMG|6RMIN|7AAC|8BPWR|9ASPD|aCDMG
33	63334 12262	 * 	193.86	DCR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1AART|2LIT|3MDPS|49ASPD|5VULN|6DUST|7CDMG|8BASARM|aRCR
34	33252 34124	 * 	193.85	ACR|1BASARM|2DMG|1BEXP|1AAC	16LWND|2FEWX|3BEXP|4RCR|5aDMG|7AAC|8DUST|9BASARM
35	24411 16113	   	193.66	ACR|1BASARM|2BEXP|1ASPD|1VULN	12BEXP|349RMIN|5RCR|6BASARM|7ASPD|8LHND|aVULN
36	24411 16332	   	193.66	ACR|1BASARM|2BEXP|1VULN|1ASPD	12BEXP|34RMIN|5RCR|6BASARM|7ASPD|8VULN|9MLV|aDUR
37	24411 16311	   	193.56	ACR|1BASARM|2BEXP|1VULN|1ASPD	12BEXP|349RMIN|5RCR|6BASARM|7ASPD|8VULN|aMDPS
38	24411 16312	   	193.56	ACR|1BASARM|2BEXP|1VULN|1ASPD	12BEXP|349RMIN|5RCR|6BASARM|7ASPD|8VULN|aMSLTOX
39	24411 16313	   	193.56	ACR|1BASARM|2BEXP|1VULN|1ASPD	12BEXP|349RMIN|5RCR|6BASARM|7ASPD|8VULN|aAEFBLL
40	24411 16331	   	193.56	ACR|1BASARM|2BEXP|1VULN|1ASPD	12BEXP|34RMIN|5RCR|6BASARM|7ASPD|8VULN|9MLV|aMBVNT
41	24411 12321	 * 	193.44	ACR|1BASARM|2BEXP|1DMG|1AART	12BEXP|34RMIN|5RCR|6BASARM|7DUST|8BELT|9AART|aDMG
42	24411 15223	   	193.44	ACR|1BASARM|2BEXP|1DMG|1AART	12BEXP|34RMIN|5RCR|6BASARM|7ERES|8CGEN|9AART|aDMG
43	24411 12263	   	193.34	ACR|1BASARM|2BEXP|1DMG|1AART	12BEXP|34RMIN|5RCR|6BASARM|78DUST|9AART|aDMG
44	24411 15323	   	193.32	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	12BEXP|34RMIN|5RCR|6BASARM|7ERES|8VULN|9SELL|aASPD
45	26352 42222	   	192.13	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	1BEXP|2DUR|3LWND|4RCR|5DMG|6RPLT|7FEWX|8AAC|9BASARM|aVULN
46	36252 42222	   	192.13	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	1LWND|2DUR|3BEXP|4RCR|5DMG|6RPLT|7FEWX|8AAC|9BASARM|aVULN
47	43352 42222	   	192.13	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	1DUR|2FEWX|3LWND|4RCR|5DMG|6RPLT|7BEXP|8AAC|9BASARM|aVULN
48	24331 61143	 * 	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	12aBEXP|3DMSP|4ERES|5RCR|6ASPD|7CDMG|8VULN|9DMG
49	26252 12311	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1BEXP|2DUR|3FEWX|4RCR|5DMG|6ERES|7AAC|8VULN|9LHND|aBASARM
50	26352 12311	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1BEXP|2DUR|3LWND|4RCR|5DMG|6ERES|7AAC|8VULN|9LHND|aBASARM
51	26352 12341	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1BEXP|2DUR|3LWND|4RCR|5DMG|6ERES|7AAC|8VULN|9FEWX|aBASARM
52	36252 12311	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LWND|2DUR|3BEXP|4RCR|5DMG|6ERES|7AAC|8VULN|9LHND|aBASARM
53	36252 12341	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LWND|2DUR|3BEXP|4RCR|5DMG|6ERES|7AAC|8VULN|9FEWX|aBASARM
54	43252 12311	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUR|2FEWX|3BEXP|4RCR|5DMG|6ERES|7AAC|8VULN|9LHND|aBASARM
55	44252 12311	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUR|2BEXP|3FEWX|4RCR|5DMG|6ERES|7AAC|8VULN|9LHND|aBASARM
56	44352 12311	   	192.03	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUR|2BEXP|3LWND|4RCR|5DMG|6ERES|7AAC|8VULN|9LHND|aBASARM
57	11352 34523	   	192.03	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	1DUST|2BEXP|36LWND|4RCR|5DMG|7AAC|8FEWX|9BASARM|aVULN
58	26352 34123	   	192.03	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	1BEXP|2DUR|36LWND|4RCR|5DMG|7AAC|8DUST|9BASARM|aVULN
59	33252 34123	   	192.03	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	16LWND|2FEWX|3BEXP|4RCR|5DMG|7AAC|8DUST|9BASARM|aVULN
60	33252 64123	   	192.03	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	1LWND|26FEWX|3BEXP|4RCR|5DMG|7AAC|8DUST|9BASARM|aVULN
61	34252 34123	   	192.03	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	16LWND|2BEXP|3FEWX|4RCR|5DMG|7AAC|8DUST|9BASARM|aVULN
62	35252 34123	   	192.03	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	16LWND|2LHND|3BEXP|4RCR|5DMG|7AAC|8DUST|9BASARM|aVULN
63	36252 34123	   	192.03	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC	16LWND|2DUR|3BEXP|4RCR|5DMG|7AAC|8DUST|9BASARM|aVULN
64	11252 34361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUST|2BEXP|3FEWX|4RCR|5DMG|6LWND|7ERES|8VULN|9AAC|aBASARM
65	13352 34361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUST|2FEWX|3BEXP|4RCR|5DMG|6LWND|7ERES|8VULN|9AAC|aBASARM
66	16252 12351	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUST|2DUR|3FEWX|4RCR|5DMG|6ERES|7AAC|8VULN|9BEXP|aBASARM
67	16652 12311	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUST|2DUR|3BEXP|4RCR|5DMG|6ERES|7AAC|8VULN|9LHND|aBASARM
68	23552 13361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1BEXP|2FEWX|3LHND|4RCR|5DMG|6ERES|7DUST|8VULN|9AAC|aBASARM
69	26252 12361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1BEXP|2DUR|3FEWX|4RCR|5DMG|6ERES|7AAC|8VULN|9DUST|aBASARM
70	26252 13361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1BEXP|2DUR|3FEWX|4RCR|5DMG|6ERES|7DUST|8VULN|9AAC|aBASARM
71	26352 13361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1BEXP|2DUR|3LWND|4RCR|5DMG|6ERES|7DUST|8VULN|9AAC|aBASARM
72	33252 13361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LWND|2FEWX|3BEXP|4RCR|5DMG|6ERES|7DUST|8VULN|9AAC|aBASARM
73	34252 13361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LWND|2BEXP|3FEWX|4RCR|5DMG|6ERES|7DUST|8VULN|9AAC|aBASARM
74	35252 13361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LWND|2LHND|3BEXP|4RCR|5DMG|6ERES|7DUST|8VULN|9AAC|aBASARM
75	36252 13361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LWND|2DUR|3BEXP|4RCR|5DMG|6ERES|7DUST|8VULN|9AAC|aBASARM
76	43252 12361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUR|2FEWX|3BEXP|4RCR|5DMG|6ERES|7AAC|8VULN|9DUST|aBASARM
77	43252 13361	   	191.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1DUR|2FEWX|3BEXP|4RCR|5DMG|6ERES|7DUST|8VULN|9AAC|aBASARM
78	35253 23234	   	191.85	ACR|2DMG|2BEXP|1ASPD|1AART	19LWND|27LHND|39BEXP|4RCR|5AART|6MDPS|89DMG|9BPWR|aASPD
79	61165 31313	 * 	191.34	ACR|3BEXP|1AART|1VULN|2CDMG|1AAC	1AART|2AME|36CDMG|46aBEXP|5RCR|6BPWR|7FEWX|8AAC|9VULN
80	15356 23333	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUST|2LHND|3LWND|4RCR|5DUR|6FEWX|7ASPD|8VULN|9DMG|aBASARM
81	16355 23333	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUST|2DUR|3LWND|4RCR|5LHND|6FEWX|7ASPD|8VULN|9DMG|aBASARM
82	33252 34126	   	191.10	ACR|1BASARM|2BEXP|1DMG|1AAC	16LWND|2FEWX|3aBEXP|4RCR|5DMG|7AAC|8DUST|9BASARM
83	62131 31461	 * 	190.86	DCR|3ASPD|2BEXP|1VULN|1AART|1CDMG	1AART|269ASPD|3CDMG|4DUR|56BEXP|6BPWR|7FEWX|8VULN|aRCR
84	34553 12331	 * 	190.56	ACR|2ASPD|2BEXP|1VULN|1AART	1LWND|2aBEXP|3LHND|4RCR|5AART|6MULARM|7aMLV|8VULN|9aASPD|aBPWR
85	35253 23233	 * 	190.56	ACR|2DMG|2BEXP|1AART|1VULN	19LWND|27LHND|39BEXP|4RCR|5AART|6MDPS|89DMG|9BPWR|aVULN
86	24331 61126	 * 	189.62	ACR|3BEXP|2ASPD|1VULN|1CDMG	12aBEXP|3DMSP|4ERES|5RCR|69ASPD|7CDMG|8VULN
87	63636 22332	   	189.46	ACR|2DMG|2BEXP|1VULN|1AART	1AART|2LIT|3aAEMAG|4CGEN|5RCR|6LWND|7aDMG|8VULN|9aBEXP|aBPWR
88	63636 32332	   	189.46	ACR|2DMG|2BEXP|1VULN|1AART	1AART|2LIT|3aAEMAG|4CGEN|5RCR|6FEWX|7aDMG|8VULN|9aBEXP|aBPWR
89	24411 16133	   	189.16	ACR|1BASARM|3BEXP|1ASPD	12aBEXP|34RMIN|5RCR|6BASARM|7ASPD|8LHND|9MLV
90	24411 16233	   	189.16	ACR|1BASARM|3BEXP|1ASPD	12aBEXP|34RMIN|5RCR|6BASARM|7ASPD|8CGEN|9LHND
91	24411 12212	   	188.96	ACR|1BASARM|3BEXP|1ASPD	129BEXP|34RMIN|5RCR|6BASARM|78DUST|aASPD
