0	Index      	 *	Score 	Summary	Detail	
1	11642 11136	 * 	236.07	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART|1CDMG	1CDMG|2DMG|37VULN|4CGEN|5RCR|6AART|8ASPD|9ERES|aBASARM
2	11642 12336	 * 	227.27	ACR|1BASARM|2DMG|1VULN|1AART|1CDMG|1AAC	1CDMG|28DMG|3VULN|4CGEN|5RCR|6AART|7AAC|9ERES|aBASARM
3	11642 12236	   	222.41	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG|1AAC	1CDMG|2DMG|39VULN|4CGEN|5RCR|6AART|7AAC|8MLV|aBASARM
4	62146 21123	   	216.90	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG|1AAC	1AME|2AAC|37VULN|4RCR|5CDMG|6RMIN|8AART|9BASARM|aBEXP
5	51632 61213	 * 	216.20	ACR|1BASARM|1VULN|1BASICY|1ASPD|1DMG	124LHND|3RCR|5VULN|6DMG|7AEFBLL|8BASARM|9BASICY|aASPD
6	51632 62213	   	216.20	ACR|1BASARM|1VULN|1BASICY|1ASPD|1DMG	124LHND|3RCR|5VULN|6DMG|7AEMAG|8BASARM|9BASICY|aASPD
7	52632 62213	   	216.10	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY	14LHND|2AEFBLL|3RCR|5VULN|6DMG|7AEMAG|8BASARM|9BASICY|aASPD
8	11342 11661	 * 	215.83	ACR|2VULN|2DMG|1ASPD|2CDMG|1AART	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9ASPD|aDUR
9	11342 11662	   	215.73	ACR|2VULN|2DMG|1ASPD|2CDMG|1AART	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9ASPD|aAME
10	11342 11663	   	215.73	ACR|2VULN|2DMG|1ASPD|2CDMG|1AART	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9ASPD|aDUST
11	11342 11632	 * 	215.08	ACR|4VULN|2DMG|2CDMG|1AART	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|789aVULN|8BPWR
