0	Index      	 *	Score 	Summary	Detail	
1	33453 64381	 * 	177.79	ACR|1BASARM|2BEXP|1DMG	148TLV|2MBVNT|34ZMB|48BPWR|5RCR|68DUR|78BEXP|9BASARM|aDMG
2	15631 32422	 * 	177.75	ACR|2ASPD|1DMG|1CDMG|1AART|1VULN	1SNIHEL|2VULN|3BELT|4RCR|5DMG|6CDMG|7AART|8LHND|9aASPD
3	11326 12363	 * 	177.59	ACR|1BASARM|2BEXP|2CDMG	1SNIHEL|2aCDMG|3DUR|4BELT|5RCR|68BEXP|7DLOT|9BASARM
4	16334 26231	 * 	175.83	DCR|2BASARM|2BEXP|2VULN|1CDMG	128SNIHEL|39VULN|48BASARM|5TLV|6CDMG|78BEXP|8BPWR|aRCR
5	16335 36231	   	175.83	DCR|2BASARM|2BEXP|2VULN|1CDMG	128SNIHEL|39VULN|48BASARM|5CDMG|6AME|78BEXP|8BPWR|aRCR
6	15632 31336	 * 	174.80	ACR|1BASARM|1ASPD|1BEXP|1VULN	1SNIHEL|2VULN|3BELT|4RCR|5RCVC|6MLV|7ERES|8BASARM|9ASPD|aBEXP
7	15635 31322	 * 	174.17	ACR|1BASARM|2VULN|1DMG	1SNIHEL|25VULN|3BELT|4RCR|6MLV|7ERES|8BASARM|9DUR|aDMG
8	15635 31331	 * 	174.17	ACR|1BASARM|2VULN|1ASPD	1SNIHEL|25VULN|3BELT|4RCR|6MLV|7ERES|8BASARM|9ASPD|aCGEN
9	15635 31332	   	174.17	ACR|1BASARM|2VULN|1ASPD	1SNIHEL|25VULN|3BELT|4RCR|6MLV|7ERES|8BASARM|9ASPD|aLHND
10	15635 31312	   	174.07	ACR|1BASARM|2VULN|1DMG	1SNIHEL|25VULN|3BELT|4RCR|6MLV|7ERES|8BASARM|9DUST|aDMG
11	15635 31333	   	174.07	ACR|1BASARM|2VULN|1ASPD	1SNIHEL|25VULN|3BELT|4RCR|6MLV|7ERES|8BASARM|9ASPD|aAME
12	11326 52622	   	172.75	ACR|2ASPD|1DMG|1CDMG|1AART|1VULN	1SNIHEL|2CDMG|3DUR|4BELT|5RCR|6AART|7DMG|8VULN|9aASPD
