0	Index      	 *	Score 	Summary	Detail	
1	36335 32251	 * 	241.91	紫3易伤2攻速2伤害1基础对冰1全技能	129易伤29序列升级39伤害4基础对冰5核6技能点7立即金币89攻速a全技能
2	33261 43326	 * 	224.34	紫1基础对甲2攻速1易伤2全技能1基地爆炸	1易伤24全技能3雷电5核6a攻速7基地爆炸8基础对甲9金币生成
3	33261 43336	   	224.24	紫1基础对甲2攻速1易伤2全技能1基地爆炸	1易伤24全技能3雷电5核6a攻速7基地爆炸8基础对甲9掉矿
4	36335 32252	   	221.93	紫3易伤2攻速2伤害1基础对冰	129易伤29序列升级39伤害4基础对冰5核6技能点7立即金币89攻速a挖尘
5	36335 32253	   	221.93	紫3易伤2攻速2伤害1基础对冰	129易伤29序列升级39伤害4基础对冰5核6a技能点7立即金币89攻速
6	33261 43324	   	220.41	紫1基础对甲1易伤2全技能1攻速1基地爆炸1暴击	1易伤24全技能3雷电5核6攻速7基地爆炸8基础对甲9金币生成a暴击
7	33261 43334	   	220.31	紫1基础对甲1易伤2全技能1攻速1暴击1基地爆炸	1易伤24全技能3雷电5核6攻速7基地爆炸8基础对甲9掉矿a暴击
8	36335 42223	   	220.23	紫3易伤2攻速2伤害1基础对冰	12a易伤2序列升级36伤害4基础对冰5核7双倍物品89攻速
9	51324 31252	 * 	220.09	紫2基础对甲2伤害2暴击1基地爆炸	1a伤害2基地爆炸3双倍秒伤4核5a暴击6技能7金币生成8掉矿9a基础对甲a序列升级
10	51324 31352	   	220.09	紫2基础对甲2伤害2暴击1基地爆炸	1a伤害2基地爆炸3双倍秒伤4核5a暴击6技能7金币生成8技能点9a基础对甲a序列升级
11	36335 22411	 * 	219.32	紫3易伤3伤害2基础对冰1基地爆炸	128易伤28序列升级389伤害48基础对冰5核6立即金币7双倍物品a基地爆炸
12	51321 11164	 * 	217.82	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1伤害2基地爆炸3双倍秒伤4核5技能6攻速7雷电8全技能9易伤a基础对甲
13	25211 14212	 * 	216.50	紫1基础对甲1易伤2基地爆炸1伤害1全技能	19金币生成29毒液对黄3核4易伤5全技能6额外掉落7伤害89基地爆炸9序列升级a基础对甲
14	51322 13245	 * 	216.41	紫1基础对甲2基地爆炸1攻速1伤害1全技能	1伤害29基地爆炸3双倍秒伤4核5掉矿6攻速7全技能8金币生成a基础对甲
15	45211 14212	   	216.30	紫1基础对甲1易伤2基地爆炸1伤害1全技能	19等级29毒液对黄3核4易伤5全技能6额外掉落7伤害89基地爆炸9序列升级a基础对甲
16	65211 14212	   	216.30	紫1基础对甲1易伤2基地爆炸1伤害1全技能	19掉矿29毒液对黄3核4易伤5全技能6额外掉落7伤害89基地爆炸9序列升级a基础对甲
17	36335 36222	 * 	216.18	紫3易伤2全技能1攻速1伤害1基础对冰	128易伤2序列升级3伤害4基础对冰5核6技能点7a全技能9攻速
18	36335 42212	   	213.68	紫2易伤2伤害1攻速1基础对冰1全技能1技能	12易伤2序列升级36伤害4基础对冰5核7双倍物品8攻速9技能a全技能
19	36335 53211	 * 	212.43	紫3易伤2基地爆炸2基础对冰1伤害1全技能	12a易伤2a序列升级3伤害4a基础对冰5核6a基地爆炸7双倍秒伤8技能9全技能
