0	Index      	 *	Score 	Summary	Detail	
1	53211 35131	 * 	246.66	紫2易伤3伤害2攻速1全技能1技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78a伤害8序列升级9技能
2	53211 35111	   	238.36	紫2易伤3伤害2攻速1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78a伤害8序列升级9随机矿
3	53211 35124	   	238.36	紫2易伤3伤害2攻速1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78a伤害8序列升级9低血量敌人
4	53211 35161	   	238.26	紫2易伤3伤害2攻速1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78a伤害8序列升级9技能点
5	53211 35152	   	236.35	紫2易伤2攻速2伤害1全技能1暴击	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9暴击a策反
6	53211 35153	   	236.35	紫2易伤2攻速2伤害1全技能1暴击	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9暴击a时间
7	53211 35143	   	234.12	紫2易伤2攻速2伤害1基地爆炸1全技能	19双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级a基地爆炸
8	53211 35163	   	234.02	紫2易伤2攻速2伤害1全技能1基地爆炸	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9技能点a基地爆炸
9	53111 11623	 * 	229.11	紫3易伤2攻速2伤害1基地爆炸	1双倍矿2核3a攻速4最后敌人5a伤害6基地爆炸7敌人爆炸89a易伤a序列升级
10	53211 35114	   	228.77	紫2易伤2攻速2伤害1全技能1技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9随机矿a技能
11	53211 35133	   	228.77	紫2易伤2攻速2伤害1全技能1技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9技能a敌人爆炸
12	53211 35135	   	228.77	紫2易伤2攻速2伤害1全技能1技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9技能a随机矿
13	53211 35134	   	228.67	紫2易伤2攻速2伤害1全技能1技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9技能a双倍秒伤
14	53252 21437	 * 	224.47	紫3攻速3伤害1全技能1技能	1双倍矿2核3全技能48a喷火对黄58a攻速6加一78a伤害8a序列升级9技能
15	53211 35113	   	220.47	紫2易伤2攻速2伤害1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9随机矿a敌人爆炸
16	53211 35115	   	220.47	紫2易伤2攻速2伤害1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9a随机矿
17	53211 35116	   	220.47	紫2易伤2攻速2伤害1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9随机矿a策反
18	53211 35121	   	220.47	紫2易伤2攻速2伤害1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9低血量敌人a平台
19	53211 35125	   	220.47	紫2易伤2攻速2伤害1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9低血量敌人a随机矿
20	53211 35123	   	220.37	紫2易伤2攻速2伤害1全技能	1双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级9低血量敌人a加一
21	53211 35141	   	220.37	紫2易伤2攻速2伤害1全技能	19双倍矿2核3全技能4额外掉落58易伤68攻速78伤害8序列升级a等级
22	53211 23533	 * 	219.95	紫3易伤2攻速2基地爆炸1全技能	1双倍矿2核3全技能4额外掉落56a易伤7敌人爆炸8a攻速9a基地爆炸a序列升级
23	53211 21633	   	219.85	紫3易伤2攻速2基地爆炸1全技能	1双倍矿2核3全技能4额外掉落56a易伤7加一8a攻速9a基地爆炸a序列升级
24	53252 21472	 * 	217.31	紫2攻速2伤害2全技能1易伤	1双倍矿2核39全技能48喷火对黄58攻速6加一78伤害8序列升级a易伤
