0	Index      	 *	Score 	Summary	Detail	Bounty	
1	31111 16433	 * 	319.40	橙5易伤3伤害3时间	189伤害2攻速3589a易伤4随机矿6核789时间89序列升级	4
2	31116 16433	   	317.31	橙4易伤3伤害3时间2攻速	189伤害25攻速3589易伤4随机矿589序列升级6核789时间a雷电	5
3	31116 16432	   	309.00	橙4易伤3伤害3时间2攻速	189伤害25攻速3589易伤4随机矿589序列升级6核789时间a金币生成	5
4	31121 25433	   	308.90	橙4易伤3伤害3时间2攻速	189伤害25攻速389a易伤489时间6核7随机矿89序列升级	7
5	31116 16431	   	308.90	橙4易伤3伤害3时间2攻速	189伤害25攻速3589易伤4随机矿589序列升级6核789时间a挖尘	5
6	53211 16433	 * 	301.43	橙5易伤3时间3攻速1伤害	1随机矿2389a易伤4伤害589攻速6核789时间89序列升级	4
7	53212 16433	   	301.43	橙5易伤3时间3攻速1伤害	1随机矿2389a易伤4伤害589攻速6核789时间89序列升级	5
8	31111 16432	   	301.06	橙4易伤3伤害3时间	189伤害2攻速3589易伤4随机矿6核789时间89序列升级a金币生成	4
9	31111 16434	   	301.06	橙4易伤3伤害3时间	189伤害2攻速3589易伤4随机矿6核789时间89序列升级a基地爆炸	4
10	31111 16436	   	301.06	橙4易伤3伤害3时间	189伤害2攻速3589易伤4随机矿6核789时间89序列升级a矿等	4
11	33321 16433	   	301.06	橙4易伤3伤害3时间	189伤害2立即金币389a易伤4策反5攻速6核789时间89序列升级	4
12	33322 16433	   	301.06	橙4易伤3伤害3时间	189伤害2立即金币389a易伤4策反5攻速6核789时间89序列升级	5
13	31111 16433	   	301.06	橙4易伤3伤害3时间	189伤害2攻速389a易伤45随机矿6核789时间89序列升级	5
14	31115 16433	   	301.06	橙4易伤3伤害3时间	189伤害2攻速389a易伤4随机矿5立即金币6核789时间89序列升级	4
15	31111 16431	   	300.96	橙4易伤3伤害3时间	189伤害2攻速3589易伤4随机矿6核789时间89序列升级a掉矿	4
16	34217 24137	 * 	296.30	橙5易伤2等级2伤害	18伤害2最后敌人3789a易伤4加一58等级6核8序列升级	7
17	34217 24137	   	296.30	橙5易伤2等级2伤害	18伤害2最后敌人3789a易伤4加一58等级6核8序列升级	6
18	34217 24136	   	294.20	橙4易伤2等级2伤害1时间	18伤害2最后敌人3789易伤4加一58等级6核8序列升级a时间	7
19	34217 24136	   	294.20	橙4易伤2等级2伤害1时间	18伤害2最后敌人3789易伤4加一58等级6核8序列升级a时间	6
20	43316 23331	 * 	293.46	橙4易伤3伤害3等级1卖塔	189等级2立即金币369a易伤469伤害5卖塔69序列升级7核	10
21	26221 16433	 * 	293.45	橙5易伤3时间3暴击	1平台289暴击34589易伤6核789时间89序列升级a全技能	3
22	33112 16433	   	292.75	橙4易伤3伤害3时间	189伤害2立即金币3策反4随机矿589a易伤6核789时间89序列升级	3
23	31116 14631	 * 	292.38	橙4易伤2伤害1等级3攻速	18伤害258攻速3589易伤4随机矿58序列升级6核7全技能a等级	5
