0	Index      	 *	Score 	Summary	Detail	
1	15541 12132	 * 	244.74	橙1散射对甲3伤害2易伤1全技能1策反	1a多重对甲2散射对甲3全技能49a伤害5策反6核7毒液对黄8a易伤a序列升级
2	22144 31125	 * 	229.15	橙2易伤2伤害2攻速1全技能1技能1时间	1a挖尘2a伤害3技能4时间56易伤7核8a攻速9全技能a序列升级
3	15324 15313	 * 	227.75	橙2散射对甲1双倍秒伤1易伤2暴击1技能1时间	17多重对甲27散射对甲3时间4最后敌人57暴击6技能7序列升级8易伤9核a双倍秒伤
4	15324 51313	   	226.57	橙1散射对甲1双倍秒伤1易伤1攻速1暴击1时间	1多重对甲2散射对甲3时间4最后敌人5暴击6攻速7立即金币8易伤9核a双倍秒伤
5	21213 31255	 * 	222.72	橙3易伤2伤害1全技能1攻速1技能	1a挖尘26a易伤3技能4最后敌人5攻速7核8a伤害9全技能a序列升级
6	15134 41332	 * 	222.28	橙1散射对甲1双倍秒伤1易伤1全技能	1多重对甲2散射对甲3挖青4额外掉落5全技能6核7立即金币8易伤9散射对绿a双倍秒伤
7	24382 21434	   	220.25	橙1散射对甲1双倍秒伤1易伤1全技能1时间	1挖尘2全技能3加一4平台5散射对甲6时间7易伤8金币生成9核a双倍秒伤
8	15541 11111	 * 	219.34	橙1散射对甲1双倍秒伤1全技能1伤害1策反1挖怪	1多重对甲2散射对甲3全技能4伤害5策反6核7挖怪8掉矿9双倍秒伤a敌人爆炸
9	15541 11112	 * 	219.34	橙1散射对甲1双倍秒伤1全技能1伤害1策反1挖怪	1多重对甲2散射对甲3全技能4伤害5策反6核7挖怪8掉矿9双倍秒伤a雷电
10	15541 11113	 * 	219.34	橙1散射对甲1双倍秒伤1全技能1伤害1策反1挖怪	1多重对甲2散射对甲3全技能4伤害5策反6核7挖怪8掉矿9双倍秒伤a立即金币
11	15541 11231	 * 	219.34	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1策反1挖怪	1多重对甲2散射对甲3全技能4伤害5策反6核7挖怪8易伤9双倍秒伤a掉矿
12	15541 11232	 * 	219.34	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1策反1挖怪	1多重对甲2散射对甲3全技能4伤害5策反6核7挖怪8易伤9双倍秒伤a最后敌人
13	15541 11233	 * 	219.34	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1策反1挖怪	1多重对甲2散射对甲3全技能4伤害5策反6核7挖怪8易伤9双倍秒伤a金币生成
14	15541 13111	 * 	219.34	橙1散射对甲1双倍秒伤1全技能1伤害1策反	1多重对甲2散射对甲3全技能4伤害5策反6核7基地爆炸8掉矿9双倍秒伤a敌人爆炸
15	15541 13112	   	219.34	橙1散射对甲1双倍秒伤1全技能1伤害1策反	1多重对甲2散射对甲3全技能4伤害5策反6核7基地爆炸8掉矿9双倍秒伤a雷电
16	15541 13113	   	219.34	橙1散射对甲1双倍秒伤1全技能1伤害1策反	1多重对甲2散射对甲3全技能4伤害5策反6核7基地爆炸8掉矿9双倍秒伤a立即金币
17	22353 23324	   	219.21	橙2易伤2伤害1全技能1攻速1暴击	1挖尘29伤害3金币生成47易伤5全技能6核8暴击a攻速
18	22164 31125	   	218.14	橙2易伤2伤害2攻速1全技能1技能	1a挖尘2a伤害3技能4基地爆炸56易伤7核8a攻速9全技能a序列升级
19	21253 31255	   	218.04	橙2易伤2伤害2攻速1全技能1技能	1a挖尘26易伤3技能4挖青5a攻速7核8a伤害9全技能a序列升级
20	23533 21255	   	217.21	橙2易伤2伤害1全技能1攻速2策反	1a挖尘2最后敌人3a易伤46策反5攻速7核8a伤害9全技能a序列升级
21	15135 62122	   	216.28	橙1散射对甲1双倍秒伤1易伤1全技能	1多重对甲2散射对甲3挖青4额外掉落5最后敌人6散射对绿7易伤8全技能9核a双倍秒伤
22	15136 62122	   	216.28	橙1散射对甲1双倍秒伤1易伤1全技能	1多重对甲2散射对甲3挖青4额外掉落5低血量敌人6散射对绿7易伤8全技能9核a双倍秒伤
23	22144 31126	   	216.04	橙3易伤1全技能1伤害1攻速1技能1时间	1挖尘2伤害3技能4时间56a易伤7核8攻速9全技能
24	15124 51313	   	215.46	橙1散射对甲1双倍秒伤1易伤1攻速1暴击	1多重对甲2散射对甲3挖青4最后敌人5暴击6攻速7立即金币8易伤9核a双倍秒伤
