0	Index      	 *	Score 	Summary	Detail	
1	35215 53211	 * 	317.86	橙5易伤3伤害2等级	16789易伤29等级379敌人爆炸467伤害5立即金币679序列升级a核
2	35221 33226	 * 	311.19	橙4易伤2矿等1等级1伤害	159a易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级
3	35221 35226	   	307.38	橙4易伤2矿等1等级1攻速	159a易伤2等级39敌人爆炸4时间6核7攻速89矿等9序列升级
4	51233 41242	 * 	299.74	橙橙2易伤1等级1攻速	1等级2爆破对壮3立即金币4随机矿5随机技能68核79易伤a攻速
5	31633 43242	 * 	299.42	橙橙3易伤1攻速	149易伤2立即金币3多重对愈5随机技能68核7时间a攻速
6	31633 43251	   	298.35	橙橙2易伤1等级2时间	14易伤2立即金币3多重对愈5随机技能68核7a时间9等级
7	35122 12255	 * 	298.23	橙橙1易伤1等级1矿等	1易伤2等级3基地爆炸4时间5随机技能6a核7矿等8全技能9敌人爆炸
8	35222 12225	   	298.23	橙橙1易伤1等级1矿等	1易伤2等级3敌人爆炸4时间5随机技能6a核7矿等8全技能9基地爆炸
9	32636 13236	 * 	295.76	橙橙2易伤2伤害2随机技能	15易伤23伤害4最后敌人6a随机技能79核8赏金塔
10	32616 43232	 * 	293.17	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6金币生成79核8赏金塔a雷电
11	32616 43233	   	293.17	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6金币生成79核8赏金塔a策反
12	32616 53232	   	293.17	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6随机矿79核8赏金塔a雷电
13	32616 53233	   	293.17	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6随机矿79核8赏金塔a策反
14	32616 43231	   	293.07	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6金币生成79核8赏金塔a基地爆炸
15	32616 53231	   	293.07	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6随机矿79核8赏金塔a基地爆炸
16	53632 23135	 * 	291.99	橙3易伤2矿等2等级	17等级2随机技能3赏金邻近4双倍秒伤57矿等67a易伤7序列升级8时间9核
17	31633 42251	   	291.80	橙橙2易伤1等级	14易伤2立即金币3多重对愈5随机技能68核7敌人爆炸9等级a时间
18	31633 43212	   	291.80	橙橙2易伤1等级	14易伤2立即金币3多重对愈5随机技能68核7时间9技能点a等级
19	31633 43252	   	291.80	橙橙2易伤1等级	14易伤2立即金币3多重对愈5随机技能68核7时间9等级a技能点
20	31633 43253	   	291.70	橙橙2易伤1等级	14易伤2立即金币3多重对愈5随机技能68核7时间9等级a基地爆炸
21	31633 42242	   	291.11	橙橙3易伤1攻速	149易伤2立即金币3多重对愈5随机技能68核7敌人爆炸a攻速
22	35221 33221	   	291.04	橙3易伤2矿等1等级1伤害	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a低血量敌人
23	35221 33224	   	291.04	橙3易伤2矿等1等级1伤害	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a赏金塔
24	35221 33225	   	291.04	橙3易伤2矿等1等级1伤害	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a双倍矿
25	35221 33222	   	290.94	橙3易伤2矿等1等级1伤害1挖怪	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a挖怪
26	35221 33223	   	290.94	橙3易伤2矿等1等级1伤害	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a双倍秒伤
27	51243 41211	   	289.93	橙橙1易伤1等级1矿等	1等级2爆破对壮3立即金币4技能点5随机技能68核7易伤9矿等a时间
28	32636 13232	   	289.15	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a雷电
29	32636 13233	   	289.15	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a策反
30	32666 13232	   	289.15	橙橙2易伤2伤害	15易伤23伤害4低血量敌人6随机技能79核8赏金塔a雷电
31	32666 13233	   	289.15	橙橙2易伤2伤害	15易伤23伤害4低血量敌人6随机技能79核8赏金塔a策反
32	32636 13231	   	289.05	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a基地爆炸
33	32636 13234	   	289.05	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a火球减费
34	32636 13235	   	289.05	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a掉矿
35	32666 13231	   	289.05	橙橙2易伤2伤害	15易伤23伤害4低血量敌人6随机技能79核8赏金塔a基地爆炸
36	53313 43236	   	288.50	橙橙1易伤1等级3随机技能1伤害	1等级23a随机技能4技能点5赏金邻近6伤害79核8易伤
