0	Index      	 *	Score 	Summary	Detail	
1	21213 33251	 * 	309.80	橙橙2易伤1等级1矿等	1等级29易伤3随机技能4矿等5雷电6低血量敌人7a核8赏金邻近
2	11522 11454	 * 	300.24	橙3易伤2矿等1等级2攻速	127易伤37攻速4加一57矿等6双倍秒伤7序列升级8等级9随机技能a核
3	22232 23564	 * 	300.05	橙2易伤3等级2矿等2伤害	135等级2赏金塔3a序列升级4赏金邻近6核7a易伤8a伤害9a矿等
4	22632 53413	 * 	293.21	橙3易伤3矿等1等级	1等级2赏金塔368矿等49a易伤5时间7核
5	21213 13241	   	290.03	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8赏金邻近9双倍矿
6	21213 13251	   	290.03	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8赏金邻近9立即金币
7	21213 13361	   	290.03	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8立即金币9赏金塔
8	21213 13121	   	289.93	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8双倍秒伤9最后敌人
9	21213 13131	   	289.93	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8双倍秒伤9低血量敌人
10	21213 13141	   	289.83	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8双倍秒伤9基地爆炸
11	22631 53413	   	284.90	橙3易伤3矿等1等级	1等级2赏金塔368矿等49a易伤5敌人爆炸7核
12	11161 44311	 * 	284.54	橙橙3易伤	12a易伤3立即金币4全技能5时间6敌人爆炸79核8导弹对绿
13	21243 33251	   	283.59	橙橙2易伤1等级	1等级29易伤3随机技能4金币生成5雷电6低血量敌人7a核8赏金邻近
14	21422 31538	   	282.99	橙橙1易伤1等级1矿等	1等级2易伤3立即金币4加一5矿等6时间7额外掉落8a核9赏金邻近
15	21622 31538	   	282.89	橙橙1易伤1等级1矿等	1等级2易伤3暴雪减费4加一5矿等6时间7额外掉落8a核9赏金邻近
16	31152 11653	 * 	282.53	橙3易伤2矿等2技能1伤害	17敌人爆炸247易伤3a技能57矿等6双倍秒伤7序列升级8核9伤害
17	21213 33361	   	281.72	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6低血量敌人7a核8立即金币9赏金塔
18	21213 43241	   	281.72	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8赏金邻近9双倍矿
19	21213 43361	   	281.72	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8立即金币9赏金塔
20	21213 53241	   	281.62	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8赏金邻近9双倍矿
21	21213 53361	   	281.62	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8立即金币9赏金塔
22	21213 33121	   	281.62	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6低血量敌人7a核8双倍秒伤9最后敌人
23	21213 43121	   	281.62	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8双倍秒伤9最后敌人
24	21213 43131	   	281.62	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8双倍秒伤9低血量敌人
25	21213 33131	   	281.52	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6低血量敌人7a核8双倍秒伤9挖青
26	21213 33141	   	281.52	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6低血量敌人7a核8双倍秒伤9基地爆炸
27	21213 43141	   	281.52	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8双倍秒伤9基地爆炸
28	21213 53121	   	281.52	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8双倍秒伤9最后敌人
29	21213 53131	   	281.52	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8双倍秒伤9低血量敌人
30	21213 53221	   	281.52	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电69挖尘7a核8赏金邻近
31	21213 53141	   	281.42	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8双倍秒伤9基地爆炸
32	11521 15338	   	281.38	橙3易伤2矿等2攻速1伤害	12a易伤3a攻速4加一5赏金塔6核7伤害8金币生成9a矿等a序列升级
