0	Index      	 *	Score 	Summary	Detail	
1	13125 51325	 * 	247.85	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1AART|1CDMG	1RCR|2AME|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aVULN
2	13232 62533	 * 	245.89	ACR|3ASPD|1BASARM|2BEXP|1VULN	1RCR|238AME|4BASARM|5MBVNT|68aASPD|78BEXP|8BPWR|9VULN
3	13125 51326	 * 	245.16	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG|1AART	1RCR|2AME|3aBEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
4	11313 54343	 * 	244.06	ACR|4VULN|3DMG|3CDMG	1RCR|256ERES|389aVULN|489CDMG|789DMG|89BPWR
5	13234 52433	 * 	243.62	ACR|2BASARM|2ASPD|2BEXP|1VULN	1RCR|238AME|48BASARM|5DUR|6aASPD|78BEXP|8BPWR|9VULN
6	11125 51323	 * 	241.57	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2ERES|3BEXP|4aAART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
7	13125 51323	   	241.57	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2AME|3BEXP|4aAART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
8	11121 32658	 * 	241.55	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	1RCR|29ERES|36BEXP|4AART|569VULN|69BPWR|7MBVNT|89DMG|aCDMG
9	13232 62536	 * 	241.39	ACR|1BASARM|2ASPD|2VULN|2BEXP	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9aVULN
10	13116 61213	 * 	238.96	ACR|1BASARM|3BEXP|1VULN|2CDMG|1AART	1RCR|2AME|356BEXP|46CDMG|6BPWR|7DUR|8AART|9VULN|aBASARM
11	13116 64213	   	238.96	ACR|1BASARM|3BEXP|1VULN|2CDMG|1AART	1RCR|2AME|356BEXP|46CDMG|6BPWR|7LWND|8AART|9VULN|aBASARM
12	13232 62534	   	237.24	ACR|1BASARM|2ASPD|2BEXP|1VULN|1AAC	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9VULN|aAAC
