0	Index      	 *	Score 	Summary	Detail	
1	12215 51263	 * 	218.46	ACR|3ASPD|3VULN|1BASICY|1AART|1BEXP	129VULN|39DUST|4RCR|5BEXP|6BASICY|7AART|89aASPD|9BPWR
2	12215 51261	 * 	217.65	ACR|2ASPD|3VULN|2BEXP|1BASICY|1AART	129VULN|39DUST|4RCR|5aBEXP|6BASICY|7AART|89ASPD|9BPWR
3	12213 61561	 * 	213.16	ACR|2ASPD|2DMG|3VULN|2CDMG	128VULN|3DUST|4RCR|58CDMG|68ASPD|7RPLT|8BPWR|9aDMG
4	12413 53136	 * 	210.85	ACR|1BASARM|4VULN|1BASICY|1BEXP	1258VULN|3LHND|4RCR|6BASICY|7AME|9BEXP|aBASARM
5	33281 51511	 * 	208.93	ACR|1BASARM|2DMG|2BEXP|1CDMG	1MDPS|27DMG|3MBVNT|47TLV|5RCR|67BEXP|7BPWR|8CDMG|9LIT|aBASARM
6	12215 62421	 * 	204.00	ACR|2ASPD|3VULN|2BEXP|1DMG	12aVULN|3DUST|4RCR|5aBEXP|6ERES|7DMG|8BELT|9aASPD|aBPWR
7	33211 58444	 * 	203.51	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4RMIN|5RCR|6BEXP|7CDMG|8BASARM|9VULN|aASPD
8	33271 58444	   	203.51	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4ZMB|5RCR|6BEXP|7CDMG|8BASARM|9VULN|aASPD
9	12211 51261	   	202.81	ACR|2ASPD|3VULN|1BASICY|1AART|1BEXP	129VULN|39DUST|4RCR|5FEWX|6BASICY|7AART|89ASPD|9BPWR|aBEXP
10	12214 51261	   	202.81	ACR|2ASPD|3VULN|1BASICY|1BEXP|1AART	129VULN|39DUST|4RCR|5LWND|6BASICY|7AART|89ASPD|9BPWR|aBEXP
11	33211 28477	 * 	201.54	ACR|2BASARM|2DMG|2CDMG	1MDPS|2aDMG|3MBVNT|4RMIN|5RCR|6FEWX|7aCDMG|8aBASARM|9BELT|aBPWR
12	12411 15221	 * 	200.36	ACR|4VULN|2ASPD|1DMG|1BEXP	1269VULN|39LHND|4RCR|5BEXP|7FEWX|89ASPD|9BPWR|aDMG
13	12411 45221	   	200.26	ACR|4VULN|2ASPD|1DMG|1BEXP	1279VULN|39LHND|4RCR|5BEXP|6DUST|89ASPD|9BPWR|aDMG
14	12215 15221	   	200.16	ACR|4VULN|2ASPD|1DMG|1BEXP	1269VULN|39DUST|4RCR|5BEXP|7FEWX|89ASPD|9BPWR|aDMG
15	12215 16326	   	199.96	ACR|3VULN|2BEXP|1ASPD|1BASICY|1AART	126VULN|3DUST|4RCR|59BEXP|7BASICY|8AART|aASPD
16	12413 53236	   	199.85	ACR|1BASARM|3VULN|1BASICY|1BEXP	125VULN|38LHND|4RCR|6BASICY|7AME|9BEXP|aBASARM
17	33244 82641	 * 	197.69	ACR|3DMG|1BASARM|1AAC	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9AAC|aVULN
18	12413 53116	   	197.10	ACR|1BASARM|4VULN|1BASICY	1258VULN|3LHND|4RCR|6BASICY|7AME|9DUST|aBASARM
19	33211 58414	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4RMIN|5RCR|6BEXP|7CDMG|8BASARM|9FEWX|aASPD
20	33211 58424	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4RMIN|5RCR|6BEXP|7CDMG|8BASARM|9DUR|aASPD
21	33211 58484	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4RMIN|5RCR|6BEXP|7CDMG|8BASARM|9LHND|aASPD
