0	Index      	 *	Score 	Summary	Detail	
1	11662 41313	 * 	217.02	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART|1AAC	1AAC|2VULN|3CDMG|4RCR|5LHND|6AART|7ASPD|8RPLT|9BASARM|aDMG
2	11662 41312	 * 	209.98	ACR|1BASARM|2VULN|1ASPD|1AART|1CDMG|1AAC	1AAC|2aVULN|3CDMG|4RCR|5LHND|6AART|7ASPD|8RPLT|9BASARM
3	11216 11146	 * 	207.30	ACR|2ASPD|3VULN|2BEXP|1DMG|1AAC	1AAC|249VULN|38BEXP|5RCR|67ASPD|aDMG
4	61621 11123	 * 	204.02	ACR|3ASPD|3BEXP|2CDMG	14RPLT|2aCDMG|3RCR|5LEGI|67aASPD|89aBEXP|aBPWR
5	21136 36413	 * 	203.37	ACR|1BASARM|3VULN|2BEXP|1CDMG	19ERES|239VULN|4RCVC|5RCR|6CDMG|7CGEN|89BEXP|9BPWR|aBASARM
6	11216 11521	   	200.89	ACR|2ASPD|3VULN|2BEXP|1CDMG|1AAC	1AAC|248VULN|3aBEXP|5RCR|67ASPD|9CDMG
7	11216 11144	   	200.89	ACR|2ASPD|3VULN|2BEXP|1AART|1AAC	1AAC|249VULN|38BEXP|5RCR|67ASPD|aAART
8	11216 11121	 * 	200.23	ACR|3BEXP|2ASPD|2VULN|1CDMG|1AAC	1AAC|24VULN|38aBEXP|5RCR|67ASPD|9CDMG
9	11661 16112	 * 	199.77	ACR|3BEXP|3VULN|1ASPD|1CDMG|1AAC	1AAC|269VULN|3CDMG|4RCR|579BEXP|89CGEN|9BPWR|aASPD
10	11661 21412	   	199.77	ACR|3BEXP|3VULN|1ASPD|1CDMG|1AAC	1AAC|289VULN|3CDMG|4RCR|579BEXP|69MLV|9BPWR|aASPD
11	11216 14116	 * 	198.70	ACR|3BEXP|2ASPD|3VULN|1AAC	1AAC|24aVULN|378BEXP|5RCR|6aASPD|9aLHND|aBPWR
12	11216 14136	   	198.70	ACR|3BEXP|2ASPD|3VULN|1AAC	1AAC|24aVULN|378BEXP|5RCR|6aASPD|9aDUR|aBPWR
13	11216 14326	   	198.50	ACR|3BEXP|2ASPD|3VULN|1AAC	1AAC|24aVULN|379BEXP|5RCR|6aASPD|8aDUST|aBPWR
