0	Index      	 *	Score 	Summary	Detail	
1	36138 14143	 * 	221.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8BEXP|9BASARM|aASPD
2	22222 61532	 * 	221.47	ACR|3ASPD|2BEXP|1BASICY|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|569ASPD|79BEXP|89CDMG|9BPWR|aBASICY
3	21318 18135	 * 	221.05	ACR|2VULN|2ASPD|2DMG|2AART	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9aVULN
4	21318 18133	 * 	219.40	ACR|3ASPD|2DMG|1VULN|2AART	13AART|28LHND|4MBVNT|5RCR|68aASPD|78DMG|8BPWR|9VULN
5	64316 12132	 * 	217.04	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART	19ASPD|29DUST|34DMG|5RCR|6VULN|7AAC|89BEXP|9BPWR|aAART
6	35123 14242	 * 	216.14	ACR|3ASPD|1BASARM|2VULN	12aFEWX|3aVULN|4RCR|5ERES|6BASARM|7LEGI|89aASPD|aBPWR
7	53635 13212	 * 	214.45	ACR|3VULN|1BASARM|2ASPD	19aVULN|2ZMB|3RCR|4AAC|5aERES|6BASARM|7LHND|8aASPD|aBPWR
8	44423 11123	 * 	213.91	ACR|1BASARM|2ASPD|2DMG	1RCVC|28CGEN|3AEFBLL|4RCR|5DMSP|68ASPD|78DMG|8BPWR|9LWND|aBASARM
9	36138 14148	 * 	212.71	ACR|1BASARM|2VULN|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6aVULN|7DMG|8BEXP|9BASARM
10	21318 18173	 * 	212.71	ACR|3ASPD|3DMG|2AART	13AART|28aLHND|4MBVNT|5RCR|68aASPD|78aDMG|8aBPWR|9RPLT
11	36132 43136	 * 	212.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5AIRARM|689BEXP|7ASPD|aBASARM
12	64316 13132	 * 	211.13	ACR|2ASPD|2DMG|1VULN|2CDMG|1AART	19ASPD|29DUST|34DMG|5RCR|6VULN|79CDMG|8RPLT|9BPWR|aAART
13	35122 13531	 * 	210.20	ACR|3DMG|2VULN|2ASPD	125FEWX|3aVULN|4RCR|6LHND|78aDMG|9aASPD|aBPWR
14	35122 63531	   	210.20	ACR|3DMG|2VULN|2ASPD	125FEWX|3aVULN|4RCR|6LWND|78aDMG|9aASPD|aBPWR
15	35123 14212	   	209.55	ACR|3VULN|1BASARM|2ASPD	12aFEWX|39aVULN|4RCR|5ERES|6BASARM|7LEGI|8aASPD|aBPWR
16	55623 13212	   	209.55	ACR|3VULN|1BASARM|2ASPD	19aVULN|2FEWX|3DMSP|4RCR|5aERES|6BASARM|7LHND|8aASPD|aBPWR
17	36138 14145	   	208.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8BEXP|9BASARM|aAAC
18	36138 14543	   	207.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8LHND|9BASARM|aASPD
19	36138 14743	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8DUST|9BASARM|aASPD
20	36138 44243	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6LEGI|7DMG|8VULN|9BASARM|aASPD
21	36136 38111	   	207.85	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5ASPD|6BEXP|7DMG|8RCVC|9DUR|aBASARM
22	36136 35342	   	206.75	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	19FEWX|2CDMG|3RCR|4MBVNT|59ASPD|6BEXP|7ERES|89VULN|9BPWR|aDMG
23	62345 21333	 * 	206.41	ACR|3ASPD|3DMG|1VULN	179ASPD|24aDMG|34ZMB|4BPWR|5RCR|6MLV|8VULN
24	14345 31333	   	206.31	ACR|3ASPD|3DMG|1VULN	1AAC|24aDMG|34ZMB|4BPWR|5RCR|679ASPD|8VULN
25	62345 31333	   	206.31	ACR|3ASPD|3DMG|1VULN	169ASPD|24aDMG|34ZMB|4BPWR|5RCR|7AME|8VULN
26	21418 18133	   	205.67	ACR|3ASPD|2DMG|1VULN|1AART	1AART|238LHND|4MBVNT|5RCR|68aASPD|78DMG|8BPWR|9VULN
27	12432 51351	   	205.51	ACR|1BASARM|2DMG|1ASPD|1AART	15AAC|27LIT|37SPLARM|4RCR|67DMG|7BPWR|8ASPD|9AART|aBASARM
28	36138 11543	   	205.50	ACR|1BASARM|2ASPD|1VULN|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DUR|8aASPD|9BASARM
29	36136 28243	   	205.50	ACR|1BASARM|2ASPD|1VULN|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5aASPD|6LIT|7LHND|8VULN|9BASARM
30	36138 38243	   	205.50	ACR|1BASARM|2ASPD|1VULN|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6aASPD|7LHND|8VULN|9BASARM
31	35122 11231	 * 	205.46	ACR|3VULN|2ASPD|2DMG	125FEWX|37aVULN|4RCR|6LHND|8aDMG|9aASPD|aBPWR
32	35122 51231	   	205.46	ACR|3VULN|2ASPD|2DMG	125FEWX|37aVULN|4RCR|6DUR|8aDMG|9aASPD|aBPWR
33	35122 61231	   	205.46	ACR|3VULN|2ASPD|2DMG	125FEWX|37aVULN|4RCR|6LWND|8aDMG|9aASPD|aBPWR
