0	Index      	 *	Score 	Summary	Detail	
1	43631 15123	 * 	184.49	ACR|2ASPD|2DMG|2BEXP	13BEXP|2DUST|4AEMAG|5RCR|6aDMG|7RCVC|89ASPD
2	35415 13123	 * 	182.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEFBLL|2AME|3RCVC|4LIT|5RCR|6DUST|7BASARM|8DMG|9CDMG|aASPD
3	35515 13123	   	182.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEFBLL|2AME|3LIT|4RCVC|5RCR|6DUST|7BASARM|8DMG|9CDMG|aASPD
4	43631 63213	 * 	182.65	ACR|1BASARM|3BEXP|1CDMG	137BEXP|2DUST|47AEMAG|5RCR|67LHND|7BPWR|8RPLT|9BASARM|aCDMG
5	43631 15122	 * 	182.56	ACR|3ASPD|2BEXP|1DMG	13BEXP|2DUST|4AEMAG|5RCR|6DMG|7RCVC|89aASPD
6	22563 53233	 * 	180.42	DCR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG	1MLV|2ASPD|3BEXP|4AART|5DMG|6BASARM|7LWND|8BELT|9CDMG|aRCR
7	14631 13521	 * 	178.79	ACR|3BEXP|2DMG|1CDMG|1VULN	1FEWX|239BEXP|4AEMAG|5RCR|6aDMG|7CDMG|8VULN
8	43631 13521	   	178.69	ACR|3BEXP|2DMG|1CDMG|1VULN	139BEXP|2DUST|4AEMAG|5RCR|6aDMG|7CDMG|8VULN
9	14631 11143	 * 	178.27	ACR|3BEXP|2ASPD|1DMG	1FEWX|23aBEXP|4AEMAG|5RCR|6DMG|7aTLV|8DUR|9aASPD|aBPWR
10	24331 32156	 * 	176.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MLV|2DUR|3TLV|4AEMAG|5RCR|6BEXP|7VENFST|8CDMG|9DMG|aBASARM
11	25321 32156	   	176.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MLV|23TLV|4DUR|5RCR|6BEXP|7VENFST|8CDMG|9DMG|aBASARM
12	15331 12561	 * 	176.11	ACR|1BASARM|1DMG|2CDMG|1VULN	1FEWX|2MLV|3TLV|4AEMAG|5RCR|6DMG|7aCDMG|8VULN|9BASARM
13	24331 12561	   	176.11	ACR|1BASARM|1DMG|2CDMG|1VULN	1MLV|2DUR|3TLV|4AEMAG|5RCR|6DMG|7aCDMG|8VULN|9BASARM
14	25321 12561	   	176.11	ACR|1BASARM|1DMG|2CDMG|1VULN	1MLV|23TLV|4DUR|5RCR|6DMG|7aCDMG|8VULN|9BASARM
15	42411 13621	 * 	176.05	3DMG|3ASPD|3BEXP|2BASICY	17aBEXP|234DMG|57aASPD|67AEFBLL|7aBPWR|8aBASICY|9RMIN
16	25331 12561	   	176.01	ACR|1BASARM|2CDMG|1DMG|1VULN	1MLV|23TLV|4DUST|5RCR|6DMG|7aCDMG|8VULN|9BASARM
17	22563 53222	   	175.08	DCR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1AAC	1MLV|2ASPD|3BEXP|4AART|5DMG|6BASARM|7LWND|8BELT|9AAC|aRCR
18	22563 53332	   	175.08	DCR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1AAC	1MLV|2ASPD|3BEXP|4AART|5DMG|6BASARM|7LWND|8AAC|9BELT|aRCR
19	14631 34231	 * 	174.33	ACR|3BEXP|1ASPD|1DMG|1CDMG	1FEWX|236BEXP|4AEMAG|5RCR|7CDMG|8CGEN|9DMG|aASPD
20	14631 34331	   	174.23	ACR|3BEXP|1ASPD|1DMG|1CDMG	1FEWX|236BEXP|4AEMAG|5RCR|7CDMG|8TLV|9DMG|aASPD
21	43631 34311	   	174.23	ACR|3BEXP|1ASPD|1DMG|1CDMG	136BEXP|2DUST|4AEMAG|5RCR|7CDMG|8ASPD|9FEWX|aDMG
22	42413 43133	 * 	173.22	2BASARM|3DMG|2BEXP|1CDMG|1AART	19BEXP|234DMG|5DMSP|6BELT|7AART|89BASARM|9BPWR|aCDMG
23	43631 13621	   	171.76	ACR|3BEXP|2DMG|1CDMG	139BEXP|2DUST|4AEMAG|5RCR|6aDMG|7CDMG|8FEWX
24	43631 34321	 * 	171.76	ACR|3BEXP|2ASPD|1CDMG	136BEXP|2DUST|4AEMAG|5RCR|7CDMG|8aASPD|9MLV
25	35415 13313	   	171.06	ACR|1BASARM|1ASPD|1CDMG|1AAC	1AEFBLL|2AME|3RCVC|4LIT|5RCR|6DUST|7BASARM|8CDMG|9AAC|aASPD
26	35515 13313	   	171.06	ACR|1BASARM|1ASPD|1CDMG|1AAC	1AEFBLL|2AME|3LIT|4RCVC|5RCR|6DUST|7BASARM|8CDMG|9AAC|aASPD
27	15331 12562	   	169.80	ACR|1BASARM|1DMG|1CDMG|1VULN	1FEWX|2aMLV|3TLV|4AEMAG|5RCR|6DMG|7CDMG|8VULN|9BASARM
