0	Index      	 *	Score 	Summary	Detail	
1	23655 23112	 * 	266.59	橙2散射对甲2易伤1双倍秒伤1技能1时间1策反	15易伤2时间3策反45散射对甲5序列升级6核7挖青8金币生成9技能a双倍秒伤
2	23655 23212	   	266.59	橙2散射对甲2易伤1双倍秒伤1技能1时间1策反	15易伤2时间3策反45散射对甲5序列升级6核7挖青8随机矿9技能a双倍秒伤
3	23655 33222	 * 	262.22	橙2散射对甲2易伤1双倍秒伤1伤害1时间1策反	15易伤2时间3策反45散射对甲5序列升级6金币生成7伤害8核9挖青a双倍秒伤
4	23655 33232	   	262.22	橙2散射对甲2易伤1双倍秒伤1伤害1时间1策反	15易伤2时间3策反45散射对甲5序列升级6金币生成7伤害8核9低血量敌人a双倍秒伤
5	23655 23131	 * 	245.96	橙2散射对甲2易伤1双倍秒伤1全技能1时间1策反	15易伤2时间3策反45散射对甲5序列升级6核7挖青8金币生成9双倍秒伤a全技能
6	23655 23132	   	245.96	橙2散射对甲2易伤1双倍秒伤1时间1策反	15易伤2时间3策反45散射对甲5序列升级6核7挖青8金币生成9双倍秒伤a随机矿
7	23655 23133	   	245.96	橙2散射对甲2易伤1双倍秒伤1时间1策反	15易伤2时间3策反45散射对甲5序列升级6核7挖青8金币生成9双倍秒伤a掉矿
8	23655 23222	   	245.96	橙2散射对甲2易伤1双倍秒伤1时间1策反	15易伤2时间3策反45散射对甲5序列升级6核7挖青8随机矿9金币生成a双倍秒伤
9	23655 23322	   	245.96	橙2散射对甲2易伤1双倍秒伤1伤害1时间1策反	15易伤2时间3策反45散射对甲5序列升级6核7挖青8伤害9金币生成a双倍秒伤
10	23655 23332	 * 	245.60	橙4易伤2散射对甲1伤害1时间1策反	159a易伤2时间3策反45散射对甲5序列升级6核7挖青8伤害
11	23655 22222	   	241.89	橙4易伤2散射对甲1攻速1时间1策反	158a易伤2时间3策反45散射对甲5序列升级6核7攻速9敌人爆炸
12	23655 22231	   	241.89	橙4易伤2散射对甲1攻速1时间1策反	1589易伤2时间3策反45散射对甲5序列升级6核7攻速a电球减费
13	23655 22232	   	241.89	橙4易伤2散射对甲1攻速1时间1策反	1589易伤2时间3策反45散射对甲5序列升级6核7攻速a敌人爆炸
14	23655 22233	   	241.89	橙4易伤2散射对甲1攻速1时间1策反	1589易伤2时间3策反45散射对甲5序列升级6核7攻速a雷电
15	14355 23222	   	240.79	橙2散射对甲2易伤1双倍秒伤1伤害1技能	1低血量敌人2随机矿35易伤45散射对甲5序列升级6技能7伤害8核9挖青a双倍秒伤
16	23655 33211	 * 	239.48	橙2散射对甲2易伤2伤害1攻速1时间1策反	15易伤2时间3策反45散射对甲5序列升级6金币生成79伤害8核a攻速
17	23655 22211	 * 	239.48	橙2散射对甲3易伤2攻速1时间1策反	158易伤2时间3策反45散射对甲5序列升级6核7a攻速9掉矿
18	53351 31363	   	238.20	橙1散射对甲2易伤1双倍秒伤1伤害1策反	1策反2基地爆炸37易伤4散射对甲5低血量敌人6敌人爆炸8伤害9核a双倍秒伤
19	53355 23112	   	236.66	橙2散射对甲1双倍秒伤1易伤1技能2策反	15策反2基地爆炸3易伤45散射对甲5序列升级6核7挖青8金币生成9技能a双倍秒伤
20	53355 23212	   	236.66	橙2散射对甲1双倍秒伤1易伤1技能2策反	15策反2基地爆炸3易伤45散射对甲5序列升级6核7挖青8随机矿9技能a双倍秒伤
