0	Index      	 *	Score 	Summary	Detail	
1	13544 12266	 * 	290.74	DCR|DCR|2VULN|1AAC|1ASPD|1NUKE	1AART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aNUKE
2	13544 12265	   	289.39	DCR|DCR|2VULN|1AAC|1ASPD	1AART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aDUR
3	13544 52263	   	287.73	DCR|DCR|2VULN|1AAC|1ASPD|2AART	1aAART|27VULN|3MBVNT|4AAC|5ASPD|6LWND|89RCR
4	13544 12263	   	287.63	DCR|DCR|2VULN|1AAC|1ASPD|2AART	1aAART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR
5	13544 74262	 * 	287.07	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1AART|2VULN|3MBVNT|4AAC|5ASPD|6TLV|7BBNT|89RCR|aFEWX
6	62151 23132	 * 	287.00	DCR|DCR|2MLV|1DMG|1ASPD|2DUR	1ASPD|25DUR|3LSRHEA|48MLV|6DMG|7BBNT|9aRCR
7	13544 74261	   	286.97	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1AART|2VULN|3MBVNT|4AAC|5ASPD|6TLV|7BBNT|89RCR|aBEXP
8	13544 74263	   	286.97	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1AART|2VULN|3MBVNT|4AAC|5ASPD|6TLV|7BBNT|89RCR|aAEWIND
9	13544 74264	   	286.97	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1MSE	1AART|2VULN|3MBVNT|4AAC|5ASPD|6TLV|7BBNT|89RCR|aMSE
10	63623 33423	 * 	283.39	DCR|2VULN|2MLV|2TLV|2ASPD	1aASPD|2aTLV|3LHND|48VULN|5BELT|6aMLV|7RCR|9LEGI|aBPWR
11	13544 52261	   	281.18	DCR|DCR|2VULN|1AAC|1ASPD	1AART|27VULN|3MBVNT|4AAC|5ASPD|6LWND|89RCR|aFEWX
12	13544 12261	   	281.08	DCR|DCR|2VULN|1AAC|1ASPD	1AART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aFEWX
13	13544 52262	   	281.08	DCR|DCR|2VULN|1AAC|1ASPD|1MSE	1AART|27VULN|3MBVNT|4AAC|5ASPD|6LWND|89RCR|aMSE
14	13544 52264	   	281.08	DCR|DCR|2VULN|1AAC|1ASPD	1AART|27VULN|3MBVNT|4AAC|5ASPD|6LWND|89RCR|aDUST
15	21121 56131	 * 	281.05	DCR|DCR|1VULN|1TLV|1MLV	1RPLT|2VULN|3TLV|4CGEN|5SPLREG|6RAT|7MDPS|8aRCR|9MLV
16	13544 12262	   	280.98	DCR|DCR|2VULN|1AAC|1ASPD|1MSE	1AART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aMSE
17	13544 12264	   	280.98	DCR|DCR|2VULN|1AAC|1ASPD	1AART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aDUST
18	13544 12267	   	280.98	DCR|DCR|2VULN|1AAC|1ASPD	1AART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aERES
19	13544 12268	   	280.98	DCR|DCR|2VULN|1AAC|1ASPD	1AART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aAEPOI
20	21132 56131	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1RPLT|2VULN|3TLV|4MULHEA|5ERES|6RAT|7MDPS|8aRCR|9MLV
21	13223 13653	 * 	279.99	DCR|DCR|2VULN|1TLV|1SELL	1AART|24VULN|3TLV|5SELL|6LHND|7aRCR|89FEWX
22	13313 13653	 * 	279.99	DCR|DCR|2VULN|1TLV|1SELL	1AART|23VULN|4TLV|5SELL|6LHND|7aRCR|89FEWX
23	13223 23353	 * 	279.89	DCR|DCR|2VULN|1TLV|1SELL	1AART|24VULN|3TLV|5SELL|6BEXP|7aRCR|89FEWX
24	13313 23353	 * 	279.89	DCR|DCR|2VULN|1TLV|1SELL	1AART|23VULN|4TLV|5SELL|6BEXP|7aRCR|89FEWX
25	13223 23463	 * 	279.79	DCR|DCR|2VULN|1TLV|1SELL	1AART|24VULN|3TLV|5SELL|69BEXP|7aRCR|8LWND
26	13313 23463	 * 	279.79	DCR|DCR|2VULN|1TLV|1SELL	1AART|23VULN|4TLV|5SELL|69BEXP|7aRCR|8LWND
27	62152 24132	   	277.28	DCR|DCR|2MLV|1AAC|1ASPD	1ASPD|2DUR|3LSRHEA|48MLV|5TBNT|6DMSP|7AAC|9aRCR
28	63425 31312	 * 	277.02	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG|1CDMG	17ASPD|2TLV|3MLV|4BBNT|5aVULN|6RCR|8CDMG|9DMG
29	13544 18263	 * 	276.01	DCR|DCR|1VULN|2ASPD|1AAC|2AART	1aAART|2VULN|3MBVNT|4AAC|57ASPD|6AETHUN|89RCR
30	13544 72831	 * 	275.97	DCR|3VULN|1TLV|1MLV|1AAC|1ASPD	1AART|27aVULN|3MBVNT|4AAC|5ASPD|6TLV|8MLV|9RCR
31	33142 32122	 * 	271.73	DCR|3VULN|2TLV|2ASPD|1CDMG	1AME|2aTLV|3RAT|4CDMG|59aVULN|6ERES|7aASPD|8RCR|aBPWR
32	43142 32122	   	271.73	DCR|3VULN|2TLV|2ASPD|1CDMG	1CGEN|2aTLV|3RAT|4CDMG|59aVULN|6ERES|7aASPD|8RCR|aBPWR
33	13545 12263	   	271.28	DCR|DCR|2VULN|1AAC|2AART|1NUKE	1aAART|27VULN|3MBVNT|4AAC|5NUKE|6AETHUN|89RCR
34	13544 18261	   	269.46	DCR|DCR|1VULN|2ASPD|1AAC	1AART|2VULN|3MBVNT|4AAC|57ASPD|6AETHUN|89RCR|aFEWX
35	13544 18262	   	269.36	DCR|DCR|1VULN|2ASPD|1AAC|1MSE	1AART|2VULN|3MBVNT|4AAC|57ASPD|6AETHUN|89RCR|aMSE
36	13544 18264	   	269.36	DCR|DCR|1VULN|2ASPD|1AAC	1AART|2VULN|3MBVNT|4AAC|57ASPD|6AETHUN|89RCR|aDUST
37	63424 33232	   	269.32	DCR|2VULN|2MLV|1TLV|2ASPD	19ASPD|2TLV|39MLV|4BBNT|5LWND|6RCR|7FEWX|89VULN|9BPWR|aAME
