0	Index      	 *	Score 	Summary	Detail	
1	11315 33651	 * 	301.72	ACR|DCR|4VULN|2MLV	15aVENICY|2RCVC|38RCR|457aVULN|5aBPWR|6LEGI|9aMLV
2	11315 33631	 * 	297.60	ACR|DCR|4VULN|2TLV	15aVENICY|2RCVC|38RCR|457aVULN|5aBPWR|6LEGI|9aTLV
3	15315 33631	   	297.40	ACR|DCR|4VULN|2TLV	1aVENICY|25AEPOI|38RCR|457aVULN|5aBPWR|6LEGI|9aTLV
4	32325 28341	 * 	291.80	DCR|DCR|2VULN|1TLV	1BBNT|2LIT|3TLV|4MBVNT|56VULN|7DUR|8aRCR|9RAT
5	52325 28341	   	291.80	DCR|DCR|2VULN|1TLV	1TBNT|2LIT|3TLV|4MBVNT|56VULN|7DUR|8aRCR|9RAT
6	11315 13633	 * 	289.28	ACR|DCR|3VULN|1TLV|1MLV	15VENICY|2RCVC|38RCR|457VULN|5BPWR|6DUST|9TLV|aMLV
7	11315 33634	   	289.28	ACR|DCR|3VULN|1TLV|1MLV	15VENICY|2RCVC|38RCR|457VULN|5BPWR|6LEGI|9TLV|aMLV
8	15315 13633	   	289.08	ACR|DCR|3VULN|1TLV|1MLV	1VENICY|25AEPOI|38RCR|457VULN|5BPWR|6DUST|9TLV|aMLV
9	21321 18515	 * 	288.33	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2BBNT|3CGEN|4MBVNT|5VULN|6TLV|7VENICY|8aRCR|9MLV
10	21221 18515	   	288.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2BBNT|3ERES|4MBVNT|5VULN|6TLV|7VENICY|8aRCR|9MLV
11	21321 17515	   	288.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2BBNT|3CGEN|4MBVNT|5VULN|6TLV|7MSLFST|8aRCR|9MLV
