0	Index      	 *	Score 	Summary	Detail	
1	61143 67141	 * 	293.14	DCR|DCR|2VULN|3DMG	1aFEWX|2aVULN|3MBVNT|4LIT|5AEPOI|67aDMG|89RCR|aBPWR
2	41114 43146	 * 	291.89	DCR|DCR|2VULN|1TLV|1DMG	1LWND|25VULN|3MBVNT|4DMG|6DMSP|7LIT|89RCR|aTLV
3	41114 73146	   	291.79	DCR|DCR|2VULN|1TLV|1DMG	1LWND|25VULN|3MBVNT|4DMG|6AEPOI|7LIT|89RCR|aTLV
4	41162 13146	   	291.79	DCR|DCR|2VULN|1TLV|1DMG	1LWND|24VULN|3MBVNT|5AEWIND|6DMG|7LIT|89RCR|aTLV
5	42221 22643	 * 	291.10	DCR|DCR|1VULN|1TLV|1MLV|1AAC	13LWND|2AAC|4ZMB|5TLV|6ERES|79RCR|8MLV|aVULN
6	41162 34146	   	288.62	DCR|DCR|2VULN|1TLV|1AAC	1LWND|24VULN|3MBVNT|5AEWIND|6AAC|7LIT|89RCR|aTLV
7	61414 13331	 * 	283.55	DCR|DCR|2VULN|2CDMG	17FEWX|27VULN|37CDMG|4TBNT|5AART|69RCR|7BPWR|8RAT|aDUR
8	42222 32643	 * 	282.52	DCR|DCR|1VULN|2AAC|1MLV	13LWND|26AAC|4ZMB|5DUR|79RCR|8MLV|aVULN
9	21562 13125	   	282.48	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1BEXP|2VULN|3AAC|4TLV|5AEWIND|6DMG|7LIT|8aRCR|9LWND
10	41114 73141	 * 	282.03	DCR|DCR|3VULN|1DMG	1aLWND|25aVULN|3MBVNT|4DMG|6AEPOI|7aLIT|89RCR|aBPWR
11	41162 13141	   	282.03	DCR|DCR|3VULN|1DMG	1aLWND|24aVULN|3MBVNT|5AEWIND|6DMG|7aLIT|89RCR|aBPWR
12	61162 13141	   	282.03	DCR|DCR|3VULN|1DMG	1aFEWX|24aVULN|3MBVNT|5AEWIND|6DMG|7aLIT|89RCR|aBPWR
13	21414 16122	   	281.65	DCR|DCR|2VULN|1DMG|1CDMG	1BEXP|28VULN|3CDMG|4TBNT|5AART|69RCR|7ERES|aDMG
14	12425 34212	   	280.97	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	12RMIN|3MLV|4VULN|5AAC|6CDMG|7BEXP|8aRCR|9AART
15	12433 34212	   	280.97	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	12RMIN|3MLV|4AAC|5VULN|6CDMG|7BEXP|8aRCR|9AART
16	61421 36212	   	280.42	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1FEWX|2VULN|3CDMG|4MLV|56CGEN|7ASPD|8aRCR|9AART
17	21421 36212	   	280.32	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1BEXP|2VULN|3CDMG|4MLV|56CGEN|7ASPD|8aRCR|9AART
18	21425 36212	   	280.22	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1BEXP|2VULN|3CDMG|4MLV|5ERES|6RCVC|7ASPD|8aRCR|9AART
19	21423 56212	   	280.12	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1BEXP|2VULN|3CDMG|4MLV|5AEPOI|6ERES|7ASPD|8aRCR|9AART
20	21425 26212	   	280.12	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1BEXP|2VULN|3CDMG|4MLV|56ERES|7ASPD|8aRCR|9AART
21	41165 34141	   	278.96	DCR|DCR|3VULN|1AAC	1aLWND|24aVULN|3MBVNT|5RCVC|6AAC|7aLIT|89RCR|aBPWR
22	21414 16123	   	277.84	DCR|DCR|2VULN|1ASPD|1CDMG	1BEXP|28VULN|3CDMG|4TBNT|5AART|69RCR|7ERES|aASPD
23	41114 43141	   	277.58	DCR|DCR|2VULN|2DMG	1aLWND|25VULN|3MBVNT|4aDMG|6DMSP|7aLIT|89RCR|aBPWR
24	41165 13141	   	277.58	DCR|DCR|2VULN|2DMG	1aLWND|24VULN|3MBVNT|5RCVC|6aDMG|7aLIT|89RCR|aBPWR
25	61116 63141	   	277.58	DCR|DCR|2VULN|2DMG	16aFEWX|25VULN|3MBVNT|4aDMG|7aLIT|89RCR|aBPWR
26	12121 36212	   	275.98	DCR|DCR|1VULN|1TLV|1CDMG	12RMIN|3DUR|4ZMB|5TLV|6CDMG|7VULN|8aRCR|9AART
27	14521 36212	   	275.88	DCR|DCR|1VULN|1TLV|1CDMG	1RMIN|2AEFRZ|3DUR|4ZMB|5TLV|6CDMG|7VULN|8aRCR|9AART
