0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36122 52224	5	 * 	302.21	橙4易伤3伤害3时间	128时间348a易伤5全技能678伤害8序列升级9核
2	14122 15224	5	 * 	292.74	橙5易伤3伤害2攻速	18攻速268伤害3468a易伤5全技能68序列升级7核9随机矿
3	32321 41241	3	 * 	290.26	橙3易伤3时间2伤害1等级	139时间2攻速4加一589易伤69伤害7核9序列升级a等级
4	12112 15224	5	 * 	290.14	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a雷电
5	14122 15241	6	   	289.70	橙4易伤3伤害3攻速2全技能	18a攻速28a伤害348a易伤56全技能7核8a序列升级9平台
6	42122 15241	6	   	289.70	橙4易伤3伤害3攻速2全技能	18a伤害28a攻速348a易伤56全技能7核8a序列升级9平台
7	36122 52223	5	   	289.47	橙3易伤3伤害3时间	128时间348易伤5全技能678伤害8序列升级9核a雷电
8	36533 22224	7	   	288.93	橙3易伤3伤害3时间2全技能	128时间348伤害57全技能68a易伤8序列升级9核
9	36122 22225	6	 * 	287.21	橙5易伤3时间1伤害	128时间34789易伤5全技能6核8序列升级a伤害
10	42122 15224	5	 * 	284.52	橙5易伤2伤害3攻速	18伤害268攻速3468a易伤5全技能68序列升级7核9随机矿
11	21131 31445	8	 * 	283.69	橙5易伤3时间1等级	189挖尘2立即金币34589易伤689时间7核89序列升级a等级
12	43121 33553	9	 * 	283.27	橙4易伤2伤害2等级1时间	19伤害2矿等3459易伤6时间7掉矿89等级9序列升级a核
13	42122 15212	6	   	282.27	橙4易伤3伤害2全技能2攻速	18a伤害28攻速348a易伤56全技能7核8a序列升级9a低血量敌人
14	42122 15262	6	   	282.27	橙4易伤3伤害2全技能2攻速	18a伤害28攻速348a易伤56全技能7核8a序列升级9a敌人爆炸
15	36137 47141	4	   	281.95	橙3易伤3时间2伤害1等级	129时间379易伤4加一5随机矿69伤害8核9序列升级a等级
16	12112 15221	5	   	281.83	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a双倍矿
17	12112 15223	5	   	281.83	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a敌人爆炸
18	14612 15221	5	   	281.83	橙4易伤3伤害3攻速	138攻速268伤害4689易伤5全技能68序列升级7核a双倍矿
19	14612 15223	5	   	281.83	橙4易伤3伤害3攻速	138攻速268伤害4689易伤5全技能68序列升级7核a敌人爆炸
20	12112 15222	5	   	281.73	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a赏金塔
21	12112 15226	5	   	281.73	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a掉矿
22	14612 15222	5	   	281.73	橙4易伤3伤害3攻速	138攻速268伤害4689易伤5全技能68序列升级7核a赏金塔
23	15331 56123	4	   	281.40	橙3易伤2时间1等级1伤害1暴击	1攻速245易伤34时间4序列升级6暴击7核8伤害9雷电a等级
24	36122 52221	5	   	281.16	橙3易伤3伤害3时间	128时间348易伤5全技能678伤害8序列升级9核a低血量敌人
25	36122 52225	5	   	281.16	橙3易伤3伤害3时间	128时间348易伤5全技能678伤害8序列升级9核a基地爆炸
26	36533 32224	5	   	281.16	橙3易伤3伤害3时间	128时间348伤害5全技能6立即金币78a易伤8序列升级9核
27	36122 52222	5	   	281.06	橙3易伤3伤害3时间	128时间348易伤5全技能678伤害8序列升级9核a赏金塔
28	36521 71241	3	   	280.51	橙3易伤3时间1等级1伤害2攻速	129时间3伤害4加一589易伤69攻速7核9序列升级a等级
29	42121 22642	7	   	279.82	橙4易伤2伤害2时间2攻速	19伤害26攻速3459易伤7额外掉落89时间9序列升级a核
30	42126 51123	9	   	279.81	橙3易伤3伤害3时间	189伤害2攻速349易伤59a时间6核7平台9序列升级
31	46814 21241	1	   	279.72	橙4易伤2伤害2时间2攻速	19伤害2加一36时间49攻速589a易伤7核9序列升级
32	16851 41241	1	   	279.72	橙4易伤2伤害2时间2攻速	19攻速2加一34时间589a易伤69伤害7核9序列升级
33	32321 41147	3	   	279.71	橙3易伤3伤害3时间	139时间2攻速4加一59a易伤689伤害7核9序列升级
34	15323 16161	4	   	278.37	橙3易伤2伤害2等级2攻速1时间	19攻速29a易伤3时间46等级5挖青7核89伤害9序列升级
35	43122 23553	9	 * 	276.80	橙3易伤2伤害2等级2时间	19伤害2矿等349易伤56时间7掉矿89等级9序列升级a核
36	42163 12225	6	   	276.24	橙3易伤3伤害2时间	168伤害2攻速378易伤48时间5全技能8序列升级9核a最后敌人
37	42163 12222	6	   	276.14	橙3易伤3伤害2时间	168伤害2攻速378易伤48时间5全技能8序列升级9核a挖青
38	42163 12223	6	   	276.14	橙3易伤3伤害2时间	168伤害2攻速378易伤48时间5全技能8序列升级9核a加一
39	42163 12226	6	   	276.14	橙3易伤3伤害2时间	168伤害2攻速378易伤48时间5全技能8序列升级9核a掉矿
40	42163 12242	6	   	276.14	橙3易伤3伤害2时间	168伤害2攻速378易伤48时间5全技能8序列升级9赏金邻近a核
41	15231 24613	10	   	275.88	橙4易伤2时间1伤害2攻速1暴击	19攻速2489易伤3低血量敌人5暴击6核79时间9序列升级a伤害
42	15335 63112	10	   	275.46	橙5易伤3时间	1攻速2479a易伤345时间4序列升级6全技能8核
43	15335 63113	9	   	275.46	橙5易伤3时间	1攻速2479a易伤345时间4序列升级6全技能8核
44	36122 24223	7	   	274.91	橙4易伤3时间1等级	127时间349a易伤5全技能6核8等级
45	36122 24512	10	   	274.91	橙4易伤3时间1等级	127时间349a易伤5全技能6核8等级
46	36122 24513	9	   	274.91	橙4易伤3时间1等级	127时间349a易伤5全技能6核8等级
47	36122 24523	8	   	274.91	橙4易伤3时间1等级	127时间349a易伤5全技能6核8等级
48	12112 15244	5	   	274.43	橙3易伤3伤害3攻速1暴击	128攻速368伤害468易伤5全技能68序列升级7核9低血量敌人a暴击
49	12112 15264	5	   	274.43	橙3易伤3伤害3攻速1暴击	128攻速368伤害468易伤5全技能68序列升级7核9最后敌人a暴击
50	14122 15215	5	   	274.40	橙4易伤3伤害2攻速	18攻速268伤害3468易伤5全技能68序列升级7核9敌人爆炸a最后敌人
51	14122 15221	5	   	274.40	橙4易伤3伤害2攻速	18攻速268伤害3468易伤5全技能68序列升级7核9随机矿a平台
52	14122 15222	5	   	274.40	橙4易伤3伤害2攻速	18攻速268伤害3468易伤5全技能68序列升级7核9随机矿a金币生成
53	14122 15235	5	   	274.40	橙4易伤3伤害2攻速	18攻速268伤害3468易伤5全技能68序列升级7核9基地爆炸a最后敌人
54	14122 15252	5	   	274.40	橙4易伤3伤害2攻速	18攻速268伤害3468易伤5全技能68序列升级7核9低血量敌人a双倍矿
55	14122 15253	5	   	274.40	橙4易伤3伤害2攻速	18攻速268伤害3468易伤5全技能68序列升级7核9低血量敌人a平台
