0	Index      	 *	Score 	Summary	Detail	
1	21152 12212	 * 	339.86	DCR|DCR|3MLV|2TLV|2ASPD	18TLV|2DUR|348MLV|58ASPD|6aRCR|7BELT|8BPWR|9AEFRZ
2	21151 12212	   	332.47	DCR|DCR|3MLV|2TLV|1AAC|2DUR	18TLV|28DUR|348MLV|5AAC|6aRCR|7BELT|8BPWR|9AEFRZ
3	21152 16513	 * 	331.83	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	1TLV|2DUR|34MLV|5ASPD|69RCR|7RCVC|8AART|aVULN
4	21152 13513	   	331.73	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	1TLV|2DUR|34MLV|5ASPD|69RCR|7AEBURN|8AART|aVULN
5	54434 12645	 * 	330.31	DCR|DCR|2VULN|2DMG|1AAC|1ASPD|2DUR	1MBVNT|2TBNT|38DMG|4ASPD|58DUR|69RCR|78VULN|8BPWR|aAAC
6	54434 12641	 * 	328.00	DCR|DCR|2VULN|2DMG|2ASPD|2DUR	1MBVNT|2TBNT|38DMG|4aASPD|58DUR|69RCR|78VULN|8BPWR
7	21151 12322	   	324.17	DCR|DCR|2MLV|1VULN|1TLV|1AAC	1TLV|2DUR|34MLV|5AAC|6aRCR|7BELT|8VULN|9LWND
8	21152 12322	   	323.52	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	1TLV|2DUR|34MLV|5ASPD|6aRCR|7BELT|8VULN|9LWND
9	21161 16513	 * 	322.23	DCR|DCR|1VULN|1TLV|2ASPD|1MLV	1TLV|2DUR|3MLV|45ASPD|69RCR|7RCVC|8AART|aVULN
10	21161 13513	   	322.13	DCR|DCR|1VULN|1TLV|2ASPD|1MLV	1TLV|2DUR|3MLV|45ASPD|69RCR|7AEBURN|8AART|aVULN
11	26165 12322	 * 	319.01	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1TLV|25VULN|3MLV|4ASPD|6aRCR|7BELT|8DUST|9LWND
12	26151 12622	   	315.86	DCR|DCR|2MLV|1VULN|1TLV|1AAC	1TLV|2VULN|34MLV|5AAC|6aRCR|7BELT|8LHND|9LWND
13	26151 12322	   	315.76	DCR|DCR|2MLV|1VULN|1TLV|1AAC	1TLV|2VULN|34MLV|5AAC|6aRCR|7BELT|8DUST|9LWND
14	54433 12645	   	315.26	DCR|DCR|2VULN|2DMG|1AAC|1ASPD	1MBVNT|2TBNT|38DMG|4ASPD|58DUST|69RCR|78VULN|8BPWR|aAAC
15	26152 12622	   	315.22	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	1TLV|2VULN|34MLV|5ASPD|6aRCR|7BELT|8LHND|9LWND
16	26152 12322	   	315.12	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	1TLV|2VULN|34MLV|5ASPD|6aRCR|7BELT|8DUST|9LWND
17	21161 12322	   	313.92	DCR|DCR|1VULN|1TLV|2ASPD|1MLV	1TLV|2DUR|3MLV|45ASPD|6aRCR|7BELT|8VULN|9LWND
18	54434 12642	   	313.42	DCR|DCR|2VULN|2DMG|1ASPD|2DUR	1MBVNT|2TBNT|38DMG|4ASPD|58DUR|69RCR|78VULN|8BPWR|aLHND
19	54434 12643	   	313.42	DCR|DCR|2VULN|2DMG|1ASPD|2DUR	1MBVNT|2TBNT|38DMG|4ASPD|58DUR|69RCR|78VULN|8BPWR|aBBNT
20	54434 12644	   	313.42	DCR|DCR|2VULN|2DMG|1ASPD|2DUR	1MBVNT|2TBNT|38DMG|4ASPD|58DUR|69RCR|78VULN|8BPWR|aLIT
21	54434 12647	   	313.42	DCR|DCR|2VULN|2DMG|1ASPD|2DUR	1MBVNT|2TBNT|38DMG|4ASPD|58DUR|69RCR|78VULN|8BPWR|aBELT
22	54434 12646	   	313.32	DCR|DCR|2VULN|2DMG|1ASPD|2DUR	1MBVNT|2TBNT|38DMG|4ASPD|58DUR|69RCR|78VULN|8BPWR|aAETHUN
23	54433 12641	   	312.95	DCR|DCR|2VULN|2DMG|2ASPD	1MBVNT|2TBNT|38DMG|4aASPD|58DUST|69RCR|78VULN|8BPWR
24	31153 13516	 * 	312.52	DCR|DCR|2MLV|2AAC|1TLV	17AAC|2DUST|34MLV|5TLV|69RCR|8AART|aDUR
