0	Index      	 *	Score 	Summary	Detail	
1	52325 41323	 * 	327.73	ACR|DCR|2VULN|3TLV|3DMG|1ASPD	128DMG|3DUST|48aTLV|56RCR|78VULN|8BPWR|9ASPD
2	16525 22222	 * 	322.07	DCR|DCR|2MLV|1VULN|1TLV|1CDMG	1FEWX|2VULN|37MLV|4AART|5CDMG|6BBNT|8aRCR|9TLV
3	52325 41321	   	318.71	ACR|DCR|2VULN|3DMG|2TLV|1ASPD	128DMG|3DUST|48TLV|56RCR|78VULN|8BPWR|9ASPD|aLWND
4	52325 41322	   	318.71	ACR|DCR|2VULN|3DMG|2TLV|1ASPD	128DMG|3DUST|48TLV|56RCR|78VULN|8BPWR|9ASPD|aZMB
5	52325 41332	   	318.61	ACR|DCR|2VULN|3DMG|2TLV|1ASPD	128DMG|39DUST|48TLV|56RCR|78VULN|8BPWR|aASPD
6	52325 41312	   	310.77	ACR|DCR|2VULN|3DMG|2TLV	128DMG|3DUST|48TLV|56RCR|78VULN|8BPWR|9LWND|aDUR
7	52125 42211	 * 	309.43	ACR|DCR|2VULN|2DMG|1TLV|1MLV	12DMG|3FEWX|4TLV|56RCR|7MLV|8aVULN|9AART
8	52325 42221	   	309.33	ACR|DCR|2VULN|2DMG|1TLV|1MLV	12DMG|3DUST|4TLV|56RCR|7MLV|8DUR|9aVULN
9	52325 41333	   	309.30	ACR|DCR|2VULN|3DMG|2TLV	128DMG|39DUST|48TLV|56RCR|78VULN|8BPWR|aRAT
10	52125 41223	   	305.08	ACR|DCR|2VULN|3DMG|1TLV|1AAC	12aDMG|3FEWX|4TLV|56RCR|79VULN|8AAC
11	52125 41221	   	303.08	ACR|DCR|2VULN|2DMG|1TLV|1AAC|1CDMG	12DMG|3FEWX|4TLV|56RCR|79VULN|8AAC|aCDMG
12	33611 15262	   	302.58	DCR|DCR|1VULN|1TLV|1MLV|2CDMG	1TBNT|26CDMG|3TLV|4LWND|5AART|7VULN|8aRCR|9MLV
13	33621 15262	   	302.48	DCR|DCR|1VULN|1TLV|1MLV|2CDMG	1TBNT|26CDMG|3TLV|4DUST|5AART|7VULN|8aRCR|9MLV
14	52325 41311	   	302.46	ACR|DCR|2VULN|3DMG|2TLV	128DMG|3DUST|48TLV|56RCR|78VULN|8BPWR|9LWND|aDMSP
15	52325 41313	   	302.36	ACR|DCR|2VULN|3DMG|2TLV	128DMG|3aDUST|48TLV|56RCR|78VULN|8BPWR|9LWND
16	52325 41331	   	302.36	ACR|DCR|2VULN|3DMG|2TLV	128DMG|39DUST|48TLV|56RCR|78VULN|8BPWR|aRPLT
17	52125 42231	   	301.12	ACR|DCR|2VULN|2DMG|1TLV|1MLV	12DMG|3FEWX|4TLV|56RCR|7MLV|8aVULN|9LWND
18	52125 42221	   	301.02	ACR|DCR|2VULN|2DMG|1TLV|1MLV	12DMG|3FEWX|4TLV|56RCR|7MLV|8aVULN|9DUST
19	52325 42121	   	301.02	ACR|DCR|2VULN|2DMG|1TLV|1MLV	12DMG|3DUST|4TLV|56RCR|7MLV|8FEWX|9aVULN
20	52325 42321	   	300.92	ACR|DCR|2VULN|2DMG|1TLV|1MLV	12DMG|3DUST|4TLV|56RCR|7MLV|8BEXP|9aVULN
21	52325 42223	   	299.38	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1ASPD	12DMG|3DUST|4TLV|56RCR|7MLV|8DUR|9VULN|aASPD
22	52225 41211	   	297.73	ACR|DCR|2VULN|2DMG|1TLV|1AAC	12DMG|3LHND|4TLV|56RCR|7aVULN|8AAC|9AART
