0	Index      	 *	Score 	Summary	Detail	
1	14843 73128	 * 	294.01	DCR|4VULN|2TLV|2DMG|1AAC	1MBVNT|2aTLV|3AAC|4LWND|569aVULN|7RCR|8aDMG|aBPWR
2	14841 13428	 * 	291.10	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MBVNT|2TLV|3AAC|4LWND|5MLV|6AME|7aRCR|8BELT|9VULN
3	14843 73148	 * 	290.50	DCR|3VULN|3DMG|2TLV|1AAC	1MBVNT|2aTLV|3AAC|4LWND|56aVULN|7RCR|89aDMG|aBPWR
4	14451 27222	 * 	289.90	DCR|DCR|2TLV|1MLV|1DMG|2RAT	1MBVNT|24TLV|37RAT|5MLV|6DMSP|89RCR|aDMG
5	14745 27222	   	289.90	DCR|DCR|2TLV|1MLV|1DMG|2RAT	1MBVNT|23TLV|4RCVC|5MLV|67RAT|89RCR|aDMG
6	14681 44623	 * 	284.31	DCR|3MLV|2VULN|2TLV	1MBVNT|2aTLV|35aMLV|4DUR|6ERES|7BBNT|8RCR|9aVULN|aBPWR
7	14451 27225	   	283.49	DCR|DCR|2TLV|1MLV|2RAT|1CDMG	1MBVNT|24TLV|37RAT|5MLV|6DMSP|89RCR|aCDMG
8	14451 26222	   	283.29	DCR|DCR|2TLV|1MLV|1DMG	1MBVNT|24TLV|3RAT|5MLV|6DMSP|7RCVC|89RCR|aDMG
9	14454 66222	   	283.29	DCR|DCR|2TLV|1MLV|1DMG	1MBVNT|24TLV|3RAT|5DMSP|6RCVC|7MLV|89RCR|aDMG
10	14745 26222	   	283.29	DCR|DCR|2TLV|1MLV|1DMG	1MBVNT|23TLV|47RCVC|5MLV|6RAT|89RCR|aDMG
11	14451 26225	   	276.88	DCR|DCR|2TLV|1MLV|1CDMG	1MBVNT|24TLV|3RAT|5MLV|6DMSP|7RCVC|89RCR|aCDMG
12	14641 47623	   	276.00	DCR|3MLV|2VULN|2TLV	1MBVNT|2aTLV|35aMLV|4LHND|6TBNT|7ERES|8RCR|9aVULN|aBPWR
13	14646 42623	   	276.00	DCR|3MLV|2VULN|2TLV	1MBVNT|2aTLV|37aMLV|4LHND|5ERES|6TBNT|8RCR|9aVULN|aBPWR
14	11113 66222	   	275.63	DCR|DCR|1TLV|1MLV|1DMG|2RAT	1MBVNT|2AEFBLL|34RAT|5TLV|6RCVC|7MLV|89RCR|aDMG
15	11445 27222	   	275.63	DCR|DCR|1TLV|1MLV|1DMG|2RAT	1MBVNT|2AEFBLL|3TLV|4RCVC|5MLV|67RAT|89RCR|aDMG
16	23252 43612	 * 	275.04	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1DUST|2AAC|3LIT|4RPLT|5VULN|6aRCR|7ASPD|8AART|9DMG
17	15333 84137	 * 	272.49	DCR|DCR|2VULN|1ASPD	1MBVNT|2AART|3DUR|4SPLARM|57VULN|6aRCR|8ASPD|9DUST
18	15111 53162	   	270.82	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2AART|3RPLT|4LWND|5LIT|6TLV|79RCR|8VULN|aAAC
19	11448 31528	 * 	270.20	DCR|4VULN|2TLV|2ASPD	1MBVNT|2aAEFBLL|36TLV|4RCVC|567aVULN|6aBPWR|8RCR|9aASPD
20	14543 73128	   	270.20	DCR|4VULN|2TLV|2ASPD|1NUKE	1MBVNT|2aTLV|3LHND|469aVULN|5aASPD|7RCR|8NUKE|aBPWR
21	14262 53453	   	270.18	DCR|DCR|1VULN|1TLV|1ASPD	1MBVNT|2TLV|3LIT|4RPLT|5VULN|6aRCR|7ASPD|8DUR|9BBNT
22	15111 53164	   	270.18	DCR|DCR|1VULN|1TLV|1ASPD	1MBVNT|2AART|3RPLT|4LWND|5LIT|6TLV|79RCR|8VULN|aASPD
23	14425 24221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|27TLV|35RAT|4CGEN|6DMSP|89RCR|aMLV
24	14425 64221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|27TLV|35RAT|46CGEN|89RCR|aMLV
25	14451 27221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|24TLV|37RAT|5MLV|6DMSP|89RCR|aAME
26	14451 27223	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|24TLV|37RAT|5MLV|6DMSP|89RCR|aTBNT
27	14451 27224	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|24TLV|37RAT|5MLV|6DMSP|89RCR|aFEWX
28	14451 27226	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|24TLV|37RAT|5MLV|6DMSP|89RCR|aBBNT
29	14451 27227	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|24TLV|37RAT|5MLV|6DMSP|89RCR|aLIT
30	14452 27221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|24TLV|37RAT|5CGEN|6DMSP|89RCR|aMLV
31	14452 67221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|24TLV|37RAT|56CGEN|89RCR|aMLV
32	14723 27221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|23TLV|4CGEN|5RCVC|67RAT|89RCR|aMLV
33	14724 27221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|23TLV|4CGEN|57RAT|6DMSP|89RCR|aMLV
34	14724 67221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|23TLV|46CGEN|57RAT|89RCR|aMLV
35	14745 27221	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|23TLV|4RCVC|5MLV|67RAT|89RCR|aAME
36	14745 27223	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|23TLV|4RCVC|5MLV|67RAT|89RCR|aTBNT
37	14745 27224	   	269.84	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|23TLV|4RCVC|5MLV|67RAT|89RCR|aFEWX
38	14451 27228	   	269.74	DCR|DCR|2TLV|1MLV|2RAT	1MBVNT|24TLV|37RAT|5MLV|6DMSP|89RCR|aDUST
39	13823 23168	 * 	269.66	DCR|3MLV|2VULN|1DMG|3DUR|1NUKE	1MBVNT|24aDUR|3DMG|5aVULN|69aMLV|7RCR|8NUKE|aBPWR
40	14633 76134	 * 	269.52	DCR|3MLV|2TLV|1VULN|1DMG|1SELL	1MBVNT|25TLV|356MLV|4SELL|5BPWR|7VULN|8DUST|9RCR|aDMG
41	11113 66225	   	269.22	DCR|DCR|1TLV|1MLV|2RAT|1CDMG	1MBVNT|2AEFBLL|34RAT|5TLV|6RCVC|7MLV|89RCR|aCDMG
42	11445 27225	   	269.22	DCR|DCR|1TLV|1MLV|2RAT|1CDMG	1MBVNT|2AEFBLL|3TLV|4RCVC|5MLV|67RAT|89RCR|aCDMG
43	14833 14266	   	269.11	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1MBVNT|2TLV|3AAC|4SELL|5LSRHEA|6aRCR|7RAT|8VULN|9LHND
44	14833 14286	   	269.11	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1MBVNT|2TLV|3AAC|4SELL|5LSRHEA|6aRCR|7RAT|8VULN|9LWND
45	11445 26222	   	269.02	DCR|DCR|1TLV|1MLV|1DMG	1MBVNT|2AEFBLL|3TLV|47RCVC|5MLV|6RAT|89RCR|aDMG
46	14833 14226	   	269.01	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1MBVNT|2TLV|3AAC|4SELL|5LSRHEA|6aRCR|7RAT|8VULN|9AETHUN
47	14833 14236	   	269.01	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1MBVNT|2TLV|3AAC|4SELL|5LSRHEA|6aRCR|7RAT|8VULN|9ERES
48	14833 14276	   	269.01	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1MBVNT|2TLV|3AAC|4SELL|5LSRHEA|6aRCR|7RAT|8VULN|9DUST
49	13813 23828	 * 	268.36	DCR|3VULN|2MLV|1DMG|3DUR	1MBVNT|26aDUR|3DMG|4RMIN|59aVULN|7RCR|8aMLV|aBPWR
50	13823 23128	   	268.26	DCR|3VULN|2MLV|1DMG|3DUR|1NUKE	1MBVNT|24aDUR|3DMG|59aVULN|6aMLV|7RCR|8NUKE|aBPWR
51	14816 31128	   	267.93	DCR|3VULN|2TLV|2ASPD|1AAC|1NUKE	1MBVNT|2aTLV|3AAC|4RMIN|5aASPD|6RCR|79aVULN|8NUKE|aBPWR
52	14664 64131	   	267.42	DCR|2VULN|2MLV|2TLV|2DUR	1MBVNT|2aTLV|3aMLV|49LIT|57DUR|6RCR|8aVULN|aBPWR
53	14445 28338	 * 	266.63	DCR|DCR|2TLV|1VULN	1MBVNT|25TLV|3RAT|4MDPS|6aRCR|7VENICY|8CGEN|9VULN
54	33363 16532	 * 	266.52	DCR|DCR|2DMG|1VULN	1FRZICY|2RMIN|3AART|48DMG|5VULN|6RAT|7aRCR|9RPLT
55	14816 34724	 * 	265.95	DCR|2VULN|2TLV|2ASPD|1DMG|1AAC	1MBVNT|2aTLV|3AAC|4RMIN|5aASPD|6RCR|7CGEN|8DMG|9aVULN|aBPWR
56	14833 14166	   	265.60	DCR|DCR|1TLV|1MLV|1AAC|1SELL	1MBVNT|2TLV|3AAC|4SELL|5LSRHEA|6aRCR|7RAT|8MLV|9AME
57	14833 14486	   	265.50	DCR|DCR|1TLV|1MLV|1AAC|1SELL	1MBVNT|2TLV|3AAC|4SELL|5LSRHEA|6aRCR|7RAT|8ERES|9MLV
