0	Index      	 *	Score 	Summary	Detail	
1	56362 13323	 * 	319.07	DCR|DCR|1VULN|1TLV|2ASPD|1MLV|2RAT	15RAT|2VULN|3TLV|45ASPD|5BPWR|69RCR|78ERES|aMLV
2	21522 12523	 * 	318.76	DCR|DCR|2TLV|1VULN|1MLV|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5CGEN|69RCR|7ASPD|8AEBURN|aMLV
3	21525 12523	   	318.76	DCR|DCR|2TLV|1VULN|1MLV|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5AME|69RCR|7ASPD|8AEBURN|aMLV
4	24311 51322	 * 	308.19	DCR|3VULN|3MLV|3TLV	18aTLV|26aMLV|3DUST|4LHND|59aVULN|7RCR|aBPWR
5	24511 51322	   	308.19	DCR|3VULN|3MLV|3TLV	18aTLV|26aMLV|3BEXP|4LHND|59aVULN|7RCR|aBPWR
6	61215 16231	   	306.41	DCR|3VULN|3MLV|2TLV	148LWND|289MLV|3RAT|59TLV|6RCR|789VULN|89BPWR|aRCVC
7	61215 16232	   	306.41	DCR|3VULN|3MLV|2TLV	148LWND|289MLV|3RAT|59TLV|6RCR|789VULN|89BPWR|aRMIN
8	61215 16233	   	306.31	DCR|3VULN|3MLV|2TLV	148LWND|289MLV|3RAT|59TLV|6RCR|789VULN|89BPWR|aLEGI
9	14234 23333	   	304.86	DCR|3VULN|3MLV|1TLV|2CDMG	18ERES|258MLV|3TLV|49CDMG|678VULN|8BPWR|aRCR
10	22262 16226	 * 	304.22	DCR|4VULN|2TLV|3ASPD|2RAT	18TLV|2AETHUN|35RAT|458ASPD|58BPWR|6RCR|789aVULN
11	56362 13322	   	301.17	DCR|DCR|1VULN|1TLV|2ASPD|2RAT	15RAT|2VULN|3TLV|45ASPD|5BPWR|69RCR|78ERES|aAART
12	21522 12522	   	300.86	DCR|DCR|2TLV|1VULN|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5CGEN|69RCR|7ASPD|8AEBURN|aAART
13	21525 12522	   	300.86	DCR|DCR|2TLV|1VULN|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5AME|69RCR|7ASPD|8AEBURN|aAART
14	24311 51222	   	299.17	DCR|3VULN|3MLV|2TLV	1aTLV|26aMLV|3DUST|48LHND|59aVULN|7RCR|aBPWR
15	24511 51222	   	299.17	DCR|3VULN|3MLV|2TLV	1aTLV|26aMLV|3BEXP|48LHND|59aVULN|7RCR|aBPWR
16	26633 13137	   	299.14	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1TLV|2DUR|3MBVNT|4LSRREG|5VULN|6MLV|7ASPD|8aRCR|9ZMB
17	26643 13137	   	299.14	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1TLV|2DUR|3MBVNT|4MULARM|5VULN|6MLV|7ASPD|8aRCR|9ZMB
18	14234 23313	   	298.45	DCR|3VULN|3MLV|1TLV|1CDMG	18ERES|258MLV|3TLV|4CDMG|678VULN|8BPWR|9AEWIND|aRCR
19	52214 21361	 * 	296.12	DCR|DCR|2VULN|1DMG|1ASPD	1RAT|2BBNT|36VULN|4DUR|5ASPD|79RCR|8BELT|aDMG
20	52214 21363	   	292.95	DCR|DCR|2VULN|1AAC|1ASPD	1RAT|2BBNT|36VULN|4DUR|5ASPD|79RCR|8BELT|aAAC
21	56362 13321	   	292.86	DCR|DCR|1VULN|1TLV|2ASPD|2RAT	15RAT|2VULN|3TLV|45ASPD|5BPWR|69RCR|78ERES|aLHND
22	21522 12521	   	292.55	DCR|DCR|2TLV|1VULN|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5CGEN|69RCR|7ASPD|8AEBURN|aLHND
23	21522 12525	   	292.55	DCR|DCR|2TLV|1VULN|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5CGEN|69RCR|7ASPD|8AEBURN|aLWND
24	21522 12526	   	292.55	DCR|DCR|2TLV|1VULN|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5CGEN|69RCR|7ASPD|8AEBURN|aAME
25	21525 12521	   	292.55	DCR|DCR|2TLV|1VULN|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5AME|69RCR|7ASPD|8AEBURN|aLHND
26	21522 12524	   	292.45	DCR|DCR|2TLV|1VULN|1ASPD|2RAT	13TLV|23RAT|3BPWR|4VULN|5CGEN|69RCR|7ASPD|8AEBURN|aMDPS
27	22262 16223	   	292.37	DCR|3VULN|2TLV|3ASPD|2RAT	18TLV|2AETHUN|35RAT|458ASPD|58BPWR|6RCR|789VULN|aDUR
28	23453 21253	 * 	291.90	DCR|DCR|2VULN|1TLV	1TLV|2TBNT|3DUR|4RAT|56VULN|7aRCR|8FRZARM|9AME
29	22675 22112	   	291.47	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1TLV|2AETHUN|3MBVNT|4TBNT|5AAC|6LWND|78RCR|9VULN|aMLV
